Candidate 0000403PATRICIA KERNIGHAN                                0000001000003500
Candidate 0000404JENNIFER S. PAE                                   0000002000003500
Candidate 0000078Write-In                                          0000003000003510
Contest   0000035Member, City Council, District 2 - Oakland (RCV)  0000085000000000
Precinct  0000002200100                                            0000001000000000
Precinct  0000003200200                                            0000002000000000
Precinct  0000004200300                                            0000003000000000
Precinct  0000005200600                                            0000004000000000
Precinct  0000006200700                                            0000005000000000
Precinct  0000007200800                                            0000006000000000
Precinct  0000008201000                                            0000007000000000
Precinct  0000009201100                                            0000008000000000
Precinct  0000010201300                                            0000009000000000
Precinct  0000011201400                                            0000010000000000
Precinct  0000012201410                                            0000011000000000
Precinct  0000013201500                                            0000012000000000
Precinct  0000014201700                                            0000013000000000
Precinct  0000015201900                                            0000014000000000
Precinct  0000016202010                                            0000015000000000
Precinct  0000017202110                                            0000016000000000
Precinct  0000018202400                                            0000017000000000
Precinct  0000019202410                                            0000018000000000
Precinct  0000020202500                                            0000019000000000
Precinct  0000021202510                                            0000020000000000
Precinct  0000022202520                                            0000021000000000
Precinct  0000023202540                                            0000022000000000
Precinct  0000024202600                                            0000023000000000
Precinct  0000025202620                                            0000024000000000
Precinct  0000026202710                                            0000025000000000
Precinct  0000027202900                                            0000026000000000
Precinct  0000028203100                                            0000027000000000
Precinct  0000029203200                                            0000028000000000
Precinct  0000030203300                                            0000029000000000
Precinct  0000031203400                                            0000030000000000
Precinct  0000032203500                                            0000031000000000
Precinct  0000033203800                                            0000032000000000
Precinct  0000034204000                                            0000033000000000
Precinct  0000035204100                                            0000034000000000
Precinct  0000036204210                                            0000035000000000
Precinct  0000037204220                                            0000036000000000
Precinct  0000038204300                                            0000037000000000
Precinct  0000039204310                                            0000038000000000
Precinct  0000040204510                                            0000039000000000
Precinct  0000041204600                                            0000040000000000
Precinct  0000042204800                                            0000041000000000
Precinct  0000043204900                                            0000042000000000
Precinct  0000044204910                                            0000043000000000
Precinct  0000045205000                                            0000044000000000
Precinct  0000046205100                                            0000045000000000
Precinct  0000047205200                                            0000046000000000
Precinct  0000048205500                                            0000047000000000
Precinct  0000049205600                                            0000048000000000
Precinct  0000050205700                                            0000049000000000
Precinct  0000051205800                                            0000050000000000
Precinct  0000052205900                                            0000051000000000
Precinct  0000053206000                                            0000052000000000
Precinct  0000054206100                                            0000053000000000
Precinct  0000055206200                                            0000054000000000
Precinct  0000056206400                                            0000055000000000
Precinct  0000057206700                                            0000056000000000
Precinct  0000058206800                                            0000057000000000
Precinct  0000059207000                                            0000058000000000
Precinct  0000060207100                                            0000059000000000
Precinct  0000061207200                                            0000060000000000
Precinct  0000062207300                                            0000061000000000
Precinct  0000063207500                                            0000062000000000
Precinct  0000064207600                                            0000063000000000
Precinct  0000065207700                                            0000064000000000
Precinct  0000066208000                                            0000065000000000
Precinct  0000067208010                                            0000066000000000
Precinct  0000068208100                                            0000067000000000
Precinct  0000069208110                                            0000068000000000
Precinct  0000070208200                                            0000069000000000
Precinct  0000071208210                                            0000070000000000
Precinct  0000072208300                                            0000071000000000
Precinct  0000073208310                                            0000072000000000
Precinct  0000074208400                                            0000073000000000
Precinct  0000075208500                                            0000074000000000
Precinct  0000076208510                                            0000075000000000
Precinct  0000077208600                                            0000076000000000
Precinct  0000078208610                                            0000077000000000
Precinct  0000079208700                                            0000078000000000
Precinct  0000080208710                                            0000079000000000
Precinct  0000081208800                                            0000080000000000
Precinct  0000082208810                                            0000081000000000
Precinct  0000083208900                                            0000082000000000
Precinct  0000084208910                                            0000083000000000
Precinct  0000085209000                                            0000084000000000
Precinct  0000086209010                                            0000085000000000
Precinct  0000087209100                                            0000086000000000
Precinct  0000088209110                                            0000087000000000
Precinct  0000089209200                                            0000088000000000
Precinct  0000090209300                                            0000089000000000
Precinct  0000091209310                                            0000090000000000
Precinct  0000092209400                                            0000091000000000
Precinct  0000093209410                                            0000092000000000
Precinct  0000094209510                                            0000093000000000
Precinct  0000095209600                                            0000094000000000
Precinct  0000096209610                                            0000095000000000
Precinct  0000097209700                                            0000096000000000
Precinct  0000098209710                                            0000097000000000
Precinct  0000099209800                                            0000098000000000
Precinct  0000100209900                                            0000099000000000
Precinct  0000101213100                                            0000100000000000
Precinct  0000102213300                                            0000101000000000
Precinct  0000103213400                                            0000102000000000
Precinct  0000104213500                                            0000103000000000
Precinct  0000105213600                                            0000104000000000
Precinct  0000106213700                                            0000105000000000
Precinct  0000107213800                                            0000106000000000
Precinct  0000108213900                                            0000107000000000
Precinct  0000109214100                                            0000108000000000
Precinct  0000110214200                                            0000109000000000
Precinct  0000111214300                                            0000110000000000
Precinct  0000112214400                                            0000111000000000
Precinct  0000113214500                                            0000112000000000
Precinct  0000114214600                                            0000113000000000
