ID,BORN KATHLEEN LEAHY,BRAUDE JIM,CHASE JEFFREY JAY,CHRISTENSON CHARLES O.,DAVIS HENRIETTA,DECKER MARJORIE C.,DIXON VINCENT LAWRENCE,GALLUCCIO ANTHONY D.,GIACOBBE DOROTHY M.,GOODWIN BOB,HOICKA DAVID,JONES WILLIAM C.,MAHER DAVID P.,NIDLE ALAN KINGFISH,PEIXOTO HELDER,REEVES KENNETH E.,SNOWBERG ERIK C.,SULLIVAN MICHAEL A.,TOOMEY JR. TIMOTHY J.,TRIANTAFILLOU KATHERINE,TRUMBULL DAVID,WILLIAMSON JAMES M.,WINTERS ROBERT,WORMWOOD-MALONE DAEJANNA P.,count
000101-00-0001,1,3, , ,2, , , , , , , , , , , ,4, , , , , ,5, ,5
000101-00-0004, , , , , , , , , , , , ,3, , , , ,2,1,4, , , , ,4
000101-00-0008,4, , , , , , ,2, , , , , , ,3, , ,1, , , , , , ,4
000101-00-0011,4, , , , , , ,3, , , , , , , , , ,1,2, , , , , ,4
000101-00-0013, , , , , , , ,6, ,4, , ,1, , , , ,2,3, , , ,5, ,6
000101-00-0016, , , , , , ,5, ,2, ,1, , ,4, , ,6, , , , ,3, , ,6
000101-00-0020,3,1, , ,2, , , , , ,6, , , , , , , , ,4, , ,5, ,6
000101-00-0021, , , , , , , ,1, , , , , , , , , ,3,2, , , , , ,3
000101-00-0022, , , , , , , ,2, , , , ,1, , , , ,3, , , , , , ,3
000101-00-0027, , , , , , , ,1, , , , , , ,2, , ,3, , , , , , ,3
000101-00-0028, , ,4,5, , , ,2, , , , ,6, ,1, , ,8,3, ,7, , , ,8
000101-00-0031,2,6,5, , , , , , , , , , , , ,4, , ,1,3, , , , ,6
000101-00-0034, , , , , , , ,1, , , , ,2, , , , , , , , , , , ,2
000101-00-0039, , , , , ,3, , , , , , ,2, , , , ,1, , , , , , ,3
000101-00-0041,4, , , ,3, , ,2,8, ,9, ,7, , , , ,5,1,6, , , , ,9
000101-00-0047,1, , , ,6, , , , , , , , , , , , ,5,3,2, , ,4, ,6
000101-00-0050,5,14,15,16,17,18,21,3,4, ,20,7,22,8, ,9,10,2,1,11, ,12,13,6,21
000101-00-0053, , , , , , , ,3, , , , ,5, ,2, , ,4,1, , , , , ,5
000101-00-0058, , , , , , , ,2, , , , ,5, ,4, , ,1,3, , , , , ,5
000101-00-0061, , , , , , , ,2, , , , , , , ,3, , ,1, , , , , ,3
000101-00-0064, , , , , , , , , , ,2, , , , , , , ,1, , , , , ,2
000101-00-0067,3, ,7, , , , , , , ,4, , , ,5, , ,2,1,6, , , , ,7
000101-00-0072, , , , , , , ,1, , , , , , ,4, , ,3,2, , , , , ,4
000101-00-0073,9, , , , , , ,7, ,8, , ,3, ,5, , ,1,2, , , ,4,6,9
000101-00-0077, , , , , , , ,2, ,6, , ,4, ,3, , ,5,1, , , , , ,6
000101-00-0079,2, , , ,1,4, , , , , , , , , , , , ,3, ,5, , , ,5
000101-00-0084, , , , , , , , , , , , , , , , , , ,2,1, , , , ,2
000101-00-0085, , , , , , , ,1, , , , , , , , , , , , , , , , ,1
000101-00-0088,3,4, , ,2,1, , , , , , , , , , , ,7,6,5, , , , ,7
000101-00-0091,1, , , ,3, , ,4, , , , , , , , ,6, ,5, , , ,2, ,6
000101-00-0096,2,3, , ,4, , , , , , , , , , , ,5, , , , , ,1, ,5
000101-00-0097, , , , , , , ,3, , , , , , ,4, , ,2,1, , , , , ,4
000101-00-0101, , , , , , , , , , , , ,2, , , , ,1, , , , , , ,2
000101-00-0102, , , , , , , ,2, , , , , , , , , ,3,1, , , , , ,3
000101-00-0105, , , , , , , , , , , , ,3, ,4, , ,2,1, , , , , ,4
000101-00-0108,2,1, , ,3,7, , , , , , , ,8,9, ,5, , ,4, ,10,6, ,10
000101-00-0111,2, ,1, ,3, , , , , , , , , , , ,4, , ,6, , ,5, ,6
000101-00-0116, , , , , , , , , , , , , , , , , ,1, , , , , , ,1
000101-00-0119, , , , , , , , , , , , , , , , , , , , ,1, , , ,1
000101-00-0120,3, , , ,2, , , , , , , , , , ,4, , ,5,1, , , , ,5
000101-00-0123, , ,4, , , , ,3, , , , ,5, ,6, , ,2,1, ,7, , , ,7
000101-00-0127,6, , , ,4, , ,1, ,3, , , , ,7, , ,5,2,8, , ,9, ,9
000101-00-0129, , ,10, ,4,8, ,1, ,2, , , , ,6, , ,5,3,7, , , ,9,10
