C:\PRMaster\1999\COUNCIL\Tabular Report (Delimited)
NOV. 2, 1999 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA

18,777 valid ballots.
Electing 9 candidates.
Quota is 1878 votes.
There were 384 invalid ballots.
(19,161 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
BORN, KATHLEEN LEAHY|1662.0000000000|1699.0000000000|1706.0000000000|1716.0000000000|1722.0000000000|1725.0000000000|1734.0000000000|1791.0000000000|1798.0000000000|1824.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|ELECTED -- 11th count
BRAUDE, JIM|1490.0000000000|1514.0000000000|1524.0000000000|1527.0000000000|1529.0000000000|1529.0000000000|1548.0000000000|1587.0000000000|1593.0000000000|1687.0000000000|1780.0000000000|1812.0000000000|1871.0000000000|1878.0000000000|ELECTED -- 14th count
CHASE, JEFFREY JAY|107.0000000000|134.0000000000|144.0000000000|144.0000000000|145.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
CHRISTENSON, CHARLES O.|29.0000000000|36.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
DAVIS, HENRIETTA|1470.0000000000|1508.0000000000|1521.0000000000|1524.0000000000|1529.0000000000|1537.0000000000|1547.0000000000|1603.0000000000|1611.0000000000|1635.0000000000|1687.0000000000|1727.0000000000|1789.0000000000|1878.0000000000|ELECTED -- 14th count
DECKER, MARJORIE C.|1652.0000000000|1672.0000000000|1687.0000000000|1688.0000000000|1694.0000000000|1697.0000000000|1706.0000000000|1741.0000000000|1757.0000000000|1797.0000000000|1852.0000000000|1877.0000000000|1878.0000000000|1878.0000000000|ELECTED -- 13th count
DIXON, VINCENT LAWRENCE|50.0000000000|53.0000000000|55.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
GALLUCCIO, ANTHONY D.|2716.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|1878.0000000000|ELECTED -- 1st count
GIACOBBE, DOROTHY M.|113.0000000000|129.0000000000|132.0000000000|136.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
GOODWIN, BOB|813.0000000000|918.0000000000|921.0000000000|923.0000000000|936.0000000000|937.0000000000|939.0000000000|939.0000000000|955.0000000000|960.0000000000|968.0000000000|997.0000000000|0|0|DEFEATED -- 12th count
HOICKA, DAVID|330.0000000000|332.0000000000|342.0000000000|346.0000000000|349.0000000000|349.0000000000|379.0000000000|383.0000000000|386.0000000000|0|0|0|0|0|DEFEATED -- 9th count
JONES, WILLIAM C.|34.0000000000|38.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
MAHER, DAVID P.|1040.0000000000|1177.0000000000|1182.0000000000|1185.0000000000|1200.0000000000|1247.0000000000|1250.0000000000|1275.0000000000|1311.0000000000|1321.0000000000|1333.0000000000|1574.0000000000|1855.0000000000|1878.0000000000|ELECTED -- 14th count
NIDLE, ALAN KINGFISH|42.0000000000|44.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
PEIXOTO, HELDER|315.0000000000|350.0000000000|355.0000000000|356.0000000000|357.0000000000|367.0000000000|372.0000000000|376.0000000000|0|0|0|0|0|0|DEFEATED -- 8th count
REEVES, KENNETH E.|1431.0000000000|1484.0000000000|1489.0000000000|1492.0000000000|1507.0000000000|1509.0000000000|1523.0000000000|1533.0000000000|1550.0000000000|1579.0000000000|1628.0000000000|1649.0000000000|1742.0000000000|1878.0000000000|ELECTED -- 14th count
SNOWBERG, ERIK C.|429.0000000000|433.0000000000|441.0000000000|442.0000000000|445.0000000000|446.0000000000|456.0000000000|478.0000000000|485.0000000000|536.0000000000|0|0|0|0|DEFEATED -- 10th count
SULLIVAN, MICHAEL A.|1339.0000000000|1519.0000000000|1531.0000000000|1534.0000000000|1558.0000000000|1565.0000000000|1568.0000000000|1585.0000000000|1620.0000000000|1631.0000000000|1647.0000000000|1748.0000000000|1878.0000000000|1878.0000000000|ELECTED -- 13th count
TOOMEY, JR., TIMOTHY J.|1510.0000000000|1571.0000000000|1583.0000000000|1585.0000000000|1589.0000000000|1592.0000000000|1599.0000000000|1605.0000000000|1688.0000000000|1700.0000000000|1717.0000000000|1769.0000000000|1878.0000000000|1878.0000000000|ELECTED -- 13th count
TRIANTAFILLOU, KATHERINE|1176.0000000000|1199.0000000000|1205.0000000000|1207.0000000000|1220.0000000000|1222.0000000000|1235.0000000000|1253.0000000000|1268.0000000000|1304.0000000000|1344.0000000000|1358.0000000000|1428.0000000000|0|DEFEATED -- 13th count
TRUMBULL, DAVID|536.0000000000|586.0000000000|597.0000000000|599.0000000000|601.0000000000|639.0000000000|642.0000000000|658.0000000000|711.0000000000|718.0000000000|756.0000000000|0|0|0|DEFEATED -- 11th count
WILLIAMSON, JAMES M.|129.0000000000|130.0000000000|140.0000000000|141.0000000000|146.0000000000|148.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
WINTERS, ROBERT|304.0000000000|311.0000000000|318.0000000000|320.0000000000|320.0000000000|322.0000000000|326.0000000000|0|0|0|0|0|0|0|DEFEATED -- 7th count
WORMWOOD-MALONE, DAEJANNA P.|31.0000000000|33.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|28.0000000000|28.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|1.0000000000|1.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
WRITE-INS|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count



Wednesday, November 3, 1999 7:37 PM
PRMaster Governmental Edition -- Version 2.02
(c) 1993-1999 Jerel Software -- All Rights Reserved
