ID,Bellew Carole K.,Davis Henrietta,DeBergalis Matt S.,Decker Marjorie C.,Dixon Vincent Lawrence,Galluccio Anthony D.,Greenwood Dan J.,Hall Robert L. Sr.,Kelley Craig A.,King Ethridge A. Jr.,LaTremouille Robert J.,Maher David P.,Murphy Brian,Pitkin John,Reeves Kenneth E.,Simmons Denise,Smith Aimee Louise,Sullivan Michael A.,Taymorberry Laurie,Toomey Timothy J. Jr.,count
000101-00-0001,1, ,13, ,11, ,14,10,12,2,3, , ,15, , ,16, ,17, ,11
000101-00-0002, , , , , , , , , , , , , , , , , ,2, ,1,2
000101-00-0003, ,6,7,8,9,3, , , , , ,4, , ,5, , ,2, ,1,9
000101-00-0003, , , , , , , , , , , , , , , , , , , , ,0
000101-00-0004, , , , , ,1, , , , , ,5, , , , , ,2, ,6,4
000101-00-0005, , , , , ,3, , , , , ,2, , , , , , ,4,1,4
000101-00-0006,1, , , , ,3, , , , , , , , , , , , , ,2,3
000101-00-0009,5, , , , ,3, , , , , ,4, , ,6, , ,1, ,2,6
000101-00-0010, , , ,4, , , , , , , , , , ,2,3, , , ,1,4
000101-00-0015,3, , , , , , , , , , , ,2, , , , , , ,1,3
000101-00-0017, , , , , , , , , ,1, , , , , , , , , , ,1
000101-00-0020, , ,1, , ,2, ,4, , , , , , , , , , , , ,3
000101-00-0021, , , , , ,2,4, , , , , , , ,3, , ,1, , ,4
000101-00-0023, , , , , , , , , , , , , , , , , , , , ,0
000101-00-0026, , , , , ,1, , , , , ,4, , , , , ,3, ,2,4
000101-00-0027, , , , , , , , , , , ,3, ,2, , , ,1, , ,3
000101-00-0031, , ,4, , , , , , ,1, , , , , , , ,2, ,3,4
000101-00-0033, , , , , , , , , ,1, , , , , , , , , , ,1
000101-00-0038,3,2, ,6, , , , , ,5, , ,4, ,8,1, , , ,7,8
000101-00-0041, , , ,2, ,3, , , , , ,4, , , , , , , ,1,4
000101-00-0042, , ,2, , ,4,10, ,9,8, ,7,5,6, , , ,1, ,3,10
000101-00-0047, , , , , ,3, , , , , ,4, , ,5, , ,1, ,2,5
000101-00-0049, ,6, ,8, ,7, , , , , ,9,1, ,3,2, ,4, ,5,9
000101-00-0052, , , , , , , , , , , , , , , , , , , ,1,1
