D:\Cambridge\Election2005\Council\Tuesday\Council Tabular Report (Delimited)
November 8, 2005 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
Election-Night Preliminary Results

15,897 valid ballots.
Electing 9 candidates.
Winning threshold is 1590 votes.
There were 97 invalid ballots.
(15,994 total ballots processed.)

|Round 1|Round 2|Round 3|Round 4|Round 5|Round 6|Round 7|Round 8|Round 9|Round 10|Round 11|
Adkins, Lawrence J.|239.0000000000|242.0000000000|244.0000000000|247.0000000000|251.0000000000|254.0000000000|0|0|0|0|0|DEFEATED -- 6th round
Condit, James E., III|41.0000000000|41.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Davis, Henrietta|1446.0000000000|1469.0000000000|1474.0000000000|1477.0000000000|1488.0000000000|1494.0000000000|1516.0000000000|1526.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|ELECTED -- 9th round
Decker, Marjorie C.|1505.0000000000|1539.0000000000|1544.0000000000|1546.0000000000|1552.0000000000|1557.0000000000|1580.0000000000|1585.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|ELECTED -- 9th round
Galluccio, Anthony D.|1980.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|ELECTED -- 1st round
Gordon, Jesse A.|615.0000000000|625.0000000000|628.0000000000|633.0000000000|639.0000000000|662.0000000000|677.0000000000|704.0000000000|0|0|0|DEFEATED -- 8th round
Green, Andre Lerone|178.0000000000|181.0000000000|183.0000000000|189.0000000000|194.0000000000|0|0|0|0|0|0|DEFEATED -- 5th round
Hall, Robert Lee, Sr.|75.0000000000|79.0000000000|81.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 3rd round
Hees, Bill|195.0000000000|197.0000000000|202.0000000000|209.0000000000|216.0000000000|270.0000000000|275.0000000000|0|0|0|0|DEFEATED -- 7th round
Kelley, Craig A.|1033.0000000000|1049.0000000000|1049.0000000000|1054.0000000000|1069.0000000000|1083.0000000000|1106.0000000000|1158.0000000000|1269.0000000000|1351.0000000000|1590.0000000000|ELECTED -- 11th round
LaTremouille, Robert J.|116.0000000000|118.0000000000|120.0000000000|120.0000000000|0|0|0|0|0|0|0|DEFEATED -- 4th round
Maher, David P.|896.0000000000|947.0000000000|950.0000000000|955.0000000000|962.0000000000|971.0000000000|979.0000000000|1027.0000000000|1055.0000000000|0|0|DEFEATED -- 9th round
Murphy, Brian|1229.0000000000|1243.0000000000|1243.0000000000|1245.0000000000|1254.0000000000|1259.0000000000|1266.0000000000|1282.0000000000|1377.0000000000|1590.0000000000|1590.0000000000|ELECTED -- 10th round
Reeves, Kenneth E.|1191.0000000000|1223.0000000000|1223.0000000000|1235.0000000000|1245.0000000000|1254.0000000000|1311.0000000000|1315.0000000000|1371.0000000000|1486.0000000000|1590.0000000000|ELECTED -- 11th round
Seidel, Sam|967.0000000000|973.0000000000|976.0000000000|980.0000000000|989.0000000000|999.0000000000|1017.0000000000|1040.0000000000|1202.0000000000|1267.0000000000|0|DEFEATED -- 10th round
Simmons, Denise|1320.0000000000|1336.0000000000|1337.0000000000|1344.0000000000|1350.0000000000|1363.0000000000|1406.0000000000|1412.0000000000|1489.0000000000|1588.0000000000|1590.0000000000|ELECTED -- 11th round
Sullivan, Michael A.|1450.0000000000|1574.0000000000|1577.0000000000|1583.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|1590.0000000000|ELECTED -- 5th round
Toomey, Timothy J., Jr.|1418.0000000000|1468.0000000000|1469.0000000000|1470.0000000000|1472.0000000000|1483.0000000000|1493.0000000000|1509.0000000000|1534.0000000000|1590.0000000000|1590.0000000000|ELECTED -- 10th round
Write-In 1|3.0000000000|3.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 2|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round



Tuesday, November 8, 2005 10:45 PM
ChoicePlus Pro -- Version 2.2
(c) 1993-2005 Voting Solutions -- All Rights Reserved
