D:\Cambridge\Election2005\Council\Wednesday\Council Tabular Report (Delimited)
November 8, 2005 -- Cambridge, MA
CITY COUNCIL ELECTION
CAMBRIDGE, MA
Wednesday Preliminary Results

16,070 valid ballots.
Electing 9 candidates.
Winning threshold is 1608 votes.
There were 132 invalid ballots.
(16,202 total ballots processed.)

|Round 1|Round 2|Round 3|Round 4|Round 5|Round 6|Round 7|Round 8|Round 9|Round 10|Round 11|
Adkins, Lawrence J.|243.0000000000|247.0000000000|249.0000000000|252.0000000000|256.0000000000|259.0000000000|0|0|0|0|0|DEFEATED -- 6th round
Condit, James E., III|42.0000000000|42.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Davis, Henrietta|1459.0000000000|1482.0000000000|1487.0000000000|1490.0000000000|1501.0000000000|1507.0000000000|1529.0000000000|1539.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 9th round
Decker, Marjorie C.|1524.0000000000|1555.0000000000|1561.0000000000|1563.0000000000|1569.0000000000|1575.0000000000|1599.0000000000|1604.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 9th round
Galluccio, Anthony D.|2001.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 1st round
Gordon, Jesse A.|626.0000000000|637.0000000000|641.0000000000|646.0000000000|652.0000000000|675.0000000000|690.0000000000|718.0000000000|0|0|0|DEFEATED -- 8th round
Green, Andre Lerone|181.0000000000|185.0000000000|188.0000000000|194.0000000000|199.0000000000|0|0|0|0|0|0|DEFEATED -- 5th round
Hall, Robert Lee, Sr.|75.0000000000|79.0000000000|81.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 3rd round
Hees, Bill|198.0000000000|199.0000000000|204.0000000000|211.0000000000|218.0000000000|273.0000000000|278.0000000000|0|0|0|0|DEFEATED -- 7th round
Kelley, Craig A.|1042.0000000000|1054.0000000000|1054.0000000000|1059.0000000000|1074.0000000000|1088.0000000000|1113.0000000000|1166.0000000000|1280.0000000000|1362.0000000000|1608.0000000000|ELECTED -- 11th round
LaTremouille, Robert J.|118.0000000000|120.0000000000|122.0000000000|122.0000000000|0|0|0|0|0|0|0|DEFEATED -- 4th round
Maher, David P.|902.0000000000|957.0000000000|960.0000000000|965.0000000000|972.0000000000|982.0000000000|990.0000000000|1037.0000000000|1067.0000000000|0|0|DEFEATED -- 9th round
Murphy, Brian|1236.0000000000|1243.0000000000|1244.0000000000|1246.0000000000|1254.0000000000|1259.0000000000|1266.0000000000|1282.0000000000|1379.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 10th round
Reeves, Kenneth E.|1207.0000000000|1242.0000000000|1243.0000000000|1255.0000000000|1265.0000000000|1273.0000000000|1330.0000000000|1334.0000000000|1388.0000000000|1503.0000000000|1608.0000000000|ELECTED -- 11th round
Seidel, Sam|973.0000000000|977.0000000000|980.0000000000|984.0000000000|993.0000000000|1002.0000000000|1020.0000000000|1044.0000000000|1207.0000000000|1272.0000000000|0|DEFEATED -- 10th round
Simmons, Denise|1330.0000000000|1350.0000000000|1352.0000000000|1359.0000000000|1366.0000000000|1380.0000000000|1424.0000000000|1430.0000000000|1508.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 10th round
Sullivan, Michael A.|1464.0000000000|1586.0000000000|1589.0000000000|1596.0000000000|1604.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 6th round
Toomey, Timothy J., Jr.|1432.0000000000|1489.0000000000|1490.0000000000|1490.0000000000|1492.0000000000|1503.0000000000|1513.0000000000|1529.0000000000|1556.0000000000|1608.0000000000|1608.0000000000|ELECTED -- 10th round
Write-In 1|17.0000000000|18.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 2|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd round



Wednesday, November 9, 2005 4:36 PM
ChoicePlus Pro -- Version 2.2
(c) 1993-2005 Voting Solutions -- All Rights Reserved
