ID,Davis Henrietta,Decker Marjorie C.,Galluccio Anthony D.,Janik Jonathan S.,Kelley Craig A.,Maher David P.,Moore M. Kevin,Moree Gregg J.,Murphy Brian,Podgers Kathy,Reeves Kenneth E.,Seidel Sam,Simmons E. Denise,Sullivan Edward J.,Toomey Timothy J. Jr.,Ward Larry W.,count
000503-00-0006,1,4, , ,5, , , ,6, , ,7,3, , ,2,7
000503-00-0011,1,3,4,9,5,10,11,6,8,2,16,12,7,13,14,15,16
000503-00-0012,1,5, ,8,2, ,3,4, ,6,7, , ,10, ,9,10
000503-00-0015,1,8, ,2,3, , , ,4, , ,5,6, , ,7,8
000503-00-0020,1, , , , ,2, , , , , , , , , , ,2
000503-00-0021,1,3, , ,6,5, , ,4, , , ,2, , ,7,7
000503-00-0036,1,3, , , , , , , , , , ,2, , , ,3
000503-00-0040,1, ,3, , , , , , , ,2, , , , , ,3
000503-00-0043,1, , ,7,5, , , ,6, ,4, ,2, ,3, ,7
000503-00-0046,1,4,8, ,5, , , ,6, ,7, ,2, ,3, ,8
000503-00-0064,1, , , , , , , , , , , , , , , ,1
000503-00-0066,1, , , , , , , , , , , , , , , ,1
000503-00-0070,1, , , , , , , , , , , , , ,2, ,2
000503-00-0073,1, , , , , , , ,3, , , ,4, , ,2,4
000503-00-0076,1, , , , , , , , , ,4,3, , , ,2,4
000503-00-0095,1, , , ,5,3, , , , ,6,2, , ,7,4,7
000503-00-0098,1,2, ,5,8, , , ,7, , ,6,3, , ,4,8
000503-00-0116,1, , , , ,3, , , , , , , , ,2, ,3
000503-00-0121,1, , , , , , , ,4, , ,3,2, , , ,4
000503-00-0122,1,2, , , , , , , , , , ,3, , , ,3
000503-00-0145,1,6, , ,2,5, , ,7, , ,3, , , ,4,7
000503-00-0150,1,5, , , , ,4, , , , , ,2, , ,3,5
000503-00-0168,1,2, ,7, , , , ,4, , ,5, , ,6,3,7
000503-00-0171,1,2, , , , , , ,4, ,6,5, , ,7,3,7
000503-00-0174,1,2,6, ,7,8,3, ,9, ,4, ,5, ,10, ,10
000503-00-0189,1,6, ,7,2,14,8,15,4,13,11,12,3,10,9,5,15
000503-00-0190,1,3, , , , , , , , , , ,2, , , ,3
000503-00-0211,1, , , ,2, , , , , , , , , , , ,2
000503-00-0214,1, , , , , , , , , , , ,2, , , ,2
000503-00-0220,1, , , ,3,6, , ,2, , ,4, , ,5, ,6
000503-00-0224,1,2, ,6, , , , ,3, ,9,4,5, ,8,7,9
000503-00-0238,1, , , ,7,3, , , , ,5,2,8, ,6,4,8
000503-00-0264,1, , , , , , , , , , , , ,2,3, ,3
000503-00-0269,1,2,6, , ,3, , , , ,4, ,5, , , ,6
000503-00-0272,1, , , , , , , , , , , , , , , ,1
000503-00-0277,1,2, , , , , , ,4, ,6,3,5, , , ,6
000503-00-0283,1, , , , , , , , , , , , , , , ,1
000503-00-0311,1,2,3, , , , , , , , , , , , ,4,4
000503-00-0312,1,5,2,14,4,6,3,16,7,10,15,8,9,12,11,13,16
000503-00-0314,1,4, ,8,7, , , ,6, ,9,2,3, , ,5,9
000503-00-0319,1,4, , ,6,3, ,5, , , , , , ,2, ,6
000503-00-0333,1, , , ,2, , , , ,4, ,5,3, , , ,5
000503-00-0385,1,4, ,7,8, , , ,5, ,9,6,2, , ,3,9
000503-00-0387,1,5,9, , ,6, , ,4, , ,8,2, ,3,7,9
000503-00-0393,1, , , , , , , , , , , , , , , ,1
000503-00-0394,1, , , , , , , , , , , , , , , ,1
000503-00-0395,1, ,9, ,2,8, , ,3, , , ,4,7,5,6,9
000503-00-0412,1,2, , , , , , , , ,4, ,3, ,6,5,6
000503-00-0416,1,6,7,8,9,10,11,12,13,14,15, ,2,3,4,5,15
000503-00-0423,1, , , , , , , , , , ,2, , , , ,2
000503-00-0424,1, , ,6,4, , , , , , ,2,3, , ,5,6
000503-00-0433,1, , ,5,6,7, , , , , ,2,3, , ,4,7
000503-00-0445,1,2, , , , , , , , ,3, , , , , ,3
000503-00-0455,1,3, , , , , , ,4, ,6,5,2, , , ,6
000503-00-0461,1,3, , , ,4, , , , , , ,5,2, , ,5
000503-00-0471,1, ,4, , , , , , , , , , ,3,2, ,4
000503-00-0479,1, , , ,6, , , ,2, , , ,3, ,5,4,6
000503-00-0487,1, , , , , , , , , , , , , , , ,1
000503-00-0489,1, , , , , , , , , , , , , , , ,1
000503-00-0490,1, , , , , , , , ,3, , ,2, , , ,3
000503-00-0496,1, , , , , , , , , , , ,2, , ,3,3
000503-00-0499,1, , , , , , , , , , , , , , , ,1
000503-00-0501,1, , , , ,3, , ,2, , , , , , , ,3
000503-00-0518,1,2, , , , , , , , , , , ,3, , ,3
000503-00-0524,1, , , , ,2, , , , , , ,3, , , ,3
000503-00-0530,1, , , , , , , , , , , , , , , ,1
000503-00-0535,1, , ,9,5,4, ,8,3, , ,6, , ,2,7,9
000503-00-0538,1,2, ,5,4, , , ,3, , , ,6,7,8,9,9
000503-00-0545,1, , , , , , , , , , , , , , , ,1
000503-00-0550,1,2,3, , , ,4, , , ,6,7, ,5, , ,7
000503-00-0553,1,3, , ,2, , , , , , , , , , , ,3
000503-00-0563,1, , , , , , , , , , ,2, , , , ,2
000503-00-0566,1, , , ,5,4, , , , , , ,2,3, , ,5
000503-00-0575,1,3, , , ,2, , , , , , , ,4, , ,4
000503-00-0581,1, , , , , , , , , ,2, , , , , ,2
000503-00-0582,1, , , ,2, , , , , , ,3, , , , ,3
000503-00-0584,1, , , , , , , , , ,2, , , , , ,2
000503-00-0586,1,8, , ,2, ,6, ,5, , ,7,3, ,9,4,9
000503-00-0592,1,2, , ,3, , , , , , , , , , , ,3
000503-00-0595,1, ,3, , , , , , , , , ,2, , , ,3
000503-00-0602,1,2, ,3, , , , , , , ,4,5, , ,6,6
000503-00-0616,1,2, , ,5, , , , ,6,4, ,3, , , ,6
000503-00-0624,1, , , , , , , , , , , ,2, , , ,2
000503-00-0630,1, , , , ,2, , , , , , , , , , ,2
000503-00-0652,1, , , ,2, , , , , , ,3, , , , ,3
000503-00-0658,1,2, , , , , , ,4, ,6,3,5, , , ,6
000503-00-0677,1, , , , , , , ,2, , , ,3, , ,4,4
000503-00-0684,1, , , , , , , , , , , , , , , ,1
000503-00-0687,1,2, , , , , , , , , , ,3, , , ,3
000503-00-0691,1, , ,4,8,9,7, ,5, , ,3,2, ,10,6,10
000503-00-0693,1,11, ,4,8,9,7, ,5, ,12,3,2, ,10,6,12
000503-00-0700,1,3,4, , ,5, , , , , , ,2, , ,6,6
000503-00-0718,1, , , , , , , ,2, , ,3, , , ,4,4
000503-00-0719,1,6, , , ,5, , , , ,3, ,2, ,4, ,6
000503-00-0723,1,3, , , , ,4, , , , , ,2, , , ,4
000503-00-0736,1,3, , , , , , , , , ,2, , , , ,3
000503-00-0739,1, , , , , , , , , , , , , , , ,1
000503-00-0744,1, , , , , , , , , , , ,2, , , ,2
000503-00-0747,1, , ,4,6,5, , , , , ,2,3, , , ,6
000503-00-0752,1, , , ,3, , , ,5, , ,4,2, , , ,5
000503-00-0753,1, , , , , , , , , , , ,2, , , ,2
000503-00-0760,1,3, ,7, ,8, , , ,4, ,9,6,2,5, ,9
000503-00-0762,1,2, , ,5,6, , , , ,8,7,4, ,3, ,8
000503-00-0767,1,2,8,9,3, , , , , ,5,4,7, ,6, ,9
000503-00-0773,1,7,16,8,5,15,9,10,3,14,13,6,2,12,11,4,16
000503-00-0790,1,2,5, ,4, , , , , ,3,6,7, , , ,7
000503-00-0794,1,3,9, ,4,5,12,11,10,8,7, ,2, ,6, ,12
000503-00-0803,1,3, , , , ,6, ,4, , ,5, , , ,2,6
000503-00-0805,1,11,2,9,12,13,8,7,3,4,15,6,16,5,14,10,16
000503-00-0810,1,3, ,4, , , , , , , , ,2, , ,5,5
000503-00-0825,1,2, , , , , , ,6, ,5,4,3, , , ,6
000503-00-0826,1, , , , ,2, , ,4, , ,5,3, , , ,5
000503-00-0830,1,2, , , , , , , ,4, , ,3, , , ,4
000503-00-0839,1,4, , , , , , , , ,3, ,2, , , ,4
000503-00-0840,1, , , ,2, , , ,4,8, ,3,5, ,7,6,8
000503-00-0842,1, ,2, , , , , , , , ,3,4, , , ,4
000503-00-0852,1,5,6,3,11,7,4,12,8,13,2,14,9,15,10,16,16
000503-00-0860,1,2,8,10,7,6,11,16,9,5,4,14,3,13,12,15,16
000503-00-0873,1,3, , , , , , , , , ,2, , , , ,3
000503-00-0876,1, , , , , , , , , , , , , , , ,1
000503-00-0887,1, , , ,3, , , ,4, , , ,2, , , ,4
000503-00-0889,1, , , , , , , , ,2, , , , , , ,2
000503-00-0893,1,3, , , , , , , , , ,2,4, , , ,4
000503-00-0900,1, , , , , , ,2,3, , , , , , , ,3
000503-00-0902,1,2, ,11,6,9, ,4,8, , ,10,3,12,7,5,12
000503-00-0927,1, , , ,3, , , ,4,8, ,2,6, ,7,5,8
000503-00-0940,1,3, , ,2, ,6, ,9,7, ,5, , ,8,4,9
000503-00-0941,1, , ,3, ,5, , ,6, , , ,2, , ,4,6
000503-00-0947,1, , , , , , , , , , , , , , , ,1
000503-00-0950,1,3, , , , , , ,2, , , , , , , ,3
000503-00-0956,1, , , , ,2, , , , ,3, , , , , ,3
000503-00-0958,1,4, , ,2,3, , , , , , ,5, , , ,5
000503-00-0962,1,2,16,15,14,13,3,12,5,11,10,6,4,9,8,7,16
000503-00-0965,1,2, ,8,6, , , ,7, , ,4,3, , ,5,8
000503-00-0968,1,3, , , , ,5, ,7, , ,2,4, , ,6,7
000503-00-0971,1,5, ,3, , , , , , , , ,2, , ,4,5
000503-00-0974,1,2, , , , , , ,6, , ,5,3, , ,4,6
000503-00-0976,1, , , , , , , , , , , , , , , ,1
000503-00-0979,1, , , , , , , ,3, , , ,2, , , ,3
000503-00-0981,1,2, , , ,3, , ,4, , , ,5, , , ,5
000503-00-0985,1,2, , , , , , ,3, ,5,6, , ,7,4,7
000503-00-1002,1, , , , , , , , , , , ,2, , , ,2
000503-00-1003,1, , ,4,5, , , , , , ,3,2, , , ,5
000503-00-1006,1,2, ,6, , , , ,5, , ,4,3, , ,7,7
000503-00-1011,1, ,9,6,8,7, , ,3, , ,5,4, , ,2,9
000503-00-1020,1,2, , ,6, , , , , ,4, ,5, ,3, ,6
000503-00-1028,1, , , , ,2, , , , , , , , , , ,2
000503-00-1034,1, , , , , , , , , , , , , , , ,1
000503-00-1036,1,2, , , , , , ,3, , ,4, , , , ,4
000503-00-1042,1,2,3, , , , , ,6, ,4,8,7, ,5, ,8
000503-00-1045,1,2, , , ,7,5, ,4, , , ,3, ,6, ,7
000503-00-1049,1, , ,3, , , , ,2, , , , , , , ,3
000503-00-1077,1,2, , , ,4, , , ,7,8, ,5,6,9,3,9
000503-00-1099,1, , , , , , , , , , , , , , , ,1
000503-00-1101,1, , , , , , , , , , , , , , , ,1
000503-00-1104,1,2, ,14,13,12,11,10,9,8,3,7,6,5,4, ,14
000503-00-1107,1,4,3, , , , , , , , , ,2, , , ,4
000503-00-1108,1,6,5, , ,4, , , , , , ,3, ,2, ,6
000503-00-0008,1, ,3,4,5, ,6,7,8,9, ,2, , , , ,9
000503-00-0012,1,3, , ,2, , , ,4, , , ,5, , , ,5
000203-00-0015,1, , , , , , , , , , , , , , , ,1
000203-00-0017,1,2, , , , ,7,9,6, ,3, ,4,8,5, ,9
000203-00-0026,1,2, , , , , , , , ,3,4,5, , , ,5
000203-00-0029,1,5, , , , , , , , ,4, ,2, ,3, ,5
000502-00-0003,1,6,7, ,8,9, , ,3, ,2, ,4, ,5, ,9
000502-00-0019,1,2, , , , , , , , , , , , , ,3,3
000502-00-0023,1, , , , , , , , , , , , , , , ,1
000502-00-0057,1,3, , , , , , , , , , ,2, , , ,3
000502-00-0062,1,2, , , , , , , , ,3, , , , , ,3
000502-00-0071,1,9,8, ,2, , , ,3,6,4,5, ,7, , ,9
000502-00-0076,1, , , , , , , ,3, ,2, , , , , ,3
000502-00-0101,1,3, , , ,6, , , , ,5,2,7, , ,4,7
000502-00-0113,1, , , , , , , , , , , ,2, , , ,2
000502-00-0115,1, , , , ,4, , , , , , ,2, ,3, ,4
000502-00-0122,1,3, , ,7,4,8, , , , ,2,5, ,9,6,9
000502-00-0128,1,2, , , , , , , , ,5,6,4, , ,3,6
000502-00-0130,1,2, , , , , , , , , ,4,3, , , ,4
000502-00-0149,1,5, , ,8, ,9, ,4,10,3, ,6,2, ,7,10
000502-00-0164,1,16,6,7,2,8,9,10,11,12,15,13,3,4,5,14,16
000502-00-0173,1,3,9,7, , , , , , ,8,6,2, ,4,5,9
000502-00-0181,1, , , , ,4, , ,2, , ,5,3,6, , ,6
000502-00-0191,1, , , , , , , , , , ,3,2, , , ,3
000502-00-0215,1,7, , ,8,6, , ,2, ,4,5,3, ,9,10,10
000502-00-0218,1,2, , , , , , , , , ,3, , ,4, ,4
000502-00-0230,1,2, , , , , , , , , , ,3, , , ,3
000502-00-0235,1,3, ,6,7, , , ,4, , ,5,8, , ,2,8
000502-00-0238,1, , , ,2, , , , , , , ,3, , , ,3
000502-00-0255,1,3, , , , , , ,4, ,2, ,5, , , ,5
000502-00-0266,1,2, , ,4, , , , , , , ,3, ,5, ,5
000502-00-0300,1,2,6,15,7,8, ,12,3,10,4,13,5,14,9,11,15
000502-00-0309,1, , , , , , , , , , ,2,4, , ,3,4
000502-00-0327,1,2,12, ,11,10,4,5,6,7,3,8, , , ,9,12
000502-00-0339,1, , , ,2, , , ,5, , ,4,3, , ,6,6
000502-00-0352,1, , , , , , , ,2, , , ,3, , , ,3
000502-00-0354,1,2, , , ,5, , , , ,3, , ,4, , ,5
000502-00-0396,1,2, , ,8,4, , ,7, ,3,6,5, , ,9,9
000502-00-0399,1,4, , ,3, , , ,2, , , ,5, , , ,5
000502-00-0400,1,2,5, ,3,7, , ,4, , , ,8,6, , ,8
000502-00-0423,1, , , , , , , , , , , , , , , ,1
000502-00-0428,1,5, ,7,2, ,10, ,6, ,9,3,4, , ,8,10
000502-00-0439,1, ,7, ,4, , , ,2, , ,3,6, ,5, ,7
000502-00-0465,1, , , , , , , ,2, , ,4,5, ,6,3,6
000502-00-0467,1, , , , ,3, , , , , , , , , ,2,3
000502-00-0470,1,2, , , ,5,6, , , , ,4,8,3, ,7,8
000502-00-0528,1,2, , , , , , ,3, , ,6,4, , ,5,6
000502-00-0536,1,2, , , ,6,7, , , , , ,3,5,4, ,7
000502-00-0553,1,2, , , , ,5, , , ,3, ,4, , ,6,6
000502-00-0564,1,4, , , , , , , , ,3, ,2, , , ,4
000502-00-0575,1,3, , ,6, , , ,4, , ,5,2, , , ,6
000502-00-0578,1,10, , ,3,9,8, ,5, , ,7,4, ,6,2,10
000502-00-0592,1,2,14,13,12,11,5, ,10, ,4,9,3,8,7,6,14
000502-00-0602,1,3,4, , , , , , , ,5, ,2, , , ,5
000502-00-0612,1,3, , , , , , , , , , ,2, , , ,3
000502-00-0625,1,3, , , , , , , , ,2, ,4,5, , ,5
000502-00-0645,1,4, , ,7, , , ,3, , ,5,2, , ,6,7
000502-00-0677,1,3, , , ,4, , , , , , ,2, , , ,4
000502-00-0690,1,3, , , , , , ,2, ,5,6,4, , , ,6
000502-00-0698,1,3, , , , , , ,4, , , ,5, , ,2,5
000502-00-0704,1,2,7, ,9,5, , ,6, ,3, ,4, ,8,10,10
000502-00-0739,1,2, , , , , , , , , ,3,4, , , ,4
000502-00-0764,1, , , , , , , , , , ,3,2, , ,4,4
000502-00-0775,1, , , ,3, , , , , , ,4,2, , , ,4
000502-00-0799,1, ,2, , , , , ,3, , , , , , , ,3
000502-00-0807,1, , , ,3, , , , , , ,2, , ,4, ,4
000502-00-0810,1,3, , , , , , , , , , ,2, ,4, ,4
000502-00-0822,1,2, , , , , , ,3, , , , , , , ,3
000502-00-0828,1,3, , ,4, , , , , , ,5, , , ,2,5
000502-00-0847,1,2, , , , , , , , ,4, ,3, , , ,4
000502-00-0864,1, , , ,8, , , ,3, , ,7,6,5,4,2,8
000502-00-0873,1, , , ,2, , , , , , ,3, , , , ,3
000502-00-0878,1, , , , , , , , , , , ,2, , , ,2
000502-00-0903,1, , , , , , , , , , , , , , , ,1
000502-00-0907,1, , , , , , , ,4, , ,3,2, , , ,4
000502-00-0909,1,2,5, , , , , , , ,3, ,4, , , ,5
000502-00-0943,1, , , , , , ,3,2,4, , ,5, , , ,5
000502-00-0945,1,2, ,5,4, , , ,3, , , , , , ,6,6
000502-00-0953,1, , , , , , , ,3, ,2, ,4, , , ,4
000502-00-1011,1,3, , , , , , , , ,2, , , , , ,3
000502-00-1022,1,2, , , , ,4, , , , , , , ,3, ,4
000502-00-1040,1, , , ,6,5, , ,3, , ,7,2, , ,4,7
000502-00-1041,1, , , , ,5, , ,2, , , ,3, ,4, ,5
