D:\Cambridge\Election2007\School\Wednesday\School Ballot Allocation Report


000101-00-0003: Fantini, Alfred B.
000101-00-0004: Grassi, Joseph G.
000101-00-0007: Nolan, Patricia M.
000101-00-0009: EXHAUSTED PILE
000101-00-0009: Fantini, Alfred B.
000101-00-0010: Fantini, Alfred B.
000101-00-0010: Grassi, Joseph G.
000101-00-0011: Fantini, Alfred B.
000101-00-0012: Nolan, Patricia M.
000101-00-0013: INVALID
000101-00-0013: Nolan, Patricia M.
000101-00-0015: Fantini, Alfred B.
000101-00-0016: McGovern, Marc C.
000101-00-0019: Tauber, Nancy
000101-00-0021: Grassi, Joseph G.
000101-00-0022: Nolan, Patricia M.
000101-00-0025: Grassi, Joseph G.
000101-00-0026: Grassi, Joseph G.
000101-00-0029: Tauber, Nancy
000101-00-0031: Tauber, Nancy
000101-00-0033: Fantini, Alfred B.
000101-00-0035: Tauber, Nancy
000101-00-0036: Fantini, Alfred B.
000101-00-0039: Nolan, Patricia M.
000101-00-0041: Nolan, Patricia M.
000101-00-0042: Tauber, Nancy
000101-00-0045: Nolan, Patricia M.
000101-00-0048: Grassi, Joseph G.
000101-00-0049: Nolan, Patricia M.
000101-00-0052: Nolan, Patricia M.
000101-00-0053: Nolan, Patricia M.
000101-00-0055: Grassi, Joseph G.
000101-00-0058: Grassi, Joseph G.
000101-00-0060: Fantini, Alfred B.
000101-00-0062: Schuster, Luc
000101-00-0063: Grassi, Joseph G.
000101-00-0065: Fantini, Alfred B.
000101-00-0067: Fantini, Alfred B.
000101-00-0069: Fantini, Alfred B.
000101-00-0070: EXHAUSTED PILE
000101-00-0073: Nolan, Patricia M.
000101-00-0075: Nolan, Patricia M.
000101-00-0077: Tauber, Nancy
000101-00-0079: Fantini, Alfred B.
000101-00-0081: Nolan, Patricia M.
000101-00-0083: Fantini, Alfred B.
000101-00-0084: Schuster, Luc
000101-00-0087: Grassi, Joseph G.
000101-00-0088: Tauber, Nancy
000101-00-0091: Grassi, Joseph G.
000101-00-0092: Fantini, Alfred B.
000101-00-0095: Nolan, Patricia M.
000101-00-0098: Fantini, Alfred B.
000101-00-0099: Schuster, Luc
000101-00-0102: Grassi, Joseph G.
000101-00-0104: Fantini, Alfred B.
000101-00-0105: Fantini, Alfred B.
000101-00-0107: Tauber, Nancy
000101-00-0110: McGovern, Marc C.
000101-00-0111: Schuster, Luc
000101-00-0113: Grassi, Joseph G.
000101-00-0115: Schuster, Luc
000101-00-0118: Grassi, Joseph G.
000101-00-0119: Grassi, Joseph G.
000101-00-0121: Grassi, Joseph G.
000101-00-0124: Grassi, Joseph G.
000101-00-0126: Grassi, Joseph G.
000101-00-0128: Fantini, Alfred B.
000101-00-0131: Grassi, Joseph G.
000101-00-0132: Grassi, Joseph G.
000101-00-0133: Fantini, Alfred B.
000101-00-0136: Fantini, Alfred B.
000101-00-0138: Grassi, Joseph G.
000101-00-0141: EXHAUSTED PILE
000101-00-0142: Grassi, Joseph G.
000101-00-0144: Grassi, Joseph G.
000101-00-0147: McGovern, Marc C.
000101-00-0149: Fantini, Alfred B.
000101-00-0150: EXHAUSTED PILE
000101-00-0153: Grassi, Joseph G.
000101-00-0155: Grassi, Joseph G.
000101-00-0157: Grassi, Joseph G.
000101-00-0159: Grassi, Joseph G.
000101-00-0161: Grassi, Joseph G.
