C:\Cambridge\Election2009\Council\Final\Council Tabular Report (Delimited)
November 13, 2009 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

15,955 valid ballots.
Electing 9 candidates.
Quota is 1596 votes.
There were 118 invalid ballots.
(16,073 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|Count 16|Count 17|
Adkins, Lawrence J.|103.0000000000|106.0000000000|107.0000000000|107.0000000000|108.0000000000|108.0000000000|121.0000000000|126.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 8th count
Cheung, Leland|756.0000000000|774.0000000000|783.0000000000|790.0000000000|793.0000000000|795.0000000000|802.0000000000|809.0000000000|824.0000000000|839.0000000000|858.0000000000|895.0000000000|938.0000000000|1012.0000000000|1205.0000000000|1324.0000000000|1532.0000000000|ELECTED -- 17th count
Davis, Henrietta|1858.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|ELECTED -- 1st count
Flanagan, Mark F.|112.0000000000|115.0000000000|117.0000000000|120.0000000000|121.0000000000|121.0000000000|127.0000000000|131.0000000000|140.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 9th count
Glick, Silvia P.|256.0000000000|266.0000000000|269.0000000000|269.0000000000|270.0000000000|272.0000000000|278.0000000000|289.0000000000|295.0000000000|320.0000000000|330.0000000000|0|0|0|0|0|0|DEFEATED -- 11th count
Kelley, Craig A.|1250.0000000000|1288.0000000000|1297.0000000000|1307.0000000000|1310.0000000000|1315.0000000000|1321.0000000000|1328.0000000000|1337.0000000000|1343.0000000000|1356.0000000000|1398.0000000000|1448.0000000000|1506.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|ELECTED -- 15th count
Leavitt, Neal W.|136.0000000000|139.0000000000|139.0000000000|140.0000000000|140.0000000000|141.0000000000|142.0000000000|144.0000000000|147.0000000000|155.0000000000|0|0|0|0|0|0|0|DEFEATED -- 10th count
Maher, David P.|1286.0000000000|1307.0000000000|1319.0000000000|1347.0000000000|1348.0000000000|1349.0000000000|1350.0000000000|1357.0000000000|1358.0000000000|1365.0000000000|1377.0000000000|1390.0000000000|1428.0000000000|1467.0000000000|1512.0000000000|1596.0000000000|1596.0000000000|ELECTED -- 16th count
Marquardt, Charles J.|385.0000000000|388.0000000000|390.0000000000|393.0000000000|394.0000000000|395.0000000000|396.0000000000|401.0000000000|408.0000000000|413.0000000000|423.0000000000|452.0000000000|472.0000000000|0|0|0|0|DEFEATED -- 13th count
Moree, Gregg J.|47.0000000000|47.0000000000|49.0000000000|50.0000000000|50.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Podgers, Kathy|78.0000000000|78.0000000000|82.0000000000|82.0000000000|83.0000000000|96.0000000000|102.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 7th count
Reeves, Kenneth E.|1166.0000000000|1198.0000000000|1261.0000000000|1277.0000000000|1281.0000000000|1286.0000000000|1294.0000000000|1304.0000000000|1334.0000000000|1347.0000000000|1356.0000000000|1382.0000000000|1395.0000000000|1419.0000000000|1472.0000000000|1596.0000000000|1596.0000000000|ELECTED -- 16th count
Seidel, Sam|900.0000000000|930.0000000000|952.0000000000|962.0000000000|962.0000000000|964.0000000000|971.0000000000|977.0000000000|980.0000000000|985.0000000000|1004.0000000000|1034.0000000000|1128.0000000000|1162.0000000000|1327.0000000000|1573.0000000000|1596.0000000000|ELECTED -- 17th count
Simmons, E. Denise|1785.0000000000|1785.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|ELECTED -- 1st count
Stohlman, Jr., Thomas J.|378.0000000000|390.0000000000|395.0000000000|397.0000000000|398.0000000000|401.0000000000|406.0000000000|412.0000000000|414.0000000000|419.0000000000|433.0000000000|447.0000000000|0|0|0|0|0|DEFEATED -- 12th count
Sullivan, Edward J.|885.0000000000|888.0000000000|899.0000000000|948.0000000000|948.0000000000|952.0000000000|953.0000000000|955.0000000000|956.0000000000|963.0000000000|969.0000000000|976.0000000000|1006.0000000000|1067.0000000000|1105.0000000000|1167.0000000000|0|DEFEATED -- 16th count
Toomey, Jr., Timothy J.|1748.0000000000|1748.0000000000|1748.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|1596.0000000000|ELECTED -- 1st count
vanBeuzekom, Minka Y.|682.0000000000|713.0000000000|725.0000000000|726.0000000000|726.0000000000|728.0000000000|733.0000000000|739.0000000000|749.0000000000|758.0000000000|766.0000000000|817.0000000000|864.0000000000|899.0000000000|0|0|0|DEFEATED -- 14th count
Ward, Larry W.|736.0000000000|763.0000000000|781.0000000000|796.0000000000|796.0000000000|798.0000000000|808.0000000000|812.0000000000|824.0000000000|829.0000000000|836.0000000000|856.0000000000|887.0000000000|912.0000000000|1012.0000000000|0|0|DEFEATED -- 15th count
Williamson, James M.|90.0000000000|90.0000000000|91.0000000000|92.0000000000|92.0000000000|92.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
