C:\Cambridge\Election2009\Council\Tuesday\Council Detail Report (Delimited)
10|November 3, 2009 -- Cambridge, MA
10|City Council Election
10|Cambridge, Massachusetts
10|Preliminary Results (Election Night)
20|C01|"Adkins, Lawrence J."
20|C02|"Cheung, Leland"
20|C03|"Davis, Henrietta"
20|C04|"Flanagan, Mark F."
20|C05|"Glick, Silvia P."
20|C06|"Kelley, Craig A."
20|C07|"Leavitt, Neal W."
20|C08|"Maher, David P."
20|C09|"Marquardt, Charles J."
20|C10|"Moree, Gregg J."
20|C11|"Podgers, Kathy"
20|C12|"Reeves, Kenneth E."
20|C13|"Seidel, Sam"
20|C14|"Simmons, E. Denise"
20|C15|"Stohlman, Jr., Thomas J."
20|C16|"Sullivan, Edward J."
20|C17|"Toomey, Jr., Timothy J."
20|C18|"vanBeuzekom, Minka Y."
20|C19|"Ward, Larry W."
20|C20|"Williamson, James M."
20|WI01|"Write-In 1"
20|WI02|"Write-In 2"
20|WI03|"Write-In 3"
20|WI04|"Write-In 4"
20|WI05|"Write-In 5"
20|WI06|"Write-In 6"
20|WI07|"Write-In 7"
20|WI08|"Write-In 8"
20|WI09|"Write-In 9"
30|system|Proportional Representation
30|threshold|Droop
30|surplusTransfers|Random, every nth ballot (Cambridge style)|Avoid exhausted ballots if possible|Elected immediately (after the 1st count)
30|ties|1) Previous Count method|2) By election official|3) Random (by computer)
40|12471|12471|9|1248|0
50|1|Tally of 1st place votes.
60|C17|+1587|1587|ELECTED -- 1st count
60|C03|+1446|1446|ELECTED -- 1st count
60|C14|+1441|1441|ELECTED -- 1st count
60|C08|+1106|1106|CONTINUING
60|C06|+1080|1080|CONTINUING
60|C12|+1010|1010|CONTINUING
60|C16|+791|791|CONTINUING
60|C13|+755|755|CONTINUING
60|C02|+673|673|CONTINUING
60|C19|+609|609|CONTINUING
60|C18|+572|572|CONTINUING
60|C09|+347|347|CONTINUING
60|C15|+341|341|CONTINUING
60|C05|+201|201|CONTINUING
60|C07|+116|116|CONTINUING
60|C04|+107|107|CONTINUING
60|C01|+94|94|CONTINUING
60|C20|+82|82|CONTINUING
60|C11|+70|70|CONTINUING
60|C10|+43|43|CONTINUING
60|WI01|0|0|CONTINUING
60|WI02|0|0|CONTINUING
60|WI03|0|0|CONTINUING
60|WI04|0|0|CONTINUING
60|WI05|0|0|CONTINUING
60|WI06|0|0|CONTINUING
60|WI07|0|0|CONTINUING
60|WI08|0|0|CONTINUING
60|WI09|0|0|CONTINUING
60|CAND_EXHAUSTED|0|0|
70|Toomey, Jr., Timothy J. has been ELECTED because s/he has met the quota.
70|Davis, Henrietta has been ELECTED because s/he has met the quota.
70|Simmons, E. Denise has been ELECTED because s/he has met the quota.
50|2|Toomey, Jr., Timothy J. has been ELECTED -- transferring surplus votes.
60|C17|-339|1248|ELECTED -- 1st count
60|C03|0|1446|ELECTED -- 1st count
60|C14|0|1441|ELECTED -- 1st count
60|C08|+76|1182|CONTINUING
60|C06|+26|1106|CONTINUING
60|C12|+34|1044|CONTINUING
