ID,Cheung Leland,Davis Henrietta,Decker Marjorie C.,Kelley Craig A.,Maher David P.,Marquardt Charles J.,Mello Gary W.,Moree Gregg J.,Nelson Matthew P.,Pascual Jamake,Reeves Kenneth E.,Seidel Sam,Simmons E. Denise,Stohlman Jr. Thomas J.,Toomey Jr. Timothy J.,vanBeuzekom Minka Y.,Ward Larry W.,Williamson James M.,count
000101-00-0001, , , , , ,2, , , , ,3, , , ,1, , , ,3
000101-00-0001, , , , , , , , , , ,2, ,4, ,1, ,3, ,4
000101-00-0002,1, , , , , , , , , ,4, , , ,2, ,3, ,4
000101-00-0002, ,4,7,5,3,2, , , , , ,6, , ,1, , , ,7
000101-00-0003, , , , , , , , , , , , , , , ,2, , ,1
000101-00-0005, , , , , ,1, , , , , , , , ,5,4,3,2,5
000101-00-0006,2, ,1, , , , , , , , , ,3, , , , , ,3
000101-00-0007, , , , , , , , , , ,2, , , ,1, , , ,2
000101-00-0011, , ,5, ,2,3, , , , , , , , ,1, ,4, ,5
000101-00-0012,3,2, , , , , , , , , , ,1, , , , , ,3
000101-00-0014,3,2, ,7,8,4, , , , ,9,5,6, ,1, , , ,9
000101-00-0016, ,3, , , , , , , , , , , , ,1,2, , ,3
000101-00-0017, , , , , ,3, , ,4, ,1, , , ,2, , , ,4
000101-00-0019,7, ,6,5,4, , , , , ,1, ,2, ,3, ,8, ,8
000101-00-0021, , , , ,2,3, , , , , , , , ,1, , , ,3
000101-00-0023,2,3, , , ,5, , , , , , , , ,4,1, , ,5
000101-00-0025, , , , , , ,2, , , , ,3, , ,1, , , ,3
000101-00-0027, , , , , , ,2, , , , ,3, , ,1, , , ,3
000101-00-0027, , , , , , , , , , , , , , , , , , ,0
000101-00-0028,2,3, , , ,4, , , , , , , , ,5,1, , ,5
000101-00-0028, , , , , , , , , , , , , , , , , , ,0
000101-00-0029, , ,3, ,2, , , , , ,4, ,5, ,1, , , ,5
000101-00-0033, , , , , ,6,7,8,9,1, , , ,2, ,3,4,5,9
000101-00-0034, ,1,2, , , , ,3, , , , , , , , , , ,3
000101-00-0036,2,3, ,7,10, , , ,1, ,9,8, , ,5,6,4, ,10
000101-00-0039,5,8, ,1, ,2, , , , ,9,4,7,3,11,6, ,10,11
000101-00-0040,2, ,3, , , , , , , , , , , ,1, , , ,3
000101-00-0043,2, ,3, , , , , , , , , , , ,1, , , ,3
000101-00-0044,9, , ,1, ,2, , ,8, , ,4,7,3,10,5,6, ,10
000101-00-0046, , , , ,1, , , , , , , , , , , , , ,1
000101-00-0049,4,5, ,1,3, , , , , , ,6,7,8,9,2,10, ,10
000101-00-0051, , , , , , , , , , , , ,1, , , , , ,1
