C:\Cambridge\Election2011\Council\Final\Council Tabular Report (Delimited)
November 18, 2011 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

15,845 valid ballots.
Electing 9 candidates.
Quota is 1585 votes.
There were 126 invalid ballots.
(15,971 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|
Cheung, Leland|2017.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|ELECTED -- 1st count
Davis, Henrietta|1436.0000000000|1527.0000000000|1543.0000000000|1555.0000000000|1556.0000000000|1558.0000000000|1560.0000000000|1566.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|ELECTED -- 9th count
Decker, Marjorie C.|1123.0000000000|1170.0000000000|1184.0000000000|1210.0000000000|1211.0000000000|1213.0000000000|1215.0000000000|1224.0000000000|1236.0000000000|1275.0000000000|1310.0000000000|1389.0000000000|1579.0000000000|1585.0000000000|ELECTED -- 14th count
Kelley, Craig A.|1098.0000000000|1149.0000000000|1158.0000000000|1168.0000000000|1169.0000000000|1172.0000000000|1178.0000000000|1186.0000000000|1196.0000000000|1249.0000000000|1388.0000000000|1433.0000000000|1585.0000000000|1585.0000000000|ELECTED -- 13th count
Maher, David P.|1686.0000000000|1686.0000000000|1686.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|1585.0000000000|ELECTED -- 1st count
Marquardt, Charles J.|501.0000000000|520.0000000000|528.0000000000|531.0000000000|532.0000000000|536.0000000000|539.0000000000|555.0000000000|563.0000000000|588.0000000000|0|0|0|0|DEFEATED -- 10th count
Mello, Gary W.|135.0000000000|139.0000000000|141.0000000000|142.0000000000|142.0000000000|148.0000000000|154.0000000000|0|0|0|0|0|0|0|DEFEATED -- 7th count
Moree, Gregg J.|56.0000000000|58.0000000000|61.0000000000|62.0000000000|62.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Nelson, Matthew P.|542.0000000000|554.0000000000|564.0000000000|566.0000000000|567.0000000000|571.0000000000|575.0000000000|585.0000000000|596.0000000000|614.0000000000|679.0000000000|0|0|0|DEFEATED -- 11th count
Pascual, Jamake|63.0000000000|64.0000000000|64.0000000000|66.0000000000|66.0000000000|67.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
Reeves, Kenneth E.|1013.0000000000|1041.0000000000|1054.0000000000|1060.0000000000|1061.0000000000|1065.0000000000|1069.0000000000|1081.0000000000|1090.0000000000|1107.0000000000|1132.0000000000|1186.0000000000|1288.0000000000|1585.0000000000|ELECTED -- 14th count
Seidel, Sam|788.0000000000|836.0000000000|841.0000000000|849.0000000000|849.0000000000|852.0000000000|853.0000000000|855.0000000000|867.0000000000|919.0000000000|956.0000000000|1040.0000000000|0|0|DEFEATED -- 12th count
Simmons, E. Denise|1266.0000000000|1303.0000000000|1324.0000000000|1335.0000000000|1335.0000000000|1340.0000000000|1345.0000000000|1354.0000000000|1371.0000000000|1395.0000000000|1419.0000000000|1488.0000000000|1585.0000000000|1585.0000000000|ELECTED -- 13th count
