W-P,First Choice,Second Choice,Third Choice,Count
2001-02-05,ABBY NORDLING-RUGGLER,BECKY NORDLING-RUGGLER,GOR,1.0
2001-02-08,AIG,ADAM WOHL,XXX,1.0
2001-02-05,AIG,BLAKE JOHNSON,GOR,1.0
2001-02-02,AIG,CHRISTOPHER CLARK,LYLE BISHOP,1.0
2001-02-01,AIG,GOR,NO ONE,1.0
2001-02-01,AIG,GOR,XXX,10.0
2001-02-02,AIG,GOR,XXX,19.0
2001-02-03,AIG,GOR,XXX,12.0
2001-02-04,AIG,GOR,XXX,4.0
2001-02-05,AIG,GOR,XXX,5.0
2001-02-06,AIG,GOR,XXX,8.0
2001-02-07,AIG,GOR,XXX,9.0
2001-02-08,AIG,GOR,XXX,5.0
2001-02-09,AIG,GOR,XXX,11.0
2001-02-10,AIG,GOR,XXX,22.0
2001-02-11,AIG,GOR,XXX,7.0
2001-02-08,AIG,JOE MAUER,XXX,1.0
2001-02-07,AIG,JOHN MUSIELEWICZ,XXX,1.0
2001-02-02,AIG,KARL KNUTSON,XXX,1.0
2001-02-03,AIG,KATIE FOURNIER,XXX,1.0
2001-02-03,AIG,KEVIN WENDT,XXX,1.0
2001-02-06,AIG,LISA WASTNER,NUCH BASHIRE,1.0
2001-02-09,AIG,MICHAEL BRADLEY,XXX,1.0
2001-02-01,AIG,NINA CHENAULT,GOR,1.0
2001-02-02,AIG,PAUL ZERBY,ASHLIEY BOWMAN,1.0
2001-02-06,AIG,RANDY CLEVEN,CAROL CLEVEN,1.0
2001-02-01,AIG,XXX,XXX,5.0
2001-02-01,AIG,XXX,XXX,30.0
2001-02-02,AIG,XXX,XXX,73.0
2001-02-03,AIG,XXX,XXX,28.0
2001-02-04,AIG,XXX,XXX,6.0
2001-02-05,AIG,XXX,XXX,28.0
2001-02-06,AIG,XXX,XXX,34.0
2001-02-07,AIG,XXX,XXX,16.0
2001-02-08,AIG,XXX,XXX,9.0
2001-02-09,AIG,XXX,XXX,23.0
2001-02-10,AIG,XXX,XXX,18.0
2001-02-11,AIG,XXX,XXX,12.0
2001-02-03,ALLEN KATHIR,GOR,XXX,1.0
2001-02-03,CHARLES CARLSON,GOR,AIG,1.0
2001-02-11,DREW POST,XXX,XXX,1.0
2001-02-01,GARY EISCHENS,GOR,AIG,1.0
2001-02-10,GOR,AIG,ABDIRAHMAN JAMA,1.0
2001-02-10,GOR,AIG,ALOK,1.0
2001-02-01,GOR,AIG,ANNA BOYAL,1.0
2001-02-02,GOR,AIG,DICK VAN DYKE,1.0
2001-02-03,GOR,AIG,GREG C BROWN,1.0
2001-02-05,GOR,AIG,LINDEN KILLAM,1.0
2001-02-01,GOR,AIG,MICKEY MOUSE,1.0
2001-02-04,GOR,AIG,NATHAN STOTKO,1.0
2001-02-01,GOR,AIG,NICK FELIX,1.0
2001-02-05,GOR,AIG,PAUL ZERBY,1.0
2001-02-07,GOR,AIG,PETER MCLAUGLIN,1.0
2001-02-08,GOR,AIG,TIM MUNGAVAN,1.0
2001-02-01,GOR,AIG,XXX,1.0
2001-02-01,GOR,AIG,XXX,12.0
2001-02-01,GOR,AIG,XXX,31.0
2001-02-02,GOR,AIG,XXX,72.0
2001-02-03,GOR,AIG,XXX,28.0
2001-02-04,GOR,AIG,XXX,10.0
2001-02-05,GOR,AIG,XXX,32.0
2001-02-06,GOR,AIG,XXX,38.0
2001-02-07,GOR,AIG,XXX,21.0
2001-02-08,GOR,AIG,XXX,14.0
2001-02-09,GOR,AIG,XXX,15.0
2001-02-10,GOR,AIG,XXX,19.0
2001-02-11,GOR,AIG,XXX,6.0
2001-02-02,GOR,BATMAN,YODA,1.0
2001-02-10,GOR,BICKING,AIG,1.0
2001-02-02,GOR,BILL BARNETT,XXX,1.0
2001-02-02,GOR,BLUE DOG,AIG,1.0
2001-02-02,GOR,CAM LETOFSKY,XXX,1.0
2001-02-10,GOR,CARA LETOFSKY,AIG,1.0
2001-02-01,GOR,CARA LETOFSKY,ROBYN GARWOOD,1.0
2001-02-11,GOR,CHEWBACCA,XXX,1.0
2001-02-01,GOR,DICK WESTBY,AIG,1.0
2001-02-02,GOR,ELIZABETH FROST,XXX,1.0
2001-02-03,GOR,FATTY SWEDE,XXX,1.0
2001-02-03,GOR,FRANK ZAPPA,XXX,1.0
2001-02-03,GOR,FRANK ZAZALA,AIG,1.0
2001-02-05,GOR,IAN SORLIE,ELIJAH GLAD,1.0
2001-02-01,GOR,JACK NELSON-PALLMEYER,MARGRET MICHAELSON,1.0
2001-02-05,GOR,JAMES HOLMAN,CLIFTON ASHELY,1.0
2001-02-03,GOR,JEFF ALLEN,JILL MUELLER,1.0
2001-02-02,GOR,JON LOOKE,AIG,1.0
2001-02-02,GOR,KEN R. KUENSE,XXX,1.0
2001-02-02,GOR,MIKE OVERSTREET,SANDRA OVERSTREET,1.0
