W-P,First Choice,Second Choice,Third Choice,Count
13-03,ALEXANDER MATOUSHEK,TOM MATOUSHEK,JOANNE KAUFMAN,1.0
10-06,BOU,ANY CONSERVATIVE,XXX,1.0
13-04,BOU,BOB FINE,DENNIS SCHAPIRO,1.0
08-06,BOU,CHRIS FOTHERGILL,EDWARD DORSEY,1.0
08-07,BOU,D KLICK,M ILLIES,1.0
13-06,BOU,DAVID WULFF,XXX,1.0
08-06,BOU,DEAN F. MULDOON,XXX,1.0
10-09,BOU,FOR,ANNA SMITH,1.0
10-04,BOU,FOR,COUNT CHOCULA,1.0
13-01,BOU,FOR,DAN SIHOCKY,1.0
13-09,BOU,FOR,DICK GUTHIER,1.0
08-06,BOU,FOR,FELIX HAVOC,1.0
08-06,BOU,FOR,HAN,6.0
08-07,BOU,FOR,HAN,11.0
10-04,BOU,FOR,HAN,2.0
10-05,BOU,FOR,HAN,1.0
10-06,BOU,FOR,HAN,6.0
10-07,BOU,FOR,HAN,6.0
10-08,BOU,FOR,HAN,13.0
10-09,BOU,FOR,HAN,6.0
11-01,BOU,FOR,HAN,7.0
11-02,BOU,FOR,HAN,6.0
11-03,BOU,FOR,HAN,7.0
11-04,BOU,FOR,HAN,3.0
13-01,BOU,FOR,HAN,1.0
13-02,BOU,FOR,HAN,4.0
13-03,BOU,FOR,HAN,8.0
13-04,BOU,FOR,HAN,7.0
13-05,BOU,FOR,HAN,6.0
13-06,BOU,FOR,HAN,18.0
13-07,BOU,FOR,HAN,3.0
13-08,BOU,FOR,HAN,10.0
13-09,BOU,FOR,HAN,10.0
13-10,BOU,FOR,HAN,10.0
08-06,BOU,FOR,JEC,14.0
08-07,BOU,FOR,JEC,15.0
10-04,BOU,FOR,JEC,3.0
10-05,BOU,FOR,JEC,3.0
10-06,BOU,FOR,JEC,11.0
10-07,BOU,FOR,JEC,9.0
10-08,BOU,FOR,JEC,9.0
10-09,BOU,FOR,JEC,7.0
11-01,BOU,FOR,JEC,17.0
11-02,BOU,FOR,JEC,12.0
11-03,BOU,FOR,JEC,9.0
11-04,BOU,FOR,JEC,4.0
13-01,BOU,FOR,JEC,3.0
13-02,BOU,FOR,JEC,36.0
13-03,BOU,FOR,JEC,18.0
13-04,BOU,FOR,JEC,27.0
13-05,BOU,FOR,JEC,37.0
13-06,BOU,FOR,JEC,31.0
13-07,BOU,FOR,JEC,8.0
13-08,BOU,FOR,JEC,17.0
13-09,BOU,FOR,JEC,17.0
13-10,BOU,FOR,JEC,17.0
13-02,BOU,FOR,JEROME RITTER,1.0
13-09,BOU,FOR,MOYA MATHEWS,1.0
08-07,BOU,FOR,STELLA COLLIER,1.0
10-04,BOU,FOR,TOM HELWIG,1.0
08-06,BOU,FOR,XXX,26.0
08-07,BOU,FOR,XXX,61.0
10-04,BOU,FOR,XXX,25.0
10-05,BOU,FOR,XXX,4.0
10-06,BOU,FOR,XXX,42.0
10-07,BOU,FOR,XXX,36.0
10-08,BOU,FOR,XXX,44.0
10-09,BOU,FOR,XXX,30.0
11-01,BOU,FOR,XXX,61.0
11-02,BOU,FOR,XXX,61.0
11-03,BOU,FOR,XXX,14.0
11-04,BOU,FOR,XXX,6.0
13-01,BOU,FOR,XXX,31.0
13-02,BOU,FOR,XXX,72.0
13-03,BOU,FOR,XXX,33.0
13-04,BOU,FOR,XXX,49.0
13-05,BOU,FOR,XXX,58.0
13-06,BOU,FOR,XXX,93.0
13-07,BOU,FOR,XXX,32.0
