Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-3 P-02,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-05,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-08,Steve Fletcher,Tim Bildsoe,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-12,Ginger Jentzen,Samantha Pree-Stinson,Tim Bildsoe,1
MINNEAPOLIS W-3 P-06,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-12,Ginger Jentzen,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-05,Steve Fletcher,Samantha Pree-Stinson,Ginger Jentzen,1
MINNEAPOLIS W-3 P-12,Steve Fletcher,Ginger Jentzen,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Samantha Pree-Stinson,Ginger Jentzen,Steve Fletcher,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-05,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-11,Samantha Pree-Stinson,Ginger Jentzen,Steve Fletcher,1
MINNEAPOLIS W-3 P-11,Steve Fletcher,Tim Bildsoe,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-11,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-12,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-01,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Ginger Jentzen,Samantha Pree-Stinson,undervote,1
MINNEAPOLIS W-3 P-07,Samantha Pree-Stinson,Tim Bildsoe,Steve Fletcher,1
MINNEAPOLIS W-3 P-12,Steve Fletcher,Ginger Jentzen,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-08,Tim Bildsoe,Steve Fletcher,Ginger Jentzen,1
MINNEAPOLIS W-3 P-09,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-07,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-09,Samantha Pree-Stinson,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Ginger Jentzen,Samantha Pree-Stinson,undervote,1
MINNEAPOLIS W-3 P-07,Tim Bildsoe,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-02,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-07,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Samantha Pree-Stinson,Ginger Jentzen,1
MINNEAPOLIS W-3 P-01,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-04,Steve Fletcher,Ginger Jentzen,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-04,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-10,Ginger Jentzen,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-06,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-3 P-08,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Ginger Jentzen,Samantha Pree-Stinson,Tim Bildsoe,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,Samantha Pree-Stinson,Steve Fletcher,1
MINNEAPOLIS W-3 P-07,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-12,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-06,Ginger Jentzen,Samantha Pree-Stinson,UWI,1
MINNEAPOLIS W-3 P-05,Tim Bildsoe,Steve Fletcher,undervote,1
MINNEAPOLIS W-3 P-12,Steve Fletcher,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Ginger Jentzen,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-06,Ginger Jentzen,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Steve Fletcher,Tim Bildsoe,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-08,Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-09,Tim Bildsoe,undervote,undervote,1
MINNEAPOLIS W-3 P-08,Ginger Jentzen,Tim Bildsoe,Samantha Pree-Stinson,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Tim Bildsoe,undervote,1
MINNEAPOLIS W-3 P-07,Steve Fletcher,Tim Bildsoe,Ginger Jentzen,1
MINNEAPOLIS W-3 P-03,Steve Fletcher,Ginger Jentzen,undervote,1
