Candidate 0000440Jan Shabro                                        0000001000071400
Candidate 0000441Julie Anderson                                    0000002000071400
Candidate 0000442Will Baker                                        0000003000071400
Candidate 0000132Write-In                                          0000004000071410
Contest   0000714Pierce County Auditor                             0000195000000000
Precinct  000000202-001                                            0000001000000000
Precinct  000000302-002                                            0000002000000000
Precinct  000000402-003                                            0000003000000000
Precinct  000000502-004                                            0000004000000000
Precinct  000000602-005                                            0000005000000000
Precinct  000000702-006                                            0000006000000000
Precinct  000000802-011                                            0000007000000000
Precinct  000000902-012                                            0000008000000000
Precinct  000001002-013                                            0000009000000000
Precinct  000001102-014                                            0000010000000000
Precinct  000001202-015                                            0000011000000000
Precinct  000001302-016                                            0000012000000000
Precinct  000001402-017                                            0000013000000000
Precinct  000001502-018                                            0000014000000000
Precinct  000001602-019                                            0000015000000000
Precinct  000001702-020                                            0000016000000000
Precinct  000001802-021                                            0000017000000000
Precinct  000001902-022                                            0000018000000000
Precinct  000002002-023                                            0000019000000000
Precinct  000002102-024                                            0000020000000000
Precinct  000002202-025                                            0000021000000000
Precinct  000002302-026                                            0000022000000000
Precinct  000002402-027                                            0000023000000000
Precinct  000002502-028                                            0000024000000000
Precinct  000002602-029                                            0000025000000000
Precinct  000002702-030                                            0000026000000000
Precinct  000002802-031                                            0000027000000000
Precinct  000002902-032                                            0000028000000000
Precinct  000003002-033                                            0000029000000000
Precinct  000003102-034                                            0000030000000000
Precinct  000003202-035                                            0000031000000000
Precinct  000003302-036                                            0000032000000000
Precinct  000003402-037                                            0000033000000000
Precinct  000003502-038                                            0000034000000000
Precinct  000003602-039                                            0000035000000000
Precinct  000003702-040                                            0000036000000000
Precinct  000003802-041                                            0000037000000000
Precinct  000003902-042                                            0000038000000000
Precinct  000004002-043                                            0000039000000000
Precinct  000004102-044                                            0000040000000000
Precinct  000004202-045                                            0000041000000000
Precinct  000004302-046                                            0000042000000000
Precinct  000004402-047                                            0000043000000000
Precinct  000004502-048                                            0000044000000000
Precinct  000004602-049                                            0000045000000000
Precinct  000004702-050                                            0000046000000000
Precinct  000004802-051                                            0000047000000000
Precinct  000004902-052                                            0000048000000000
Precinct  000005002-053                                            0000049000000000
Precinct  000005102-054                                            0000050000000000
Precinct  000005202-055                                            0000051000000000
Precinct  000005302-056                                            0000052000000000
Precinct  000005402-057                                            0000053000000000
Precinct  000005502-058                                            0000054000000000
Precinct  000005602-059                                            0000055000000000
Precinct  000005702-060                                            0000056000000000
Precinct  000005802-061                                            0000057000000000
Precinct  000005902-062                                            0000058000000000
Precinct  000006002-063                                            0000059000000000
Precinct  000006102-064                                            0000060000000000
Precinct  000006202-065                                            0000061000000000
Precinct  000006325-101                                            0000062000000000
Precinct  000006425-102                                            0000063000000000
Precinct  000006525-103                                            0000064000000000
Precinct  000006625-104                                            0000065000000000
Precinct  000006725-105                                            0000066000000000
Precinct  000006825-106                                            0000067000000000
Precinct  000006925-107                                            0000068000000000
Precinct  000007025-108                                            0000069000000000
Precinct  000007125-109                                            0000070000000000
Precinct  000007225-110                                            0000071000000000
Precinct  000007325-111                                            0000072000000000
Precinct  000007425-112                                            0000073000000000
Precinct  000007525-113                                            0000074000000000
Precinct  000007625-114                                            0000075000000000
Precinct  000007725-115                                            0000076000000000
Precinct  000007825-116                                            0000077000000000
Precinct  000007925-117                                            0000078000000000
Precinct  000008025-118                                            0000079000000000
Precinct  000008125-119                                            0000080000000000
Precinct  000008225-121                                            0000081000000000
Precinct  000008325-122                                            0000082000000000
Precinct  000008425-123                                            0000083000000000
Precinct  000008525-124                                            0000084000000000
Precinct  000008625-127                                            0000085000000000
Precinct  000008725-128                                            0000086000000000
Precinct  000008825-129                                            0000087000000000
Precinct  000008925-130                                            0000088000000000
Precinct  000009025-131                                            0000089000000000
Precinct  000009125-132                                            0000090000000000
Precinct  000009225-135                                            0000091000000000
Precinct  000009325-136                                            0000092000000000
Precinct  000009425-137                                            0000093000000000
Precinct  000009525-138                                            0000094000000000
Precinct  000009625-139                                            0000095000000000
Precinct  000009725-140                                            0000096000000000
Precinct  000009825-141                                            0000097000000000
Precinct  000009925-142                                            0000098000000000
Precinct  000010025-143                                            0000099000000000
Precinct  000010125-144                                            0000100000000000
Precinct  000010225-145                                            0000101000000000
Precinct  000010325-146                                            0000102000000000
Precinct  000010425-147                                            0000103000000000
Precinct  000010525-148                                            0000104000000000
Precinct  000010625-149                                            0000105000000000
Precinct  000010725-150                                            0000106000000000
Precinct  000010825-151                                            0000107000000000
Precinct  000010925-152                                            0000108000000000
Precinct  000011025-153                                            0000109000000000
Precinct  000011125-154                                            0000110000000000
Precinct  000011225-155                                            0000111000000000
Precinct  000011325-156                                            0000112000000000
Precinct  000011425-157                                            0000113000000000
Precinct  000011525-158                                            0000114000000000
Precinct  000011625-159                                            0000115000000000
Precinct  000011725-160                                            0000116000000000
Precinct  000011825-161                                            0000117000000000
Precinct  000011925-162                                            0000118000000000
Precinct  000012025-163                                            0000119000000000
Precinct  000012125-164                                            0000120000000000
Precinct  000012225-165                                            0000121000000000
Precinct  000012325-166                                            0000122000000000
Precinct  000012425-167                                            0000123000000000
Precinct  000012525-168                                            0000124000000000
Precinct  000012625-169                                            0000125000000000
Precinct  000012725-170                                            0000126000000000
Precinct  000012825-171                                            0000127000000000
Precinct  000012925-172                                            0000128000000000
Precinct  000013025-173                                            0000129000000000
Precinct  000013125-174                                            0000130000000000
Precinct  000013225-175                                            0000131000000000
Precinct  000013325-176                                            0000132000000000
Precinct  000013425-177                                            0000133000000000
Precinct  000013525-178                                            0000134000000000
Precinct  000013625-179                                            0000135000000000
Precinct  000013725-180                                            0000136000000000
Precinct  000013825-181                                            0000137000000000
Precinct  000013926-201                                            0000138000000000
Precinct  000014026-202                                            0000139000000000
Precinct  000014126-203                                            0000140000000000
Precinct  000014226-204                                            0000141000000000
Precinct  000014326-211                                            0000142000000000
Precinct  000014426-212                                            0000143000000000
Precinct  000014526-213                                            0000144000000000
Precinct  000014626-214                                            0000145000000000
Precinct  000014726-215                                            0000146000000000
Precinct  000014826-216                                            0000147000000000
Precinct  000014926-217                                            0000148000000000
Precinct  000015026-218                                            0000149000000000
Precinct  000015126-219                                            0000150000000000
Precinct  000015226-220                                            0000151000000000
Precinct  000015326-221                                            0000152000000000
Precinct  000015426-222                                            0000153000000000
Precinct  000015526-223                                            0000154000000000
Precinct  000015626-224                                            0000155000000000
Precinct  000015726-225                                            0000156000000000
Precinct  000015826-226                                            0000157000000000
Precinct  000015926-227                                            0000158000000000
Precinct  000016026-228                                            0000159000000000
Precinct  000016126-229                                            0000160000000000
Precinct  000016226-230                                            0000161000000000
Precinct  000016326-231                                            0000162000000000
Precinct  000016427-301                                            0000163000000000
Precinct  000016527-302                                            0000164000000000
Precinct  000016627-303                                            0000165000000000
Precinct  000016727-304                                            0000166000000000
Precinct  000016827-305                                            0000167000000000
Precinct  000016927-306                                            0000168000000000
Precinct  000017027-307                                            0000169000000000
Precinct  000017127-308                                            0000170000000000
Precinct  000017227-309                                            0000171000000000
Precinct  000017327-310                                            0000172000000000
Precinct  000017427-311                                            0000173000000000
Precinct  000017527-312                                            0000174000000000
Precinct  000017627-313                                            0000175000000000
Precinct  000017727-314                                            0000176000000000
Precinct  000017827-315                                            0000177000000000
Precinct  000017927-316                                            0000178000000000
Precinct  000018027-317                                            0000179000000000
Precinct  000018127-318                                            0000180000000000
Precinct  000018227-319                                            0000181000000000
Precinct  000018327-320                                            0000182000000000
Precinct  000018427-321                                            0000183000000000
Precinct  000018527-322                                            0000184000000000
Precinct  000018627-323                                            0000185000000000
Precinct  000018727-324                                            0000186000000000
Precinct  000018827-325                                            0000187000000000
Precinct  000018927-326                                            0000188000000000
Precinct  000019027-327                                            0000189000000000
Precinct  000019127-328                                            0000190000000000
Precinct  000019227-329                                            0000191000000000
Precinct  000019327-330                                            0000192000000000
Precinct  000019427-331                                            0000193000000000
Precinct  000019527-332                                            0000194000000000
Precinct  000019627-333                                            0000195000000000
Precinct  000019727-334                                            0000196000000000
Precinct  000019827-335                                            0000197000000000
Precinct  000019927-336                                            0000198000000000
Precinct  000020027-337                                            0000199000000000
Precinct  000020127-338                                            0000200000000000
Precinct  000020227-339                                            0000201000000000
Precinct  000020327-340                                            0000202000000000
Precinct  000020427-341                                            0000203000000000
Precinct  000020527-342                                            0000204000000000
Precinct  000020627-343                                            0000205000000000
Precinct  000020727-344                                            0000206000000000
Precinct  000020827-345                                            0000207000000000
Precinct  000020927-346                                            0000208000000000
Precinct  000021027-351                                            0000209000000000
Precinct  000021127-352                                            0000210000000000
Precinct  000021227-353                                            0000211000000000
Precinct  000021327-354                                            0000212000000000
Precinct  000021427-355                                            0000213000000000
Precinct  000021527-356                                            0000214000000000
Precinct  000021627-357                                            0000215000000000
Precinct  000021727-358                                            0000216000000000
Precinct  000021827-359                                            0000217000000000
Precinct  000021927-360                                            0000218000000000
Precinct  000022028-401                                            0000219000000000
Precinct  000022128-402                                            0000220000000000
Precinct  000022228-403                                            0000221000000000
Precinct  000022328-404                                            0000222000000000
Precinct  000022428-405                                            0000223000000000
Precinct  000022528-411                                            0000224000000000
Precinct  000022628-412                                            0000225000000000
Precinct  000022728-413                                            0000226000000000
Precinct  000022828-416                                            0000227000000000
Precinct  000022928-417                                            0000228000000000
Precinct  000023028-418                                            0000229000000000
Precinct  000023128-419                                            0000230000000000
Precinct  000023228-420                                            0000231000000000
Precinct  000023328-421                                            0000232000000000
Precinct  000023428-422                                            0000233000000000
Precinct  000023528-423                                            0000234000000000
Precinct  000023628-424                                            0000235000000000
Precinct  000023728-425                                            0000236000000000
Precinct  000023828-426                                            0000237000000000
Precinct  000023928-430                                            0000238000000000
Precinct  000024028-431                                            0000239000000000
Precinct  000024128-432                                            0000240000000000
Precinct  000024228-433                                            0000241000000000
Precinct  000024328-434                                            0000242000000000
Precinct  000024428-435                                            0000243000000000
Precinct  000024528-436                                            0000244000000000
Precinct  000024628-437                                            0000245000000000
Precinct  000024728-438                                            0000246000000000
Precinct  000024828-439                                            0000247000000000
Precinct  000024928-440                                            0000248000000000
Precinct  000025028-441                                            0000249000000000
Precinct  000025128-442                                            0000250000000000
Precinct  000025228-443                                            0000251000000000
