Candidate 0000036FRANCISCO HERRERA                                 0000001000000100
Candidate 0000042VICKI HENNESSY                                    0000001000000200
Candidate 0000045AARON PESKIN                                      0000001000000300
Candidate 0000037ED LEE                                            0000002000000100
Candidate 0000043JOHN ROBINSON                                     0000002000000200
Candidate 0000046WILMA PANG                                        0000002000000300
Candidate 0000038REED MARTIN                                       0000003000000100
Candidate 0000044ROSS MIRKARIMI                                    0000003000000200
Candidate 0000047JULIE CHRISTENSEN                                 0000003000000300
Candidate 0000002WRITE-IN                                          0000004000000210
Candidate 0000003WRITE-IN                                          0000004000000310
Candidate 0000039AMY FARAH WEISS                                   0000004000000100
Candidate 0000040KENT GRAHAM                                       0000005000000100
Candidate 0000041STUART SCHUFFMAN                                  0000006000000100
Candidate 0000001WRITE-IN                                          0000007000000110
Candidate 0000061WRITE-IN - JOHN E. FITCH                          0000008000000110
Candidate 0000062WRITE-IN - KARLA GOTTSCHALK (a.k.a BELLE STARR)   0000009000000110
Candidate 0000063WRITE-IN - ROBERT L. JORDAN, JR.                  0000010000000110
Candidate 0000064WRITE-IN - DANIEL C KAPPLER                       0000011000000110
Candidate 0000065WRITE-IN - IGNACIO L. NUNEZ                       0000012000000110
Candidate 0000066WRITE-IN - MICHAEL PETRELIS                       0000013000000110
Contest   0000001Mayor                                             0000001000000000
Contest   0000002Sheriff                                           0000002000000000
Contest   0000003Board of Supervisors, District 3                  0000003000000000
Precinct  0000001Pct 1101                                          0000001000000000
Precinct  0000002Pct 1102/1103                                     0000002000000000
Precinct  0000003Pct 1104/1105                                     0000003000000000
Precinct  0000004Pct 1106/1107                                     0000004000000000
Precinct  0000005Pct 1109/1108                                     0000005000000000
Precinct  0000006Pct 1111                                          0000006000000000
Precinct  0000007Pct 1112                                          0000007000000000
Precinct  0000008Pct 1114/1113                                     0000008000000000
Precinct  0000009Pct 1115/1116                                     0000009000000000
Precinct  0000010Pct 1117                                          0000010000000000
Precinct  0000011Pct 1118/1124                                     0000011000000000
Precinct  0000012Pct 1119                                          0000012000000000
Precinct  0000013Pct 1122                                          0000013000000000
Precinct  0000014Pct 1123/1125                                     0000014000000000
Precinct  0000015Pct 1126/1121                                     0000015000000000
Precinct  0000016Pct 1128/1127                                     0000016000000000
Precinct  0000017Pct 1129/1131                                     0000017000000000
Precinct  0000018Pct 1132                                          0000018000000000
Precinct  0000019Pct 1134                                          0000019000000000
Precinct  0000020Pct 1135/1133                                     0000020000000000
Precinct  0000021Pct 1136                                          0000021000000000
Precinct  0000022Pct 1141/1142                                     0000022000000000
Precinct  0000023Pct 1144/1143                                     0000023000000000
Precinct  0000024Pct 1146/1147                                     0000024000000000
Precinct  0000025Pct 1148                                          0000025000000000
Precinct  0000026Pct 1149/1145                                     0000026000000000
Precinct  0000027Pct 1151 MB                                       0000027000000000
Precinct  0000028Pct 1153/1152                                     0000028000000000
Precinct  0000029Pct 1154 MB                                       0000029000000000
Precinct  0000030Pct 7001                                          0000030000000000
Precinct  0000031Pct 7002                                          0000031000000000
Precinct  0000032Pct 7003/7004                                     0000032000000000
Precinct  0000033Pct 7005                                          0000033000000000
Precinct  0000034Pct 7006                                          0000034000000000
Precinct  0000035Pct 7007/7008                                     0000035000000000
Precinct  0000036Pct 7011/7009                                     0000036000000000
Precinct  0000037Pct 7012                                          0000037000000000
Precinct  0000038Pct 7013/7014                                     0000038000000000
Precinct  0000039Pct 7015 MB                                       0000039000000000
Precinct  0000040Pct 7016/7019                                     0000040000000000
Precinct  0000041Pct 7018/7026                                     0000041000000000
Precinct  0000042Pct 7021/7027                                     0000042000000000
Precinct  0000043Pct 7022                                          0000043000000000
Precinct  0000044Pct 7023/7017                                     0000044000000000
Precinct  0000045Pct 7024                                          0000045000000000
Precinct  0000046Pct 7025                                          0000046000000000
Precinct  0000047Pct 7028/7033                                     0000047000000000
Precinct  0000048Pct 7029                                          0000048000000000
Precinct  0000049Pct 7030/7031                                     0000049000000000
Precinct  0000050Pct 7032                                          0000050000000000
Precinct  0000051Pct 7034                                          0000051000000000
Precinct  0000052Pct 7035                                          0000052000000000
Precinct  0000053Pct 7037                                          0000053000000000
Precinct  0000054Pct 7038                                          0000054000000000
Precinct  0000055Pct 7039                                          0000055000000000
Precinct  0000056Pct 7041 MB                                       0000056000000000
Precinct  0000057Pct 7043                                          0000057000000000
Precinct  0000058Pct 7045                                          0000058000000000
Precinct  0000059Pct 7046/7042                                     0000059000000000
Precinct  0000060Pct 7047                                          0000060000000000
Precinct  0000061Pct 7048/7036                                     0000061000000000
Precinct  0000062Pct 7049/7051                                     0000062000000000
Precinct  0000063Pct 7052/7053                                     0000063000000000
Precinct  0000064Pct 7054/7044                                     0000064000000000
Precinct  0000065Pct 7101 MB                                       0000065000000000
Precinct  0000066Pct 7201                                          0000066000000000
Precinct  0000067Pct 7202                                          0000067000000000
Precinct  0000068Pct 7203                                          0000068000000000
Precinct  0000069Pct 7205/7204                                     0000069000000000
Precinct  0000070Pct 7206                                          0000070000000000
Precinct  0000071Pct 7207                                          0000071000000000
Precinct  0000072Pct 7208/7209                                     0000072000000000
Precinct  0000073Pct 7301/7304                                     0000073000000000
Precinct  0000074Pct 7302                                          0000074000000000
Precinct  0000075Pct 7303/7306                                     0000075000000000
Precinct  0000076Pct 7305/7307                                     0000076000000000
Precinct  0000077Pct 7308                                          0000077000000000
Precinct  0000078Pct 7309                                          0000078000000000
Precinct  0000079Pct 7312                                          0000079000000000
Precinct  0000080Pct 7313/7314                                     0000080000000000
Precinct  0000081Pct 7315/7316                                     0000081000000000
Precinct  0000082Pct 7317                                          0000082000000000
Precinct  0000083Pct 7318/7311                                     0000083000000000
Precinct  0000084Pct 7319/7324                                     0000084000000000
Precinct  0000085Pct 7321                                          0000085000000000
Precinct  0000086Pct 7322                                          0000086000000000
Precinct  0000087Pct 7323                                          0000087000000000
Precinct  0000088Pct 7325                                          0000088000000000
Precinct  0000089Pct 7326                                          0000089000000000
Precinct  0000090Pct 7329/7328                                     0000090000000000
Precinct  0000091Pct 7331                                          0000091000000000
Precinct  0000092Pct 7332/7334                                     0000092000000000
Precinct  0000093Pct 7333                                          0000093000000000
Precinct  0000094Pct 7336/7345                                     0000094000000000
Precinct  0000095Pct 7337                                          0000095000000000
Precinct  0000096Pct 7338/7327                                     0000096000000000
Precinct  0000097Pct 7339/7341                                     0000097000000000
Precinct  0000098Pct 7342/7335                                     0000098000000000
Precinct  0000099Pct 7343/7344                                     0000099000000000
Precinct  0000100Pct 7346/7347                                     0000100000000000
Precinct  0000101Pct 7348                                          0000101000000000
Precinct  0000102Pct 7349                                          0000102000000000
Precinct  0000103Pct 7501/7504                                     0000103000000000
Precinct  0000104Pct 7503/7502                                     0000104000000000
Precinct  0000105Pct 7505                                          0000105000000000
Precinct  0000106Pct 7507/7506                                     0000106000000000
Precinct  0000107Pct 7508                                          0000107000000000
Precinct  0000108Pct 7509/7511                                     0000108000000000
Precinct  0000109Pct 7513/7512                                     0000109000000000
Precinct  0000110Pct 7515/7514                                     0000110000000000
Precinct  0000111Pct 7516                                          0000111000000000
Precinct  0000112Pct 7518/7517                                     0000112000000000
Precinct  0000113Pct 7521/7519                                     0000113000000000
Precinct  0000114Pct 7523/7522                                     0000114000000000
Precinct  0000115Pct 7524                                          0000115000000000
Precinct  0000116Pct 7525/7526                                     0000116000000000
Precinct  0000117Pct 7527/7528                                     0000117000000000
Precinct  0000118Pct 7529/7531                                     0000118000000000
Precinct  0000119Pct 7532/7545                                     0000119000000000
Precinct  0000120Pct 7533/7534                                     0000120000000000
Precinct  0000121Pct 7536/7537                                     0000121000000000
Precinct  0000122Pct 7539/7538                                     0000122000000000
Precinct  0000123Pct 7542/7541                                     0000123000000000
Precinct  0000124Pct 7543/7544                                     0000124000000000
Precinct  0000125Pct 7546/7547                                     0000125000000000
Precinct  0000126Pct 7548/7535                                     0000126000000000
Precinct  0000127Pct 7552                                          0000127000000000
Precinct  0000128Pct 7553 MB                                       0000128000000000
Precinct  0000129Pct 7554/7549                                     0000129000000000
Precinct  0000130Pct 7555/7551                                     0000130000000000
Precinct  0000131Pct 7556/7557                                     0000131000000000
Precinct  0000132Pct 7601                                          0000132000000000
Precinct  0000133Pct 7604/7603                                     0000133000000000
Precinct  0000134Pct 7605/7611                                     0000134000000000
Precinct  0000135Pct 7607/7602                                     0000135000000000
Precinct  0000136Pct 7608/7609                                     0000136000000000
Precinct  0000137Pct 7612/7606                                     0000137000000000
Precinct  0000138Pct 7613/7614                                     0000138000000000
Precinct  0000139Pct 7615/7617                                     0000139000000000
Precinct  0000140Pct 7616                                          0000140000000000
Precinct  0000141Pct 7618                                          0000141000000000
Precinct  0000142Pct 7619                                          0000142000000000
Precinct  0000143Pct 7621                                          0000143000000000
Precinct  0000144Pct 7622/7624                                     0000144000000000
Precinct  0000145Pct 7623/7629                                     0000145000000000
Precinct  0000146Pct 7625                                          0000146000000000
Precinct  0000147Pct 7626                                          0000147000000000
Precinct  0000148Pct 7627                                          0000148000000000
Precinct  0000149Pct 7628                                          0000149000000000
Precinct  0000150Pct 7632                                          0000150000000000
Precinct  0000151Pct 7633/7631                                     0000151000000000
Precinct  0000152Pct 7634                                          0000152000000000
Precinct  0000153Pct 7636/7635                                     0000153000000000
