Candidate 0000025CHRIS CUNNIE                                      0000001000000200
Candidate 0000026DAVID WONG                                        0000002000000200
Candidate 0000027PAUL MIYAMOTO                                     0000003000000200
Candidate 0000028ROSS MIRKARIMI                                    0000004000000200
Candidate 0000002WRITE-IN                                          0000005000000210
Contest   0000002Sheriff                                           0000002000000000
Precinct  0000001Pct 1101/1104                                     0000001000000000
Precinct  0000002Pct 1105/1102                                     0000002000000000
Precinct  0000003Pct 1107/1106                                     0000003000000000
Precinct  0000004Pct 1108                                          0000004000000000
Precinct  0000005Pct 1109/1103                                     0000005000000000
Precinct  0000006Pct 1112/1111                                     0000006000000000
Precinct  0000007Pct 1113/1114                                     0000007000000000
Precinct  0000008Pct 1116/1115                                     0000008000000000
Precinct  0000009Pct 1117                                          0000009000000000
Precinct  0000010Pct 1118                                          0000010000000000
Precinct  0000011Pct 1119/1121                                     0000011000000000
Precinct  0000012Pct 1123/1122                                     0000012000000000
Precinct  0000013Pct 1124/1138                                     0000013000000000
Precinct  0000014Pct 1126/1125                                     0000014000000000
Precinct  0000015Pct 1128/1127                                     0000015000000000
Precinct  0000016Pct 1129/1131                                     0000016000000000
Precinct  0000017Pct 1132 MB                                       0000017000000000
Precinct  0000018Pct 1133                                          0000018000000000
Precinct  0000019Pct 1134                                          0000019000000000
Precinct  0000020Pct 1135                                          0000020000000000
Precinct  0000021Pct 1136                                          0000021000000000
Precinct  0000022Pct 1137                                          0000022000000000
Precinct  0000023Pct 1139                                          0000023000000000
Precinct  0000024Pct 1142/1141                                     0000024000000000
Precinct  0000025Pct 1143/1144                                     0000025000000000
Precinct  0000026Pct 1145                                          0000026000000000
Precinct  0000027Pct 1146                                          0000027000000000
Precinct  0000028Pct 1147                                          0000028000000000
Precinct  0000029Pct 2001                                          0000029000000000
Precinct  0000030Pct 2004/2003                                     0000030000000000
Precinct  0000031Pct 2005/2002                                     0000031000000000
Precinct  0000032Pct 2006                                          0000032000000000
Precinct  0000033Pct 2007                                          0000033000000000
Precinct  0000034Pct 2008                                          0000034000000000
Precinct  0000035Pct 2009 MB                                       0000035000000000
Precinct  0000036Pct 2013/2012                                     0000036000000000
Precinct  0000037Pct 2014/2011                                     0000037000000000
Precinct  0000038Pct 2015                                          0000038000000000
Precinct  0000039Pct 2016/2017                                     0000039000000000
Precinct  0000040Pct 2018                                          0000040000000000
Precinct  0000041Pct 2019                                          0000041000000000
Precinct  0000042Pct 2101/2102                                     0000042000000000
Precinct  0000043Pct 2103/2104                                     0000043000000000
Precinct  0000044Pct 2107/2105                                     0000044000000000
Precinct  0000045Pct 2108/2109                                     0000045000000000
Precinct  0000046Pct 2111/2106                                     0000046000000000
Precinct  0000047Pct 2112                                          0000047000000000
Precinct  0000048Pct 2113/2114                                     0000048000000000
Precinct  0000049Pct 2115/2116                                     0000049000000000
