"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","V","1101","263","155","17","7","1","0","1","0","1","0","81","143","120","34","2","14","3","0","1","1","0","0","0","2","0","1","0","0","0","18","3","24","0","2","0","1","0","2","0","0","0","7","1","4","0","0","2","15","10","15","17","20","0","5","12","6","13","18","22","0","1","5","2","0","1","0","0","0","1","1","0","2","4","0","1","6","12","8","6","17","0","2","1","5","6","9","8","0","1","0","1","1","0","2","0","0","1","2","0","0","2","16","20","12","23","14","11","5","7","47","1","2","2","4","1","1","0","0","6","11","7","4","6","8","17","3","7","18","5","1","1","1","0","0","0","0","2"
"g14","V","1102","479","292","38","8","1","0","2","0","5","1","132","259","220","87","10","31","2","12","0","2","0","3","0","2","0","2","1","0","0","16","4","38","1","2","0","0","0","4","0","0","2","4","2","5","0","0","7","12","27","27","32","34","0","8","14","25","30","33","43","0","0","2","3","3","3","7","0","0","1","1","3","5","10","0","2","18","12","17","18","20","0","7","7","8","6","7","10","0","1","3","2","4","4","1","0","0","0","0","2","0","0","28","28","16","33","24","28","15","21","99","3","6","1","1","1","1","3","5","17","18","27","6","9","8","17","10","7","30","1","4","1","2","1","3","2","1","2"
"g14","V","1103","458","279","35","6","1","1","4","0","11","1","120","238","220","71","2","16","5","12","0","1","5","1","0","4","0","2","0","0","0","26","5","39","2","1","0","0","0","9","0","1","0","7","0","3","0","0","7","11","22","21","36","35","0","2","18","16","21","40","50","0","0","1","1","3","6","7","0","1","0","1","3","1","11","0","3","10","12","14","15","21","0","2","4","8","11","6","14","0","0","4","2","3","3","1","0","1","0","3","1","4","2","20","26","21","22","11","34","12","14","119","2","3","4","0","2","1","1","2","20","12","26","10","13","6","16","4","11","22","6","3","2","1","1","3","1","4","3"
"g14","V","1104","396","227","35","6","3","0","2","0","10","0","113","215","181","84","10","30","4","10","0","0","1","0","0","2","0","0","0","0","0","24","7","32","1","2","0","2","0","0","1","4","3","16","0","4","0","0","4","12","24","21","25","28","0","4","19","13","21","18","38","0","0","0","1","5","4","14","0","0","1","2","2","2","4","0","2","10","9","12","15","14","0","4","8","7","8","11","13","0","2","2","3","4","1","3","0","0","0","3","2","1","0","24","36","14","26","11","22","10","18","66","0","3","4","1","1","6","3","2","15","14","10","9","18","10","10","7","13","22","6","1","0","5","0","3","1","1","4"
"g14","V","1106","331","188","30","4","2","1","1","0","5","0","100","182","149","17","2","11","1","10","2","3","2","4","0","1","0","7","0","1","1","23","6","40","1","0","0","0","0","4","1","3","0","2","2","3","0","0","4","11","11","20","18","26","0","5","10","8","14","20","41","0","0","2","4","2","2","8","0","1","0","0","3","3","5","0","4","8","13","14","11","15","0","1","5","6","7","6","10","0","0","3","2","1","2","1","0","2","1","0","0","1","0","22","19","12","20","7","15","11","13","69","4","6","1","1","1","1","2","0","14","18","15","9","10","6","15","0","3","24","3","1","1","4","0","0","0","2","2"
"g14","V","1107","315","207","19","4","1","1","0","0","3","0","80","157","158","16","0","4","0","9","4","3","0","0","0","0","0","3","0","0","0","18","2","31","1","3","0","0","0","5","0","2","0","5","1","2","0","0","3","8","11","14","19","30","0","4","13","11","21","19","54","0","1","0","0","2","4","3","0","0","1","1","3","1","3","0","6","7","9","8","7","17","0","2","2","6","4","7","5","0","2","1","0","4","0","1","0","0","0","0","0","1","0","22","18","6","22","10","23","9","9","88","3","4","1","1","1","1","0","0","8","10","14","8","6","3","15","4","2","18","3","2","1","2","0","0","1","0","0"
"g14","V","1108","434","290","16","8","0","1","2","0","6","0","111","222","212","20","1","14","3","7","0","2","0","2","0","0","0","2","0","1","0","29","1","48","1","1","0","0","0","2","1","2","0","4","0","1","0","0","10","10","20","32","28","36","0","4","12","21","29","31","57","0","0","0","1","1","3","5","0","0","1","0","3","0","2","0","6","5","17","11","18","11","0","5","3","7","6","10","12","0","0","2","2","3","1","0","0","0","1","3","2","2","1","27","27","19","28","14","20","16","24","115","1","0","2","1","1","3","1","0","7","16","18","4","13","10","12","6","11","21","3","1","2","3","2","1","0","3","2"
"g14","V","1109","367","219","31","4","1","1","0","0","4","0","107","205","162","9","2","7","1","6","1","0","0","0","0","1","0","2","0","0","0","26","3","64","0","1","0","1","0","7","4","4","1","2","0","0","0","0","8","7","24","27","22","32","0","4","15","9","21","20","30","0","1","2","6","1","6","5","0","0","1","1","2","3","3","0","4","6","9","9","15","17","0","1","3","6","14","9","14","0","1","1","1","1","0","0","0","1","0","1","2","0","2","30","21","9","18","12","29","8","14","78","3","4","4","1","0","2","1","3","13","12","9","13","22","3","11","7","11","19","2","3","1","1","0","2","0","0","1"
"g14","V","1111","378","197","30","8","1","3","2","0","7","0","130","215","163","34","6","7","1","8","0","2","3","3","1","6","0","1","0","0","0","36","5","76","1","0","0","0","0","0","5","8","2","8","4","2","0","0","7","6","11","14","22","28","0","6","12","4","18","33","36","0","1","2","2","4","3","8","0","1","0","2","0","2","5","0","1","14","17","8","23","29","0","6","4","4","7","11","6","0","2","5","0","3","2","3","0","1","0","2","2","1","0","21","19","21","17","10","16","15","13","65","2","2","3","5","2","4","0","2","10","17","22","9","12","13","10","5","10","32","5","3","2","1","1","5","0","0","4"
"g14","V","1112","294","150","13","2","1","2","0","0","3","0","123","164","130","30","3","8","0","1","1","2","0","0","0","0","0","0","0","0","0","30","2","73","2","1","0","0","0","6","0","4","1","6","2","1","0","0","2","11","9","17","16","20","0","6","9","14","9","17","20","0","0","1","1","0","2","1","0","0","1","1","1","0","5","0","5","13","11","14","13","23","0","3","4","6","12","9","10","0","0","4","1","0","0","0","0","0","0","0","2","1","0","19","15","14","16","9","21","4","7","45","1","3","2","1","0","1","3","1","1","19","18","10","9","12","17","6","6","26","3","0","0","1","1","1","0","1","1"
