"condorcet winner: Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6
"Fantini, Alfred B.",,51.19,48.97,50.02,49.26,47.83,51.69,43.51,98.46,99.75,99.86,99.88,99.96,99.94
"Grassi, Joseph G.",48.81,,50.03,50.40,50.37,47.30,51.59,43.90,98.41,99.73,99.84,99.89,99.93,99.93
"Harding, Richard, Jr.",51.03,49.97,,52.32,50.73,47.76,52.46,45.47,98.65,99.75,99.85,99.86,99.94,99.96
"Lummis, Ben",49.98,49.60,47.68,,50.36,47.32,52.46,44.23,98.51,99.75,99.86,99.89,99.94,99.93
"McGovern, Marc C.",50.74,49.63,49.27,49.64,,48.18,53.32,45.66,98.47,99.74,99.85,99.88,99.94,99.94
"Nolan, Patricia M.",52.17,52.70,52.24,52.68,51.82,,60.02,48.58,98.60,99.75,99.86,99.89,99.96,99.93
"Schuster, Luc",48.31,48.41,47.54,47.54,46.68,39.98,,44.07,98.50,99.77,99.87,99.87,99.94,99.92
"Walser, Nancy",56.49,56.10,54.53,55.77,54.34,51.42,55.93,,98.64,99.79,99.87,99.89,99.95,99.96
Write-In 1,1.54,1.59,1.35,1.49,1.53,1.40,1.50,1.36,,96.30,99.24,97.04,99.24,98.50
Write-In 2,0.25,0.27,0.25,0.25,0.26,0.25,0.23,0.21,3.70,,86.96,88.00,95.65,91.67
Write-In 3,0.14,0.16,0.15,0.14,0.15,0.14,0.13,0.13,0.76,13.04,,75.00,92.31,85.71
Write-In 4,0.12,0.11,0.14,0.11,0.12,0.11,0.13,0.11,2.96,12.00,25.00,,91.67,78.57
Write-In 5,0.04,0.07,0.06,0.06,0.06,0.04,0.06,0.05,0.76,4.35,7.69,8.33,,71.43
Write-In 6,0.06,0.07,0.04,0.07,0.06,0.07,0.08,0.04,1.50,8.33,14.29,21.43,28.57,
