condorcet winner: R.T. Rybak,Al Flowers,Bill McGaughey,Bob Carney Jr.,Christopher Clark,Dick Franson,James R. Everett,Joey Lombard,Papa John Kolstad,Phil Willkie,R.T. Rybak,Tom Fiske
Al Flowers,,90.62,89.92,74.55,53.04,89.64,78.10,49.16,95.42,8.18,78.60
Bill McGaughey,9.38,,48.17,21.72,9.56,45.07,25.36,7.18,69.42,2.12,26.87
Bob Carney Jr.,10.08,51.83,,23.31,10.23,46.51,26.67,7.96,70.24,2.00,28.02
Christopher Clark,25.45,78.28,76.69,,25.15,73.51,55.09,21.78,88.47,6.32,54.40
Dick Franson,46.96,90.44,89.77,74.85,,88.30,77.27,49.14,95.24,7.40,77.65
James R. Everett,10.36,54.93,53.49,26.49,11.70,,29.92,10.51,73.08,2.08,30.71
Joey Lombard,21.90,74.64,73.33,44.91,22.73,70.08,,19.68,87.17,3.67,50.26
Papa John Kolstad,50.84,92.82,92.04,78.22,50.86,89.49,80.32,,96.23,14.86,79.80
Phil Willkie,4.58,30.58,29.76,11.53,4.76,26.92,12.83,3.77,,0.98,13.87
R.T. Rybak,91.82,97.88,98.00,93.68,92.60,97.92,96.33,85.14,99.02,,96.59
Tom Fiske,21.40,73.13,71.98,45.60,22.35,69.29,49.74,20.20,86.13,3.41,
