condorcet winner: JEAN QUAN,ARNOLD FIELDS,DON MACLEAY,DON PERATA,GREG HARLAND,JEAN QUAN,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.,MARCIE HODGE,REBECCA KAPLAN,TERENCE CANDELL
ARNOLD FIELDS,,42.61,4.65,45.32,4.54,7.31,41.23,21.00,4.98,29.62
DON MACLEAY,57.39,,7.14,52.65,5.53,10.25,48.72,26.65,6.04,36.82
DON PERATA,95.35,92.86,,94.77,49.04,62.95,94.12,86.19,51.91,90.70
GREG HARLAND,54.68,47.35,5.23,,5.52,7.47,45.34,24.07,6.27,33.14
JEAN QUAN,95.46,94.47,50.96,94.48,,67.87,94.02,87.33,52.98,90.54
JOE TUMAN,92.69,89.75,37.05,92.53,32.13,,88.80,75.55,33.32,83.21
LARRY LIONEL ''LL'' YOUNG JR.,58.77,51.28,5.88,54.66,5.98,11.20,,25.65,6.67,36.74
MARCIE HODGE,79.00,73.35,13.81,75.93,12.67,24.45,74.35,,15.29,62.27
REBECCA KAPLAN,95.02,93.96,48.09,93.73,47.02,66.68,93.33,84.71,,89.04
TERENCE CANDELL,70.38,63.18,9.30,66.86,9.46,16.79,63.26,37.73,10.96,
