"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6
"Bowman, Manikka L.",,63.20,46.96,61.12,52.14,44.80,42.82,71.62,39.42,31.97,62.08,98.32,99.77,99.89,99.92,99.92,99.93
"Cisternino, Pia",36.80,,37.10,51.01,39.68,34.86,33.46,60.33,30.15,21.67,51.74,97.68,99.65,99.87,99.89,99.89,99.91
"Cronin, Fran Albin",53.04,62.90,,63.63,56.84,47.47,45.35,72.22,40.44,32.15,66.38,98.45,99.73,99.90,99.91,99.93,99.93
"Crutchfield, Jake W.",38.88,48.99,36.37,,42.78,36.18,33.99,62.06,31.82,25.21,52.81,97.68,99.66,99.87,99.91,99.91,99.94
"Dexter, Emily R.",47.86,60.32,43.16,57.22,,42.93,41.25,69.61,38.08,29.78,61.37,98.21,99.69,99.90,99.91,99.93,99.93
"Fantini, Alfred B.",55.20,65.14,52.53,63.82,57.07,,50.31,73.79,47.42,39.18,67.55,98.70,99.75,99.90,99.93,99.93,99.93
"Harding, Jr., Richard",57.18,66.54,54.65,66.01,58.75,49.69,,76.97,48.75,39.77,69.83,98.70,99.76,99.93,99.93,99.93,99.95
"Kadete, Elechi M.",28.38,39.67,27.78,37.94,30.39,26.21,23.03,,23.53,18.47,43.27,96.93,99.54,99.83,99.89,99.89,99.91
"Kelly, Kathleen M.",60.58,69.85,59.56,68.18,61.92,52.58,51.25,76.47,,42.02,72.67,98.74,99.79,99.91,99.94,99.94,99.94
"Nolan, Patricia M.",68.03,78.33,67.85,74.79,70.22,60.82,60.23,81.53,57.98,,78.97,98.98,99.80,99.93,99.94,99.95,99.95
"Weinstein, David J.",37.92,48.26,33.62,47.19,38.63,32.45,30.17,56.73,27.33,21.03,,97.50,99.56,99.82,99.86,99.89,99.89
Write-In 1,1.68,2.32,1.55,2.32,1.79,1.30,1.30,3.07,1.26,1.02,2.50,,96.09,97.64,99.19,100.00,98.40
Write-In 2,0.23,0.35,0.27,0.34,0.31,0.25,0.24,0.46,0.21,0.20,0.44,3.91,,88.00,100.00,100.00,95.65
Write-In 3,0.11,0.13,0.10,0.13,0.10,0.10,0.07,0.17,0.09,0.07,0.18,2.36,12.00,,90.00,100.00,90.00
Write-In 4,0.08,0.11,0.09,0.09,0.09,0.07,0.07,0.11,0.06,0.06,0.14,0.81,0.00,10.00,,100.00,85.71
Write-In 5,0.08,0.11,0.07,0.09,0.07,0.07,0.07,0.11,0.06,0.05,0.11,0.00,0.00,0.00,0.00,,71.43
Write-In 6,0.07,0.09,0.07,0.06,0.07,0.07,0.05,0.09,0.06,0.05,0.11,1.60,4.35,10.00,14.29,28.57,
