"condorcet winner: Siddiqui, Sumbul","Benjamin, Ronald","Burgin, Josh M.","Carlone, Dennis J.","D'Ambrosio, Olivia","Devereux, Jan","Gebru, Samuel","Harding, Jr., Richard","Kelley, Craig A.","Lenke, Dan","Levy, Ilan","Mallon, Alanna M.","McGovern, Marc C.","Moree, Gregg J.","Musgrave, Adriane B.","Okamoto, Nadya T.","Pillai, Hari I.","Santos, Jeff","Siddiqui, Sumbul","Simmons, E. Denise","Sivongxay, Vatsady","Sutton, Bryan","Tierney, Sean","Toner, Paul F.","Toomey, Jr., Timothy J.","Volmar, Gwen Thomas",Write-In 1,"Zondervan, Quinton Y."
"Benjamin, Ronald",,46.21,14.21,35.36,11.64,20.61,20.80,18.09,71.26,47.65,14.63,11.09,68.57,23.55,25.14,47.86,38.03,9.02,8.05,15.27,56.84,17.57,22.48,18.34,35.64,90.52,14.24
"Burgin, Josh M.",53.79,,17.29,41.28,14.54,25.59,26.77,21.78,76.60,53.87,17.90,13.54,74.35,28.46,31.25,54.04,45.12,12.23,11.66,19.71,63.92,21.49,27.16,22.46,42.56,92.38,17.70
"Carlone, Dennis J.",85.79,82.71,,80.85,42.66,64.08,64.65,60.24,94.20,86.21,52.88,43.86,93.65,68.07,70.80,86.78,83.46,37.80,39.51,56.31,91.23,59.48,66.37,59.01,80.70,98.48,50.50
"D'Ambrosio, Olivia",64.64,58.72,19.15,,15.90,34.17,36.01,29.87,83.36,64.49,24.29,18.69,81.20,36.96,39.88,65.40,55.87,13.15,16.46,24.35,73.71,29.88,37.43,31.50,53.16,94.57,20.97
"Devereux, Jan",88.36,85.46,57.34,84.10,,68.88,68.97,65.78,95.21,88.77,58.72,50.98,94.71,73.75,76.07,89.68,86.33,43.87,45.57,63.41,92.60,64.76,70.62,64.28,84.99,98.70,57.59
"Gebru, Samuel",79.39,74.41,35.92,65.83,31.12,,53.05,46.35,90.41,78.03,37.51,28.95,89.47,54.04,58.82,80.65,71.81,26.07,26.91,40.84,84.58,45.13,55.52,49.00,70.56,97.22,37.62
"Harding, Jr., Richard",79.20,73.23,35.35,63.99,31.03,46.95,,44.60,90.52,77.14,37.81,30.18,90.00,53.28,57.06,77.94,71.09,26.59,24.47,40.17,83.45,44.32,51.98,45.98,68.55,96.90,37.48
"Kelley, Craig A.",81.91,78.22,39.76,70.13,34.22,53.65,55.40,,92.52,80.75,43.41,34.05,92.32,58.52,62.61,81.97,75.87,31.93,30.22,46.27,87.61,50.26,59.69,51.49,74.13,97.82,42.65
"Lenke, Dan",28.74,23.40,5.80,16.64,4.79,9.59,9.48,7.48,,31.62,8.18,5.62,54.98,13.41,14.22,30.54,23.13,4.86,4.27,8.22,38.45,9.24,12.41,9.17,20.61,85.05,7.29
"Levy, Ilan",52.35,46.13,13.79,35.51,11.23,21.97,22.86,19.25,68.38,,17.30,12.73,75.11,27.49,29.35,53.29,43.69,10.34,11.31,17.34,63.55,21.15,26.35,20.94,40.49,92.00,15.00
"Mallon, Alanna M.",85.37,82.10,47.12,75.71,41.28,62.49,62.19,56.59,91.82,82.70,,40.63,93.51,67.97,69.73,86.57,79.73,37.53,37.41,52.82,89.98,58.28,66.86,58.82,80.99,98.24,49.14
"McGovern, Marc C.",88.91,86.46,56.14,81.31,49.02,71.05,69.82,65.95,94.38,87.27,59.37,,95.42,76.01,75.46,89.61,85.45,46.35,46.66,61.17,92.96,68.52,73.51,67.72,84.26,98.69,57.10
"Moree, Gregg J.",31.43,25.65,6.35,18.80,5.29,10.53,10.00,7.68,45.02,24.89,6.49,4.58,,13.86,15.46,32.64,24.81,5.34,4.34,8.99,41.01,9.96,12.88,9.52,22.42,84.98,8.01
"Musgrave, Adriane B.",76.45,71.54,31.93,63.04,26.25,45.96,46.72,41.48,86.59,72.51,32.03,23.99,86.14,,55.56,78.03,69.12,24.04,23.61,37.41,84.24,43.54,51.58,44.89,68.56,96.96,33.97
"Okamoto, Nadya T.",74.86,68.75,29.20,60.12,23.93,41.18,42.94,37.39,85.78,70.65,30.27,24.54,84.54,44.44,,77.05,66.48,19.80,22.00,32.90,82.31,39.29,46.70,40.72,66.21,96.36,30.10
"Pillai, Hari I.",52.14,45.96,13.22,34.60,10.32,19.35,22.06,18.03,69.46,46.71,13.43,10.39,67.36,21.97,22.95,,41.88,8.65,9.22,15.89,63.36,19.78,25.71,20.90,39.38,91.54,14.19
"Santos, Jeff",61.97,54.88,16.54,44.13,13.67,28.19,28.91,24.13,76.87,56.31,20.27,14.55,75.19,30.88,33.52,58.12,,11.86,13.75,20.48,71.92,26.03,32.76,25.98,49.28,93.40,18.64
"Siddiqui, Sumbul",90.98,87.77,62.20,86.85,56.13,73.93,73.41,68.07,95.14,89.66,62.47,53.65,94.66,75.96,80.20,91.35,88.14,,51.82,74.56,94.30,69.97,75.26,68.43,88.96,98.94,65.61
"Simmons, E. Denise",91.95,88.34,60.49,83.54,54.43,73.09,75.53,69.78,95.73,88.69,62.59,53.34,95.66,76.39,78.00,90.78,86.25,48.18,,63.79,94.32,70.11,76.08,73.67,86.61,98.95,59.97
"Sivongxay, Vatsady",84.73,80.29,43.69,75.65,36.59,59.16,59.83,53.73,91.78,82.66,47.18,38.83,91.01,62.59,67.10,84.11,79.52,25.44,36.21,,90.15,55.55,62.69,55.83,80.29,98.04,45.01
"Sutton, Bryan",43.16,36.08,8.77,26.29,7.40,15.42,16.55,12.39,61.55,36.45,10.02,7.04,58.99,15.76,17.69,36.64,28.08,5.70,5.68,9.85,,14.15,18.87,14.34,31.08,88.11,10.46
"Tierney, Sean",82.43,78.51,40.52,70.12,35.24,54.87,55.68,49.74,90.76,78.85,41.72,31.48,90.04,56.46,60.71,80.22,73.97,30.03,29.89,44.45,85.85,,60.49,52.37,74.54,97.68,42.65
"Toner, Paul F.",77.52,72.84,33.63,62.57,29.38,44.48,48.02,40.31,87.59,73.65,33.14,26.49,87.12,48.42,53.30,74.29,67.24,24.74,23.92,37.31,81.13,39.51,,44.34,67.44,96.61,36.47
"Toomey, Jr., Timothy J.",81.66,77.54,40.99,68.50,35.72,51.00,54.02,48.51,90.83,79.06,41.18,32.28,90.48,55.11,59.28,79.10,74.02,31.57,26.33,44.17,85.66,47.63,55.66,,72.07,97.11,42.57
"Volmar, Gwen Thomas",64.36,57.44,19.30,46.84,15.01,29.44,31.45,25.87,79.39,59.51,19.01,15.74,77.58,31.44,33.79,60.62,50.72,11.04,13.39,19.71,68.92,25.46,32.56,27.93,,94.07,20.88
Write-In 1,9.48,7.62,1.52,5.43,1.30,2.78,3.10,2.18,14.95,8.00,1.76,1.31,15.02,3.04,3.64,8.46,6.60,1.06,1.05,1.96,11.89,2.32,3.39,2.89,5.93,,1.89
"Zondervan, Quinton Y.",85.76,82.30,49.50,79.03,42.41,62.38,62.52,57.35,92.71,85.00,50.86,42.90,91.99,66.03,69.90,85.81,81.36,34.39,40.03,54.99,89.54,57.35,63.53,57.43,79.12,98.11,
