condorcet winner: Latrisha Vetaw,Bob Sullentrop,Charlie Casserly,Devin Hogan,Jonathan Honerbrink,Latrisha Vetaw,Londel French,Meg Forney,Mike Derus,Russ Henry,Scott Vreeland
Bob Sullentrop,,33.86,17.44,40.03,10.72,13.39,9.45,14.79,16.52,99.84
Charlie Casserly,66.14,,29.04,57.14,17.48,22.44,15.22,23.90,26.91,99.91
Devin Hogan,82.56,70.96,,76.56,32.16,35.61,33.90,46.23,45.67,99.97
Jonathan Honerbrink,59.97,42.86,23.44,,13.91,17.85,12.90,19.91,22.08,99.89
Latrisha Vetaw,89.28,82.52,67.84,86.09,,60.71,50.83,63.45,64.26,99.98
Londel French,86.61,77.56,64.39,82.15,39.29,,42.32,55.87,59.63,99.98
Meg Forney,90.55,84.78,66.10,87.10,49.17,57.68,,65.72,63.35,99.98
Mike Derus,85.21,76.10,53.77,80.09,36.55,44.13,34.28,,51.04,99.97
Russ Henry,83.48,73.09,54.33,77.92,35.74,40.37,36.65,48.96,,99.97
Scott Vreeland,0.16,0.09,0.03,0.11,0.02,0.02,0.02,0.03,0.03,
