ranks,ballotID,rank1,rank2,rank3
"['Steve Zeltzer', 'James Boris Perez', 'Renee Saucedo']",1,Steve Zeltzer,James Boris Perez,Renee Saucedo
"['Steve Zeltzer', 'James Boris Perez', 'Renee Saucedo']",2,Steve Zeltzer,James Boris Perez,Renee Saucedo
"['Steve Zeltzer', 'James Boris Perez', 'Renee Saucedo']",3,Steve Zeltzer,James Boris Perez,Renee Saucedo
"['Steve Zeltzer', 'James Boris Perez', 'Miguel Bustos']",4,Steve Zeltzer,James Boris Perez,Miguel Bustos
"['Steve Zeltzer', 'James Boris Perez', 'Miguel Bustos']",5,Steve Zeltzer,James Boris Perez,Miguel Bustos
"['Steve Zeltzer', 'Renee Saucedo', 'James Boris Perez']",6,Steve Zeltzer,Renee Saucedo,James Boris Perez
"['Steve Zeltzer', 'Renee Saucedo', 'James Boris Perez']",7,Steve Zeltzer,Renee Saucedo,James Boris Perez
"['Steve Zeltzer', 'Renee Saucedo', 'James Boris Perez']",8,Steve Zeltzer,Renee Saucedo,James Boris Perez
"['Steve Zeltzer', 'Renee Saucedo', 'Tom Ammiano']",9,Steve Zeltzer,Renee Saucedo,Tom Ammiano
"['Steve Zeltzer', 'Renee Saucedo', 'Lucrecia Bermudez']",10,Steve Zeltzer,Renee Saucedo,Lucrecia Bermudez
"['Steve Zeltzer', 'Renee Saucedo', 'Miguel Bustos']",11,Steve Zeltzer,Renee Saucedo,Miguel Bustos
"['Steve Zeltzer', 'Renee Saucedo', 'Miguel Bustos']",12,Steve Zeltzer,Renee Saucedo,Miguel Bustos
"['Steve Zeltzer', 'Renee Saucedo', 'Miguel Bustos']",13,Steve Zeltzer,Renee Saucedo,Miguel Bustos
"['Steve Zeltzer', 'Tom Ammiano', 'Renee Saucedo']",14,Steve Zeltzer,Tom Ammiano,Renee Saucedo
"['Steve Zeltzer', 'Tom Ammiano', 'Miguel Bustos']",15,Steve Zeltzer,Tom Ammiano,Miguel Bustos
"['Steve Zeltzer', 'Tom Ammiano', 'Miguel Bustos']",16,Steve Zeltzer,Tom Ammiano,Miguel Bustos
"['Steve Zeltzer', 'Tom Ammiano', 'Miguel Bustos']",17,Steve Zeltzer,Tom Ammiano,Miguel Bustos
"['Steve Zeltzer', 'Lucrecia Bermudez', 'James Boris Perez']",18,Steve Zeltzer,Lucrecia Bermudez,James Boris Perez
"['Steve Zeltzer', 'Lucrecia Bermudez', 'Renee Saucedo']",19,Steve Zeltzer,Lucrecia Bermudez,Renee Saucedo
"['Steve Zeltzer', 'Lucrecia Bermudez', 'Miguel Bustos']",20,Steve Zeltzer,Lucrecia Bermudez,Miguel Bustos
"['Steve Zeltzer', 'Miguel Bustos', 'James Boris Perez']",21,Steve Zeltzer,Miguel Bustos,James Boris Perez
"['Steve Zeltzer', 'Miguel Bustos', 'James Boris Perez']",22,Steve Zeltzer,Miguel Bustos,James Boris Perez
"['Steve Zeltzer', 'Miguel Bustos', 'James Boris Perez']",23,Steve Zeltzer,Miguel Bustos,James Boris Perez
"['Steve Zeltzer', 'Miguel Bustos', 'James Boris Perez']",24,Steve Zeltzer,Miguel Bustos,James Boris Perez
"['Steve Zeltzer', 'Miguel Bustos', 'James Boris Perez']",25,Steve Zeltzer,Miguel Bustos,James Boris Perez
"['Steve Zeltzer', 'Miguel Bustos', 'Lucrecia Bermudez']",26,Steve Zeltzer,Miguel Bustos,Lucrecia Bermudez
"['Steve Zeltzer', 'skipped', 'skipped']",27,Steve Zeltzer,skipped,skipped
"['Steve Zeltzer', 'skipped', 'skipped']",28,Steve Zeltzer,skipped,skipped
"['Steve Zeltzer', 'skipped', 'skipped']",29,Steve Zeltzer,skipped,skipped
"['James Boris Perez', 'Steve Zeltzer', 'Renee Saucedo']",30,James Boris Perez,Steve Zeltzer,Renee Saucedo
"['James Boris Perez', 'Steve Zeltzer', 'Renee Saucedo']",31,James Boris Perez,Steve Zeltzer,Renee Saucedo
"['James Boris Perez', 'Steve Zeltzer', 'Renee Saucedo']",32,James Boris Perez,Steve Zeltzer,Renee Saucedo
"['James Boris Perez', 'Steve Zeltzer', 'Lucrecia Bermudez']",33,James Boris Perez,Steve Zeltzer,Lucrecia Bermudez
"['James Boris Perez', 'Steve Zeltzer', 'Miguel Bustos']",34,James Boris Perez,Steve Zeltzer,Miguel Bustos
"['James Boris Perez', 'Steve Zeltzer', 'Miguel Bustos']",35,James Boris Perez,Steve Zeltzer,Miguel Bustos
"['James Boris Perez', 'Steve Zeltzer', 'Miguel Bustos']",36,James Boris Perez,Steve Zeltzer,Miguel Bustos
"['James Boris Perez', 'Steve Zeltzer', 'skipped']",37,James Boris Perez,Steve Zeltzer,skipped
"['James Boris Perez', 'Renee Saucedo', 'Steve Zeltzer']",38,James Boris Perez,Renee Saucedo,Steve Zeltzer
"['James Boris Perez', 'Renee Saucedo', 'Lucrecia Bermudez']",39,James Boris Perez,Renee Saucedo,Lucrecia Bermudez
"['James Boris Perez', 'Renee Saucedo', 'Lucrecia Bermudez']",40,James Boris Perez,Renee Saucedo,Lucrecia Bermudez
"['James Boris Perez', 'Renee Saucedo', 'Miguel Bustos']",41,James Boris Perez,Renee Saucedo,Miguel Bustos
"['James Boris Perez', 'Tom Ammiano', 'Steve Zeltzer']",42,James Boris Perez,Tom Ammiano,Steve Zeltzer
"['James Boris Perez', 'Tom Ammiano', 'Renee Saucedo']",43,James Boris Perez,Tom Ammiano,Renee Saucedo
"['James Boris Perez', 'Tom Ammiano', 'Renee Saucedo']",44,James Boris Perez,Tom Ammiano,Renee Saucedo
"['James Boris Perez', 'Tom Ammiano', 'Renee Saucedo']",45,James Boris Perez,Tom Ammiano,Renee Saucedo
"['James Boris Perez', 'Tom Ammiano', 'Renee Saucedo']",46,James Boris Perez,Tom Ammiano,Renee Saucedo
"['James Boris Perez', 'Tom Ammiano', 'Lucrecia Bermudez']",47,James Boris Perez,Tom Ammiano,Lucrecia Bermudez
"['James Boris Perez', 'Tom Ammiano', 'Lucrecia Bermudez']",48,James Boris Perez,Tom Ammiano,Lucrecia Bermudez
"['James Boris Perez', 'Tom Ammiano', 'Miguel Bustos']",49,James Boris Perez,Tom Ammiano,Miguel Bustos
"['James Boris Perez', 'Lucrecia Bermudez', 'Renee Saucedo']",50,James Boris Perez,Lucrecia Bermudez,Renee Saucedo
"['James Boris Perez', 'Miguel Bustos', 'Steve Zeltzer']",51,James Boris Perez,Miguel Bustos,Steve Zeltzer
"['James Boris Perez', 'Miguel Bustos', 'Renee Saucedo']",52,James Boris Perez,Miguel Bustos,Renee Saucedo
"['James Boris Perez', 'Miguel Bustos', 'Renee Saucedo']",53,James Boris Perez,Miguel Bustos,Renee Saucedo
"['James Boris Perez', 'Miguel Bustos', 'Renee Saucedo']",54,James Boris Perez,Miguel Bustos,Renee Saucedo
"['James Boris Perez', 'Miguel Bustos', 'Tom Ammiano']",55,James Boris Perez,Miguel Bustos,Tom Ammiano
"['James Boris Perez', 'Miguel Bustos', 'Tom Ammiano']",56,James Boris Perez,Miguel Bustos,Tom Ammiano
"['James Boris Perez', 'Miguel Bustos', 'Tom Ammiano']",57,James Boris Perez,Miguel Bustos,Tom Ammiano
"['James Boris Perez', 'Miguel Bustos', 'Tom Ammiano']",58,James Boris Perez,Miguel Bustos,Tom Ammiano
"['James Boris Perez', 'Miguel Bustos', 'skipped']",59,James Boris Perez,Miguel Bustos,skipped
"['James Boris Perez', 'Miguel Bustos', 'skipped']",60,James Boris Perez,Miguel Bustos,skipped
"['James Boris Perez', 'Miguel Bustos', 'skipped']",61,James Boris Perez,Miguel Bustos,skipped
"['James Boris Perez', 'Miguel Bustos', 'skipped']",62,James Boris Perez,Miguel Bustos,skipped
"['James Boris Perez', 'Miguel Bustos', 'skipped']",63,James Boris Perez,Miguel Bustos,skipped
"['James Boris Perez', 'Miguel Bustos', 'skipped']",64,James Boris Perez,Miguel Bustos,skipped
"['James Boris Perez', 'skipped', 'skipped']",65,James Boris Perez,skipped,skipped
"['Renee Saucedo', 'Steve Zeltzer', 'James Boris Perez']",66,Renee Saucedo,Steve Zeltzer,James Boris Perez
"['Renee Saucedo', 'Steve Zeltzer', 'Miguel Bustos']",67,Renee Saucedo,Steve Zeltzer,Miguel Bustos
"['Renee Saucedo', 'James Boris Perez', 'Miguel Bustos']",68,Renee Saucedo,James Boris Perez,Miguel Bustos
"['Renee Saucedo', 'James Boris Perez', 'Miguel Bustos']",69,Renee Saucedo,James Boris Perez,Miguel Bustos
"['Renee Saucedo', 'James Boris Perez', 'Miguel Bustos']",70,Renee Saucedo,James Boris Perez,Miguel Bustos
"['Renee Saucedo', 'James Boris Perez', 'skipped']",71,Renee Saucedo,James Boris Perez,skipped
"['Renee Saucedo', 'Tom Ammiano', 'Steve Zeltzer']",72,Renee Saucedo,Tom Ammiano,Steve Zeltzer
"['Renee Saucedo', 'Tom Ammiano', 'Steve Zeltzer']",73,Renee Saucedo,Tom Ammiano,Steve Zeltzer
"['Renee Saucedo', 'Tom Ammiano', 'James Boris Perez']",74,Renee Saucedo,Tom Ammiano,James Boris Perez
"['Renee Saucedo', 'Tom Ammiano', 'James Boris Perez']",75,Renee Saucedo,Tom Ammiano,James Boris Perez
"['Renee Saucedo', 'Tom Ammiano', 'James Boris Perez']",76,Renee Saucedo,Tom Ammiano,James Boris Perez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",77,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",78,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",79,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",80,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",81,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",82,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",83,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
"['Renee Saucedo', 'Tom Ammiano', 'Lucrecia Bermudez']",84,Renee Saucedo,Tom Ammiano,Lucrecia Bermudez
