ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['C04', 'C02', 'C01', 'skipped', 'skipped']",1,C04,C02,C01,skipped,skipped
"['C03', 'C04', 'C05', 'skipped', 'skipped']",2,C03,C04,C05,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",3,C04,C03,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",4,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C01', 'skipped', 'skipped']",5,C03,C04,C01,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",6,C03,C04,skipped,skipped,skipped
"['C05', 'C01', 'C02', 'C04', 'C03']",7,C05,C01,C02,C04,C03
"['C03', 'C04', 'C02', 'skipped', 'skipped']",8,C03,C04,C02,skipped,skipped
"['C03', 'C04', 'C01', 'skipped', 'skipped']",9,C03,C04,C01,skipped,skipped
"['C04', 'C03', 'C01', 'C02', 'C05']",10,C04,C03,C01,C02,C05
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",11,C04,skipped,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",12,C03,C04,C02,skipped,skipped
"['C03', 'C02', 'C04', 'C05', 'C01']",13,C03,C02,C04,C05,C01
"['C04', 'C03', 'C02', 'skipped', 'skipped']",14,C04,C03,C02,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",15,C03,skipped,skipped,skipped,skipped
"['C04', 'C03', 'C02', 'C05', 'C01']",16,C04,C03,C02,C05,C01
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",17,C02,skipped,skipped,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",18,C02,skipped,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",19,C03,C04,C02,skipped,skipped
"['C03', 'C05', 'C04', 'skipped', 'skipped']",20,C03,C05,C04,skipped,skipped
"['C02', 'C01', 'C05', 'skipped', 'skipped']",21,C02,C01,C05,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",22,C03,skipped,skipped,skipped,skipped
"['C04', 'C03', 'C02', 'C01', 'C06']",23,C04,C03,C02,C01,C06
"['C03', 'C02', 'skipped', 'skipped', 'skipped']",24,C03,C02,skipped,skipped,skipped
"['C04', 'C02', 'C03', 'C01', 'C05']",25,C04,C02,C03,C01,C05
"['C04', 'C03', 'C02', 'C05', 'skipped']",26,C04,C03,C02,C05,skipped
"['C04', 'C03', 'C02', 'C01', 'C05']",27,C04,C03,C02,C01,C05
"['C02', 'C03', 'C05', 'skipped', 'skipped']",28,C02,C03,C05,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",29,C03,skipped,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",30,C03,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",31,C03,C04,skipped,skipped,skipped
"['C02', 'skipped', 'skipped', 'skipped', 'skipped']",32,C02,skipped,skipped,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",33,C04,C03,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",34,C03,skipped,skipped,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",35,C03,skipped,skipped,skipped,skipped
"['C04', 'C01', 'C05', 'C03', 'C02']",36,C04,C01,C05,C03,C02
"['C03', 'C04', 'C01', 'skipped', 'skipped']",37,C03,C04,C01,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",38,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C02', 'skipped', 'skipped']",39,C03,C04,C02,skipped,skipped
"['C03', 'skipped', 'skipped', 'skipped', 'skipped']",40,C03,skipped,skipped,skipped,skipped
"['C04', 'C01', 'skipped', 'skipped', 'skipped']",41,C04,C01,skipped,skipped,skipped
"['C03', 'C04', 'C05', 'skipped', 'skipped']",42,C03,C04,C05,skipped,skipped
"['C04', 'C03', 'skipped', 'skipped', 'skipped']",43,C04,C03,skipped,skipped,skipped
"['C02', 'C05', 'C01', 'C04', 'C03']",44,C02,C05,C01,C04,C03
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",45,C03,C04,skipped,skipped,skipped
"['C03', 'C02', 'C04', 'skipped', 'skipped']",46,C03,C02,C04,skipped,skipped
"['C03', 'C02', 'C05', 'C01', 'C04']",47,C03,C02,C05,C01,C04
"['C04', 'C03', 'C02', 'skipped', 'skipped']",48,C04,C03,C02,skipped,skipped
"['C03', 'C05', 'C04', 'C02', 'C01']",49,C03,C05,C04,C02,C01
"['C03', 'C04', 'C05', 'C01', 'C02']",50,C03,C04,C05,C01,C02
"['C04', 'C03', 'C02', 'C01', 'C06']",51,C04,C03,C02,C01,C06
"['C03', 'C04', 'C05', 'C01', 'C02']",52,C03,C04,C05,C01,C02
"['C04', 'C02', 'C05', 'skipped', 'skipped']",53,C04,C02,C05,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",54,C04,skipped,skipped,skipped,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",55,C04,skipped,skipped,skipped,skipped
"['C03', 'C04', 'skipped', 'skipped', 'skipped']",56,C03,C04,skipped,skipped,skipped
"['C03', 'C04', 'C05', 'C02', 'C01']",57,C03,C04,C05,C02,C01
"['C03', 'C04', 'C05', 'C02', 'skipped']",58,C03,C04,C05,C02,skipped
"['C04', 'skipped', 'skipped', 'skipped', 'skipped']",59,C04,skipped,skipped,skipped,skipped
"['C03', 'C02', 'C04', 'C05', 'C06']",60,C03,C02,C04,C05,C06
