ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
1,"Seidel, Sam","Maher, David P.","Simmons, E. Denise","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.","Kelley, Craig A.","Davis, Henrietta","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,"Simmons, E. Denise","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Reeves, Kenneth E.","Decker, Marjorie C.","Maher, David P.","Ward, Larry W.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Maher, David P.","Galluccio, Anthony D.","Janik, Jonathan S.","Ward, Larry W.","Seidel, Sam","Podgers, Kathy","Moree, Gregg J.","Moore, M. Kevin","Kelley, Craig A.","Reeves, Kenneth E.","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Murphy, Brian"
4,"Seidel, Sam","Davis, Henrietta","Murphy, Brian","Simmons, E. Denise","Maher, David P.","Ward, Larry W.","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,"Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,"Ward, Larry W.","Galluccio, Anthony D.","Reeves, Kenneth E.","Sullivan, Edward J.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,"Seidel, Sam","Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,"Simmons, E. Denise","Seidel, Sam","Murphy, Brian","Decker, Marjorie C.","Ward, Larry W.","Davis, Henrietta","Maher, David P.","Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,"Murphy, Brian","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,"Kelley, Craig A.","Decker, Marjorie C.","Davis, Henrietta","Sullivan, Edward J.","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
13,"Maher, David P.","Davis, Henrietta","Murphy, Brian","Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Janik, Jonathan S.","Sullivan, Edward J.","Seidel, Sam","Decker, Marjorie C.","Kelley, Craig A.","Podgers, Kathy","Ward, Larry W.","Moore, M. Kevin",skipped,skipped
14,"Davis, Henrietta","Decker, Marjorie C.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
15,"Davis, Henrietta","Seidel, Sam","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,"Seidel, Sam","Simmons, E. Denise","Decker, Marjorie C.","Ward, Larry W.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Seidel, Sam","Maher, David P.","Simmons, E. Denise","Decker, Marjorie C.","Murphy, Brian","Reeves, Kenneth E.","Kelley, Craig A.","Davis, Henrietta","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,"Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
