ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
1,"Fantini, Alfred B.","Grassi, Joseph G.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
2,"Schuster, Luc","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped
3,"McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy","Lemily Wiggins, Gail","Harding, Richard, Jr.","Fantini, Alfred B.",skipped,skipped
4,"Schuster, Luc","Tauber, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
5,"Schuster, Luc","Fantini, Alfred B.","Harding, Richard, Jr.","Nolan, Patricia M.","Tauber, Nancy","Malner, Stefan","Lemily Wiggins, Gail","Grassi, Joseph G.","McGovern, Marc C."
6,"Schuster, Luc","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Harding, Richard, Jr.","Lemily Wiggins, Gail",skipped,skipped,skipped
7,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Nolan, Patricia M.","Fantini, Alfred B.","Schuster, Luc","Grassi, Joseph G.","McGovern, Marc C.",skipped,skipped,skipped,skipped
9,"Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.","Schuster, Luc","Malner, Stefan","McGovern, Marc C.",skipped,skipped,skipped
10,"McGovern, Marc C.","Lemily Wiggins, Gail","Tauber, Nancy","Harding, Richard, Jr.","Nolan, Patricia M.",skipped,skipped,skipped,skipped
11,"McGovern, Marc C.","Tauber, Nancy","Lemily Wiggins, Gail","Schuster, Luc","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped
12,"Nolan, Patricia M.","Lemily Wiggins, Gail","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
13,"Lemily Wiggins, Gail","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
14,"Schuster, Luc","Tauber, Nancy","Lemily Wiggins, Gail","Fantini, Alfred B.","Grassi, Joseph G.","Malner, Stefan","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M."
15,"Schuster, Luc","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
16,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
17,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
18,"Schuster, Luc","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped
19,"McGovern, Marc C.","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
20,"Harding, Richard, Jr.","Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy","Lemily Wiggins, Gail","Fantini, Alfred B.",skipped,skipped,skipped
21,"Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
22,"Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,"Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr.","Fantini, Alfred B.","Grassi, Joseph G.","Malner, Stefan","Schuster, Luc","Tauber, Nancy",skipped
24,"Schuster, Luc","Tauber, Nancy","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped
25,"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,"Harding, Richard, Jr.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
28,"Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,"Lemily Wiggins, Gail","Nolan, Patricia M.","Fantini, Alfred B.","Harding, Richard, Jr.","McGovern, Marc C.","Schuster, Luc","Tauber, Nancy",skipped,skipped
30,"Tauber, Nancy","Malner, Stefan","McGovern, Marc C.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped
31,"Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,"Schuster, Luc","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped
34,"Tauber, Nancy","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
35,"Schuster, Luc","Tauber, Nancy","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.","Lemily Wiggins, Gail",skipped,skipped,skipped
36,"Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,"Schuster, Luc","Harding, Richard, Jr.","Nolan, Patricia M.","Tauber, Nancy","Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.","Lemily Wiggins, Gail","Malner, Stefan"
38,"Nolan, Patricia M.","McGovern, Marc C.","Malner, Stefan","Tauber, Nancy","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped
39,"Nolan, Patricia M.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
40,"Schuster, Luc","Nolan, Patricia M.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
41,"Schuster, Luc","McGovern, Marc C.","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
42,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Tauber, Nancy","Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.","Malner, Stefan","Lemily Wiggins, Gail","Harding, Richard, Jr.","Grassi, Joseph G.",skipped
44,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Lemily Wiggins, Gail","Harding, Richard, Jr.","Grassi, Joseph G.","Tauber, Nancy","Fantini, Alfred B.","Malner, Stefan"
45,"Schuster, Luc","Malner, Stefan","Grassi, Joseph G.","Nolan, Patricia M.","Harding, Richard, Jr.","Tauber, Nancy","Lemily Wiggins, Gail",skipped,skipped
46,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,"Fantini, Alfred B.","McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
48,"Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,"Nolan, Patricia M.","Schuster, Luc","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
50,"Schuster, Luc","Tauber, Nancy","Lemily Wiggins, Gail","Malner, Stefan","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Nolan, Patricia M.","McGovern, Marc C."
