ballotID,rank1,rank2,rank3
1,ERIC MAR,ALICIA WANG,skipped
2,SUE LEE,skipped,skipped
3,ALICIA WANG,SUE LEE,BRIAN J. LARKIN
4,ERIC MAR,skipped,skipped
5,JASON JUNGREIS,SUE LEE,skipped
6,ERIC MAR,skipped,skipped
7,ERIC MAR,ALICIA WANG,FIDEL CHRYS GAKUBA
8,ALICIA WANG,SUE LEE,ERIC MAR
9,SUE LEE,skipped,skipped
10,SUE LEE,SUE LEE,SUE LEE
11,SUE LEE,ERIC MAR,ALICIA WANG
12,ERIC MAR,skipped,skipped
13,ERIC MAR,skipped,skipped
14,ERIC MAR,ALICIA WANG,NICHOLAS C. BELLONI
15,ERIC MAR,BRIAN J. LARKIN,GEORGE FLAMIK
16,ERIC MAR,SUE LEE,ALICIA WANG
17,SUE LEE,ALICIA WANG,SHERMAN R. D''SILVA
18,SUE LEE,FIDEL CHRYS GAKUBA,BRIAN J. LARKIN
19,SUE LEE,ALICIA WANG,skipped
20,SUE LEE,ALICIA WANG,JASON JUNGREIS
21,ERIC MAR,ALICIA WANG,SUE LEE
22,ERIC MAR,SUE LEE,ALICIA WANG
23,SUE LEE,ALICIA WANG,ERIC MAR
24,ERIC MAR,SUE LEE,ALICIA WANG
25,ALICIA WANG,SUE LEE,BRIAN J. LARKIN
26,ERIC MAR,SUE LEE,skipped
27,NICHOLAS C. BELLONI,BRIAN J. LARKIN,ERIC MAR
28,ERIC MAR,skipped,skipped
29,ERIC MAR,skipped,skipped
30,SUE LEE,SUE LEE,SUE LEE
31,SUE LEE,SUE LEE,SUE LEE
32,SUE LEE,skipped,skipped
33,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,NICHOLAS C. BELLONI
34,ERIC MAR,ALICIA WANG,ALICIA WANG
35,SUE LEE,ALICIA WANG,skipped
36,NICHOLAS C. BELLONI,SHERMAN R. D''SILVA,GEORGE FLAMIK
37,ERIC MAR,JASON JUNGREIS,ALICIA WANG
38,SUE LEE,ALICIA WANG,skipped
39,ERIC MAR,SUE LEE,ALICIA WANG
40,ALICIA WANG,ERIC MAR,skipped
41,ALICIA WANG,SUE LEE,FIDEL CHRYS GAKUBA
42,SUE LEE,skipped,skipped
43,SUE LEE,skipped,skipped
44,ERIC MAR,SUE LEE,ALICIA WANG
45,BRIAN J. LARKIN,NICHOLAS C. BELLONI,SUE LEE
46,GEORGE FLAMIK,NICHOLAS C. BELLONI,ERIC MAR
47,SHERMAN R. D''SILVA,SUE LEE,ERIC MAR
48,ALICIA WANG,SHERMAN R. D''SILVA,BRIAN J. LARKIN
49,ALICIA WANG,skipped,skipped
50,ERIC MAR,ALICIA WANG,SUE LEE
51,SUE LEE,ALICIA WANG,skipped
52,SUE LEE,GEORGE FLAMIK,BRIAN J. LARKIN
53,ERIC MAR,SUE LEE,BRIAN J. LARKIN
54,SUE LEE,ALICIA WANG,JASON JUNGREIS
55,ALICIA WANG,skipped,skipped
56,ERIC MAR,SUE LEE,skipped
57,SUE LEE,NICHOLAS C. BELLONI,ALICIA WANG
58,ERIC MAR,ERIC MAR,ERIC MAR
59,SUE LEE,NICHOLAS C. BELLONI,GEORGE FLAMIK
60,SUE LEE,NICHOLAS C. BELLONI,ALICIA WANG
61,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,BRIAN J. LARKIN
62,SUE LEE,skipped,skipped
63,SUE LEE,ALICIA WANG,skipped
64,ERIC MAR,skipped,skipped
65,ERIC MAR,BRIAN J. LARKIN,NICHOLAS C. BELLONI
66,SUE LEE,ALICIA WANG,GEORGE FLAMIK
67,ERIC MAR,FIDEL CHRYS GAKUBA,skipped
68,SUE LEE,ALICIA WANG,BRIAN J. LARKIN
69,SUE LEE,ALICIA WANG,FIDEL CHRYS GAKUBA
70,BRIAN J. LARKIN,NICHOLAS C. BELLONI,GEORGE FLAMIK
71,ERIC MAR,skipped,skipped
72,SUE LEE,ERIC MAR,ALICIA WANG
73,ALICIA WANG,ERIC MAR,SUE LEE
74,BRIAN J. LARKIN,skipped,skipped
75,SUE LEE,SUE LEE,SUE LEE
76,NICHOLAS C. BELLONI,ERIC MAR,ALICIA WANG
77,SUE LEE,ALICIA WANG,ERIC MAR
78,ERIC MAR,JASON JUNGREIS,SUE LEE
79,ALICIA WANG,ERIC MAR,SUE LEE
80,ALICIA WANG,SUE LEE,ERIC MAR
81,ERIC MAR,SUE LEE,ALICIA WANG
82,ERIC MAR,skipped,skipped
83,ALICIA WANG,SUE LEE,ERIC MAR
84,SUE LEE,ALICIA WANG,ERIC MAR
85,ERIC MAR,SUE LEE,ALICIA WANG
86,SUE LEE,ALICIA WANG,JASON JUNGREIS
87,ALICIA WANG,SUE LEE,skipped
88,ERIC MAR,skipped,skipped
89,ERIC MAR,SUE LEE,ALICIA WANG
90,SUE LEE,ERIC MAR,skipped
91,ALICIA WANG,skipped,skipped
92,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
93,ERIC MAR,ALICIA WANG,FIDEL CHRYS GAKUBA
94,SUE LEE,ALICIA WANG,skipped
95,SUE LEE,ALICIA WANG,skipped
96,SUE LEE,ALICIA WANG,skipped
97,SUE LEE,ALICIA WANG,ERIC MAR
98,ALICIA WANG,skipped,skipped
99,ERIC MAR,ALICIA WANG,NICHOLAS C. BELLONI
100,ERIC MAR,ALICIA WANG,SUE LEE
101,ERIC MAR,ALICIA WANG,SUE LEE
102,ALICIA WANG,SUE LEE,BRIAN J. LARKIN
103,ALICIA WANG,BRIAN J. LARKIN,SUE LEE
104,SUE LEE,ALICIA WANG,JASON JUNGREIS
105,JASON JUNGREIS,JASON JUNGREIS,ERIC MAR
106,ERIC MAR,skipped,skipped
107,SUE LEE,ERIC MAR,NICHOLAS C. BELLONI
108,SUE LEE,ALICIA WANG,skipped
109,SUE LEE,ERIC MAR,skipped
110,SUE LEE,ERIC MAR,ALICIA WANG
111,ERIC MAR,SUE LEE,ALICIA WANG
112,SUE LEE,JASON JUNGREIS,ALICIA WANG
113,ERIC MAR,ERIC MAR,ERIC MAR
114,ERIC MAR,SUE LEE,ALICIA WANG
115,NICHOLAS C. BELLONI,BRIAN J. LARKIN,JASON JUNGREIS
116,SUE LEE,ERIC MAR,ALICIA WANG
117,ERIC MAR,skipped,skipped
118,ERIC MAR,ALICIA WANG,SUE LEE
119,SUE LEE,skipped,skipped
120,FIDEL CHRYS GAKUBA,SUE LEE,ALICIA WANG
121,ERIC MAR,ERIC MAR,ERIC MAR
122,SUE LEE,ALICIA WANG,skipped
123,SUE LEE,ALICIA WANG,ERIC MAR
124,SUE LEE,ALICIA WANG,skipped
125,FIDEL CHRYS GAKUBA,JASON JUNGREIS,BRIAN J. LARKIN
126,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
127,SUE LEE,NICHOLAS C. BELLONI,ERIC MAR
128,ERIC MAR,skipped,skipped
129,ERIC MAR,ALICIA WANG,BRIAN J. LARKIN
130,ERIC MAR,ALICIA WANG,skipped
131,ERIC MAR,ALICIA WANG,JASON JUNGREIS
132,ERIC MAR,ALICIA WANG,SUE LEE
133,SUE LEE,ALICIA WANG,ERIC MAR
134,ERIC MAR,SUE LEE,skipped
135,SUE LEE,SUE LEE,SUE LEE
136,ERIC MAR,ALICIA WANG,SUE LEE
137,BRIAN J. LARKIN,SHERMAN R. D''SILVA,GEORGE FLAMIK
138,BRIAN J. LARKIN,ERIC MAR,GEORGE FLAMIK
139,ERIC MAR,skipped,skipped
140,SUE LEE,skipped,skipped
141,SUE LEE,ERIC MAR,ALICIA WANG
142,ALICIA WANG,SUE LEE,skipped
143,SUE LEE,ERIC MAR,skipped
144,SUE LEE,ERIC MAR,ALICIA WANG
145,FIDEL CHRYS GAKUBA,JASON JUNGREIS,ERIC MAR
146,ERIC MAR,skipped,skipped
147,SUE LEE,ERIC MAR,BRIAN J. LARKIN
148,SUE LEE,ALICIA WANG,skipped
149,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
150,GEORGE FLAMIK,NICHOLAS C. BELLONI,SUE LEE
151,SUE LEE,skipped,skipped
152,ALICIA WANG,BRIAN J. LARKIN,NICHOLAS C. BELLONI
153,ERIC MAR,SUE LEE,ALICIA WANG
154,ERIC MAR,SUE LEE,ALICIA WANG
155,ALICIA WANG,SUE LEE,ERIC MAR
156,ALICIA WANG,SUE LEE,skipped
157,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
158,ERIC MAR,ERIC MAR,ERIC MAR
159,SUE LEE,skipped,skipped
160,ALICIA WANG,BRIAN J. LARKIN,skipped
161,SUE LEE,ALICIA WANG,JASON JUNGREIS
162,ERIC MAR,NICHOLAS C. BELLONI,BRIAN J. LARKIN
163,ERIC MAR,SUE LEE,ALICIA WANG
164,skipped,ERIC MAR,JASON JUNGREIS
165,ERIC MAR,ERIC MAR,ERIC MAR
166,ERIC MAR,ERIC MAR,skipped
167,SUE LEE,ERIC MAR,BRIAN J. LARKIN
168,SUE LEE,NICHOLAS C. BELLONI,BRIAN J. LARKIN
169,ERIC MAR,SUE LEE,ALICIA WANG
170,ERIC MAR,SUE LEE,ALICIA WANG
171,ALICIA WANG,SUE LEE,ERIC MAR
172,ALICIA WANG,SUE LEE,ERIC MAR
173,SUE LEE,ERIC MAR,ALICIA WANG
174,SUE LEE,ALICIA WANG,ERIC MAR
175,SUE LEE,ERIC MAR,skipped
176,SUE LEE,ALICIA WANG,skipped
177,SHERMAN R. D''SILVA,skipped,skipped
178,SUE LEE,ALICIA WANG,ERIC MAR
179,NICHOLAS C. BELLONI,ALICIA WANG,FIDEL CHRYS GAKUBA
180,ERIC MAR,SUE LEE,ALICIA WANG
181,SUE LEE,ALICIA WANG,ERIC MAR
182,ERIC MAR,ALICIA WANG,SUE LEE
183,ERIC MAR,SUE LEE,ALICIA WANG
184,ERIC MAR,BRIAN J. LARKIN,SUE LEE
185,ERIC MAR,ERIC MAR,ERIC MAR
186,SUE LEE,ALICIA WANG,SUE LEE
187,BRIAN J. LARKIN,GEORGE FLAMIK,JASON JUNGREIS
188,ERIC MAR,skipped,skipped
189,ERIC MAR,ALICIA WANG,SUE LEE
190,ERIC MAR,JASON JUNGREIS,skipped
191,ERIC MAR,SUE LEE,ALICIA WANG
192,SUE LEE,ALICIA WANG,FIDEL CHRYS GAKUBA
193,ERIC MAR,skipped,skipped
194,SUE LEE,JASON JUNGREIS,SHERMAN R. D''SILVA
195,SUE LEE,skipped,skipped
196,SUE LEE,skipped,skipped
197,SUE LEE,skipped,skipped
198,ERIC MAR,SUE LEE,skipped
199,SUE LEE,skipped,skipped
200,ERIC MAR,SUE LEE,ALICIA WANG
201,BRIAN J. LARKIN,ERIC MAR,GEORGE FLAMIK
202,SUE LEE,ALICIA WANG,skipped
203,SUE LEE,ALICIA WANG,FIDEL CHRYS GAKUBA
204,JASON JUNGREIS,BRIAN J. LARKIN,NICHOLAS C. BELLONI
205,ERIC MAR,ALICIA WANG,skipped
206,SUE LEE,ALICIA WANG,skipped
207,SUE LEE,ALICIA WANG,ERIC MAR
208,NICHOLAS C. BELLONI,BRIAN J. LARKIN,ALICIA WANG
209,ERIC MAR,ALICIA WANG,JASON JUNGREIS
210,ERIC MAR,SUE LEE,ALICIA WANG
211,ERIC MAR,ALICIA WANG,SUE LEE
212,ERIC MAR,ALICIA WANG,SUE LEE
213,SUE LEE,ALICIA WANG,skipped
214,SUE LEE,ALICIA WANG,skipped
215,ERIC MAR,ALICIA WANG,SUE LEE
216,ERIC MAR,SUE LEE,ALICIA WANG
217,ERIC MAR,SUE LEE,ALICIA WANG
218,ERIC MAR,BRIAN J. LARKIN,JASON JUNGREIS
219,ERIC MAR,SUE LEE,ALICIA WANG
220,ALICIA WANG,SUE LEE,ERIC MAR
221,ERIC MAR,ALICIA WANG,SUE LEE
222,JASON JUNGREIS,FIDEL CHRYS GAKUBA,SUE LEE
223,ERIC MAR,ALICIA WANG,SUE LEE
224,ERIC MAR,skipped,skipped
225,ERIC MAR,SUE LEE,ALICIA WANG
226,NICHOLAS C. BELLONI,BRIAN J. LARKIN,ALICIA WANG
227,GEORGE FLAMIK,SHERMAN R. D''SILVA,SUE LEE
228,ERIC MAR,ALICIA WANG,SUE LEE
229,ALICIA WANG,SUE LEE,SUE LEE
230,ALICIA WANG,ERIC MAR,FIDEL CHRYS GAKUBA
231,BRIAN J. LARKIN,NICHOLAS C. BELLONI,ALICIA WANG
232,ERIC MAR,FIDEL CHRYS GAKUBA,NICHOLAS C. BELLONI
233,ERIC MAR,BRIAN J. LARKIN,SUE LEE
234,SUE LEE,ERIC MAR,ALICIA WANG
235,ERIC MAR,NICHOLAS C. BELLONI,GEORGE FLAMIK
236,ERIC MAR,ALICIA WANG,JASON JUNGREIS
237,SUE LEE,skipped,skipped
238,SUE LEE,ERIC MAR,ALICIA WANG
239,SUE LEE,ALICIA WANG,ERIC MAR
240,SUE LEE,ALICIA WANG,ERIC MAR
241,SUE LEE,ALICIA WANG,ERIC MAR
242,ERIC MAR,NICHOLAS C. BELLONI,ALICIA WANG
243,SUE LEE,ERIC MAR,ALICIA WANG
244,SUE LEE,ERIC MAR,ALICIA WANG
245,ERIC MAR,ALICIA WANG,SUE LEE
246,ERIC MAR,ALICIA WANG,SUE LEE
247,SUE LEE,skipped,skipped
248,ERIC MAR,BRIAN J. LARKIN,ALICIA WANG
249,ERIC MAR,skipped,skipped
250,FIDEL CHRYS GAKUBA,FIDEL CHRYS GAKUBA,FIDEL CHRYS GAKUBA
251,SUE LEE,ALICIA WANG,ERIC MAR
252,ERIC MAR,SUE LEE,ALICIA WANG
253,ERIC MAR,ALICIA WANG,SUE LEE
254,ERIC MAR,BRIAN J. LARKIN,ALICIA WANG
255,ERIC MAR,skipped,skipped
256,BRIAN J. LARKIN,GEORGE FLAMIK,SHERMAN R. D''SILVA
257,SUE LEE,ERIC MAR,ALICIA WANG
258,ERIC MAR,ALICIA WANG,BRIAN J. LARKIN
259,ERIC MAR,skipped,skipped
260,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
261,SUE LEE,ALICIA WANG,ERIC MAR
262,ERIC MAR,BRIAN J. LARKIN,ALICIA WANG
263,SUE LEE,ALICIA WANG,ERIC MAR
264,ERIC MAR,skipped,skipped
265,JASON JUNGREIS,GEORGE FLAMIK,BRIAN J. LARKIN
266,ERIC MAR,JASON JUNGREIS,skipped
267,ERIC MAR,SUE LEE,ALICIA WANG
268,SUE LEE,skipped,skipped
269,ALICIA WANG,SUE LEE,ERIC MAR
270,ERIC MAR,ALICIA WANG,SUE LEE
271,ALICIA WANG,SUE LEE,ERIC MAR
272,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
273,ERIC MAR,skipped,skipped
274,GEORGE FLAMIK,NICHOLAS C. BELLONI,FIDEL CHRYS GAKUBA
275,SUE LEE,FIDEL CHRYS GAKUBA,ALICIA WANG
276,SUE LEE,ALICIA WANG,skipped
277,SUE LEE,ERIC MAR,ALICIA WANG
278,GEORGE FLAMIK,BRIAN J. LARKIN,JASON JUNGREIS
279,SUE LEE,ALICIA WANG,FIDEL CHRYS GAKUBA
280,ERIC MAR,SUE LEE,JASON JUNGREIS
281,ERIC MAR,SUE LEE,BRIAN J. LARKIN
282,SUE LEE,ERIC MAR,ALICIA WANG
283,SUE LEE,ALICIA WANG,skipped
284,SUE LEE,NICHOLAS C. BELLONI,BRIAN J. LARKIN
285,SUE LEE,ALICIA WANG,ERIC MAR
286,ERIC MAR,ERIC MAR,ERIC MAR
287,BRIAN J. LARKIN,ALICIA WANG,ERIC MAR
288,SUE LEE,BRIAN J. LARKIN,FIDEL CHRYS GAKUBA
289,SUE LEE,ALICIA WANG,ERIC MAR
290,ERIC MAR,ERIC MAR,ERIC MAR
291,SHERMAN R. D''SILVA,SHERMAN R. D''SILVA,SHERMAN R. D''SILVA
292,SUE LEE,skipped,skipped
293,SUE LEE,SUE LEE,skipped
294,ALICIA WANG,skipped,skipped
295,ERIC MAR,SUE LEE,ALICIA WANG
296,JASON JUNGREIS,ERIC MAR,skipped
297,SUE LEE,SHERMAN R. D''SILVA,GEORGE FLAMIK
298,SUE LEE,ERIC MAR,ALICIA WANG
299,ALICIA WANG,SUE LEE,NICHOLAS C. BELLONI
300,SUE LEE,ERIC MAR,ALICIA WANG
301,SUE LEE,ALICIA WANG,NICHOLAS C. BELLONI
302,SUE LEE,NICHOLAS C. BELLONI,GEORGE FLAMIK
303,SUE LEE,skipped,skipped
304,ERIC MAR,ALICIA WANG,BRIAN J. LARKIN
305,ALICIA WANG,ERIC MAR,SUE LEE
306,ALICIA WANG,SUE LEE,ERIC MAR
307,ALICIA WANG,SUE LEE,ERIC MAR
308,NICHOLAS C. BELLONI,BRIAN J. LARKIN,GEORGE FLAMIK
309,ALICIA WANG,ERIC MAR,SUE LEE
310,ERIC MAR,ALICIA WANG,SUE LEE
311,SUE LEE,ERIC MAR,skipped
312,SUE LEE,ERIC MAR,ALICIA WANG
313,ERIC MAR,SUE LEE,ALICIA WANG
314,SUE LEE,ALICIA WANG,BRIAN J. LARKIN
315,SUE LEE,ALICIA WANG,JASON JUNGREIS
316,SUE LEE,ALICIA WANG,JASON JUNGREIS
317,ERIC MAR,GEORGE FLAMIK,SHERMAN R. D''SILVA
318,ERIC MAR,SUE LEE,JASON JUNGREIS
319,ERIC MAR,ALICIA WANG,SUE LEE
320,BRIAN J. LARKIN,ERIC MAR,GEORGE FLAMIK
321,FIDEL CHRYS GAKUBA,NICHOLAS C. BELLONI,ALICIA WANG
322,ERIC MAR,SUE LEE,JASON JUNGREIS
323,SUE LEE,skipped,skipped
324,SUE LEE,skipped,skipped
325,SUE LEE,SUE LEE,SUE LEE
326,ERIC MAR,ALICIA WANG,SUE LEE
327,SUE LEE,SUE LEE,SUE LEE
328,BRIAN J. LARKIN,SHERMAN R. D''SILVA,NICHOLAS C. BELLONI
329,BRIAN J. LARKIN,SHERMAN R. D''SILVA,NICHOLAS C. BELLONI
330,SUE LEE,ALICIA WANG,ERIC MAR
331,BRIAN J. LARKIN,ERIC MAR,GEORGE FLAMIK
332,SUE LEE,ALICIA WANG,BRIAN J. LARKIN
333,ERIC MAR,skipped,skipped
