ballotID,rank1,rank2,rank3
1,writein,R.T. Rybak,skipped
2,writein,skipped,skipped
3,writein,Papa John Kolstad,skipped
4,writein,Tom Fiske,James R. Everett
5,writein,skipped,skipped
6,writein,Joey Lombard,R.T. Rybak
7,writein,R.T. Rybak,Joey Lombard
8,writein,James R. Everett,Papa John Kolstad
9,writein,James R. Everett,R.T. Rybak
10,writein,James R. Everett,R.T. Rybak
11,writein,Al Flowers,Dick Franson
12,writein,Dick Franson,Christopher Clark
13,writein,Dick Franson,Papa John Kolstad
14,writein,Papa John Kolstad,writein
15,writein,Papa John Kolstad,James R. Everett
16,writein,Papa John Kolstad,Al Flowers
17,writein,Papa John Kolstad,Al Flowers
18,writein,Papa John Kolstad,Al Flowers
19,writein,Papa John Kolstad,Dick Franson
20,writein,Papa John Kolstad,Dick Franson
21,writein,Papa John Kolstad,writein
22,writein,Papa John Kolstad,R.T. Rybak
23,writein,Papa John Kolstad,R.T. Rybak
24,writein,Papa John Kolstad,skipped
25,writein,Papa John Kolstad,skipped
26,writein,Papa John Kolstad,skipped
27,writein,Papa John Kolstad,skipped
28,writein,Papa John Kolstad,skipped
29,writein,Papa John Kolstad,skipped
30,writein,Papa John Kolstad,skipped
31,writein,Papa John Kolstad,skipped
32,writein,Papa John Kolstad,skipped
33,writein,Papa John Kolstad,skipped
34,writein,writein,skipped
35,writein,writein,Papa John Kolstad
36,writein,writein,skipped
37,writein,writein,skipped
38,writein,writein,skipped
39,writein,R.T. Rybak,Dick Franson
40,writein,R.T. Rybak,Dick Franson
41,writein,R.T. Rybak,skipped
42,writein,R.T. Rybak,skipped
43,writein,R.T. Rybak,skipped
44,writein,R.T. Rybak,skipped
45,writein,R.T. Rybak,skipped
46,writein,R.T. Rybak,skipped
47,writein,R.T. Rybak,skipped
48,writein,R.T. Rybak,skipped
49,writein,writein,R.T. Rybak
50,writein,skipped,skipped
51,writein,skipped,skipped
52,writein,skipped,skipped
53,writein,skipped,skipped
54,writein,skipped,skipped
55,writein,skipped,skipped
56,writein,skipped,skipped
57,writein,skipped,skipped
58,writein,skipped,skipped
59,writein,skipped,skipped
60,writein,skipped,skipped
61,writein,skipped,skipped
62,writein,skipped,skipped
63,writein,skipped,skipped
64,writein,skipped,skipped
65,writein,skipped,skipped
66,writein,skipped,skipped
67,writein,skipped,skipped
68,writein,R.T. Rybak,Papa John Kolstad
69,writein,R.T. Rybak,Joey Lombard
70,writein,skipped,skipped
71,writein,skipped,skipped
72,writein,R.T. Rybak,skipped
73,writein,Papa John Kolstad,Al Flowers
74,writein,Papa John Kolstad,R.T. Rybak
75,writein,R.T. Rybak,skipped
76,writein,skipped,skipped
77,writein,Papa John Kolstad,Al Flowers
78,writein,skipped,skipped
79,Bob Carney Jr.,Christopher Clark,Tom Fiske
80,Bob Carney Jr.,Christopher Clark,Al Flowers
81,Bob Carney Jr.,Christopher Clark,Dick Franson
82,Bob Carney Jr.,Christopher Clark,Dick Franson
83,Bob Carney Jr.,Christopher Clark,Dick Franson
84,Bob Carney Jr.,Christopher Clark,Dick Franson
