ballotID,rank1,rank2,rank3
1,writein,Anita Tabb,skipped
2,writein,skipped,skipped
3,writein,skipped,skipped
4,writein,skipped,skipped
5,writein,skipped,skipped
6,writein,Anita Tabb,writein
7,writein,Anita Tabb,skipped
8,writein,writein,skipped
9,writein,skipped,skipped
10,writein,skipped,skipped
11,writein,writein,writein
12,writein,skipped,skipped
13,writein,skipped,skipped
14,writein,writein,Anita Tabb
15,writein,skipped,skipped
16,writein,skipped,skipped
17,writein,writein,writein
18,writein,skipped,skipped
19,writein,skipped,skipped
20,writein,skipped,skipped
21,writein,skipped,skipped
22,writein,writein,skipped
23,writein,Anita Tabb,skipped
24,writein,skipped,skipped
25,writein,skipped,skipped
26,writein,writein,writein
27,writein,skipped,skipped
28,writein,skipped,skipped
29,writein,skipped,skipped
30,writein,skipped,skipped
31,writein,skipped,skipped
32,writein,skipped,skipped
33,writein,skipped,skipped
34,writein,skipped,skipped
35,writein,Anita Tabb,writein
36,writein,skipped,skipped
37,writein,skipped,skipped
38,writein,skipped,skipped
39,writein,writein,writein
40,writein,skipped,skipped
41,writein,skipped,skipped
42,writein,skipped,skipped
43,writein,writein,writein
44,writein,writein,writein
45,writein,writein,writein
46,writein,skipped,skipped
47,writein,skipped,skipped
48,writein,writein,Anita Tabb
49,writein,skipped,skipped
50,writein,skipped,skipped
51,writein,skipped,skipped
52,writein,Anita Tabb,skipped
53,writein,writein,writein
54,writein,skipped,skipped
55,writein,skipped,skipped
56,writein,skipped,skipped
57,writein,skipped,skipped
58,writein,skipped,skipped
59,writein,skipped,skipped
60,writein,skipped,skipped
61,writein,skipped,skipped
62,writein,skipped,skipped
63,writein,Anita Tabb,skipped
64,writein,Anita Tabb,skipped
65,writein,skipped,skipped
66,writein,skipped,skipped
67,writein,skipped,skipped
68,writein,skipped,skipped
69,writein,skipped,skipped
70,writein,skipped,skipped
71,writein,skipped,skipped
72,writein,skipped,skipped
73,writein,Anita Tabb,skipped
74,writein,skipped,skipped
75,writein,skipped,skipped
76,writein,skipped,skipped
77,writein,writein,skipped
78,writein,skipped,skipped
79,writein,skipped,skipped
80,writein,skipped,skipped
81,writein,skipped,skipped
82,writein,writein,writein
83,writein,skipped,skipped
84,writein,writein,writein
85,writein,skipped,skipped
86,writein,skipped,skipped
87,writein,skipped,skipped
88,writein,writein,writein
89,writein,Anita Tabb,skipped
90,writein,writein,skipped
91,writein,skipped,skipped
92,writein,writein,Anita Tabb
93,writein,skipped,skipped
94,writein,Anita Tabb,skipped
95,writein,Anita Tabb,skipped
96,writein,skipped,skipped
97,writein,skipped,skipped
98,writein,writein,Anita Tabb
99,writein,skipped,skipped
100,writein,skipped,skipped
101,writein,skipped,skipped
102,writein,skipped,skipped
103,writein,skipped,skipped
104,writein,skipped,skipped
105,writein,writein,writein
106,writein,skipped,skipped
107,Anita Tabb,writein,skipped
108,Anita Tabb,writein,writein
109,Anita Tabb,writein,writein
110,Anita Tabb,writein,writein
111,Anita Tabb,writein,writein
112,Anita Tabb,writein,skipped
113,Anita Tabb,writein,skipped
114,Anita Tabb,writein,writein
115,Anita Tabb,writein,skipped
116,Anita Tabb,writein,writein
117,Anita Tabb,writein,skipped
118,Anita Tabb,writein,skipped
119,Anita Tabb,writein,skipped
120,Anita Tabb,writein,skipped
121,Anita Tabb,writein,skipped
122,Anita Tabb,writein,skipped
123,Anita Tabb,writein,writein
124,Anita Tabb,writein,skipped
125,Anita Tabb,writein,writein
126,Anita Tabb,writein,skipped
127,Anita Tabb,writein,skipped
128,Anita Tabb,writein,skipped
129,Anita Tabb,writein,skipped
130,Anita Tabb,writein,writein
131,Anita Tabb,writein,skipped
132,Anita Tabb,writein,writein
133,Anita Tabb,writein,writein
134,Anita Tabb,writein,skipped
135,Anita Tabb,writein,writein
136,Anita Tabb,writein,skipped
137,Anita Tabb,writein,skipped
138,Anita Tabb,writein,writein
139,Anita Tabb,writein,skipped
140,Anita Tabb,writein,skipped
141,Anita Tabb,writein,writein
142,Anita Tabb,writein,writein
143,Anita Tabb,writein,writein
144,Anita Tabb,writein,skipped
145,Anita Tabb,writein,writein
146,Anita Tabb,writein,skipped
147,Anita Tabb,writein,skipped
148,Anita Tabb,writein,writein
149,Anita Tabb,writein,skipped
150,Anita Tabb,writein,skipped
151,Anita Tabb,writein,skipped
152,Anita Tabb,writein,skipped
153,Anita Tabb,writein,skipped
154,Anita Tabb,writein,skipped
155,Anita Tabb,writein,skipped
156,Anita Tabb,writein,skipped
157,Anita Tabb,writein,skipped
158,Anita Tabb,writein,skipped
159,Anita Tabb,writein,skipped
160,Anita Tabb,writein,skipped
161,Anita Tabb,writein,skipped
162,Anita Tabb,writein,writein
163,Anita Tabb,skipped,skipped
164,Anita Tabb,skipped,skipped
165,Anita Tabb,skipped,skipped
166,Anita Tabb,skipped,skipped
167,Anita Tabb,skipped,skipped
168,Anita Tabb,skipped,skipped
169,Anita Tabb,skipped,skipped
170,Anita Tabb,skipped,skipped
171,Anita Tabb,skipped,skipped
172,Anita Tabb,skipped,skipped
173,Anita Tabb,skipped,skipped
174,Anita Tabb,skipped,skipped
175,Anita Tabb,skipped,skipped
176,Anita Tabb,skipped,skipped
177,Anita Tabb,skipped,skipped
178,Anita Tabb,skipped,skipped
179,Anita Tabb,skipped,skipped
180,Anita Tabb,skipped,skipped
181,Anita Tabb,skipped,skipped
182,Anita Tabb,skipped,skipped
183,Anita Tabb,skipped,skipped
184,Anita Tabb,skipped,skipped
185,Anita Tabb,skipped,skipped
186,Anita Tabb,skipped,skipped
187,Anita Tabb,skipped,skipped
188,Anita Tabb,skipped,skipped
189,Anita Tabb,skipped,skipped
190,Anita Tabb,skipped,skipped
191,Anita Tabb,skipped,skipped
192,Anita Tabb,skipped,skipped
193,Anita Tabb,skipped,skipped
194,Anita Tabb,skipped,skipped
195,Anita Tabb,skipped,skipped
196,Anita Tabb,skipped,skipped
197,Anita Tabb,skipped,skipped
198,Anita Tabb,skipped,skipped
199,Anita Tabb,skipped,skipped
200,Anita Tabb,skipped,skipped
201,Anita Tabb,skipped,skipped
202,Anita Tabb,skipped,skipped
203,Anita Tabb,skipped,skipped
204,Anita Tabb,skipped,skipped
205,Anita Tabb,skipped,skipped
206,Anita Tabb,skipped,skipped
207,Anita Tabb,skipped,skipped
208,Anita Tabb,skipped,skipped
209,Anita Tabb,skipped,skipped
210,Anita Tabb,skipped,skipped
211,Anita Tabb,skipped,skipped
212,Anita Tabb,skipped,skipped
213,Anita Tabb,skipped,skipped
214,Anita Tabb,skipped,skipped
215,Anita Tabb,skipped,skipped
216,Anita Tabb,skipped,skipped
217,Anita Tabb,skipped,skipped
218,Anita Tabb,skipped,skipped
219,Anita Tabb,skipped,skipped
220,Anita Tabb,skipped,skipped
221,Anita Tabb,skipped,skipped
222,Anita Tabb,skipped,skipped
223,Anita Tabb,skipped,skipped
