ballotID,rank1,rank2,rank3
1,writein,Robert Lilligren,skipped
2,M. Cali,Andy Exley,Laura Jean
3,M. Cali,Andy Exley,Laura Jean
4,M. Cali,Andy Exley,Laura Jean
5,M. Cali,Andy Exley,Laura Jean
6,M. Cali,Andy Exley,Robert Lilligren
7,M. Cali,Andy Exley,Bruce Lundeen
8,M. Cali,Andy Exley,Bruce Lundeen
9,M. Cali,Andy Exley,Bruce Lundeen
10,M. Cali,Andy Exley,Bruce Lundeen
11,M. Cali,Andy Exley,Bruce Lundeen
12,M. Cali,Andy Exley,Michael Tupper
13,M. Cali,Andy Exley,Michael Tupper
14,M. Cali,Andy Exley,Michael Tupper
15,M. Cali,Andy Exley,Michael Tupper
16,M. Cali,Andy Exley,Michael Tupper
17,M. Cali,Andy Exley,Michael Tupper
18,M. Cali,Andy Exley,Michael Tupper
19,M. Cali,Andy Exley,Michael Tupper
20,M. Cali,Andy Exley,Michael Tupper
21,M. Cali,Andy Exley,skipped
22,M. Cali,Andy Exley,skipped
23,M. Cali,Laura Jean,Andy Exley
24,M. Cali,Laura Jean,Andy Exley
25,M. Cali,Laura Jean,Andy Exley
26,M. Cali,Laura Jean,Andy Exley
27,M. Cali,Laura Jean,Andy Exley
28,M. Cali,Laura Jean,Robert Lilligren
29,M. Cali,Laura Jean,Robert Lilligren
30,M. Cali,Laura Jean,Robert Lilligren
31,M. Cali,Laura Jean,skipped
32,M. Cali,Robert Lilligren,Andy Exley
33,M. Cali,Robert Lilligren,Andy Exley
34,M. Cali,Robert Lilligren,Andy Exley
35,M. Cali,Robert Lilligren,Laura Jean
36,M. Cali,Robert Lilligren,Laura Jean
37,M. Cali,Robert Lilligren,Laura Jean
38,M. Cali,Robert Lilligren,Michael Tupper
39,M. Cali,Robert Lilligren,skipped
40,M. Cali,Robert Lilligren,skipped
41,M. Cali,Robert Lilligren,skipped
42,M. Cali,Robert Lilligren,skipped
43,M. Cali,Robert Lilligren,skipped
44,M. Cali,Robert Lilligren,skipped
45,M. Cali,Robert Lilligren,skipped
46,M. Cali,Robert Lilligren,skipped
47,M. Cali,Robert Lilligren,skipped
48,M. Cali,Robert Lilligren,skipped
49,M. Cali,Robert Lilligren,skipped
50,M. Cali,Robert Lilligren,skipped
51,M. Cali,Robert Lilligren,skipped
52,M. Cali,Robert Lilligren,skipped
53,M. Cali,Bruce Lundeen,Andy Exley
54,M. Cali,Bruce Lundeen,Andy Exley
55,M. Cali,Bruce Lundeen,Andy Exley
56,M. Cali,Bruce Lundeen,Andy Exley
57,M. Cali,Bruce Lundeen,Andy Exley
58,M. Cali,Bruce Lundeen,Laura Jean
59,M. Cali,Bruce Lundeen,skipped
60,M. Cali,Bruce Lundeen,skipped
61,M. Cali,Bruce Lundeen,skipped
62,M. Cali,Bruce Lundeen,skipped
63,M. Cali,Michael Tupper,Andy Exley
64,M. Cali,Michael Tupper,Andy Exley
65,M. Cali,Michael Tupper,Andy Exley
66,M. Cali,Michael Tupper,Andy Exley
67,M. Cali,Michael Tupper,Andy Exley
68,M. Cali,Michael Tupper,Andy Exley
69,M. Cali,Michael Tupper,Andy Exley
70,M. Cali,Michael Tupper,Andy Exley
71,M. Cali,Michael Tupper,Andy Exley
72,M. Cali,Michael Tupper,Laura Jean
73,M. Cali,Michael Tupper,Laura Jean
74,M. Cali,Michael Tupper,Laura Jean
75,M. Cali,Michael Tupper,Laura Jean
76,M. Cali,Michael Tupper,Robert Lilligren
77,M. Cali,Michael Tupper,Robert Lilligren
