ballotID,rank1,rank2,rank3
1,LIBBY SCHAAF,CLINTON KILLIAN,RALPH KANZ
2,JASON GILLEN,LIBBY SCHAAF,DANIEL SWAFFORD
3,LIBBY SCHAAF,DANIEL SWAFFORD,skipped
4,RALPH KANZ,DANIEL SWAFFORD,JASON GILLEN
5,LIBBY SCHAAF,DANIEL SWAFFORD,RALPH KANZ
6,DANIEL SWAFFORD,CLINTON KILLIAN,skipped
7,skipped,skipped,skipped
8,LIBBY SCHAAF,skipped,skipped
9,DANIEL SWAFFORD,CLINTON KILLIAN,skipped
10,LIBBY SCHAAF,RALPH KANZ,DANIEL SWAFFORD
11,RALPH KANZ,RALPH KANZ,RALPH KANZ
12,LIBBY SCHAAF,JILL BROADHURST,DANIEL SWAFFORD
13,CLINTON KILLIAN,MELANIE SHELBY,JASON GILLEN
14,LIBBY SCHAAF,DANIEL SWAFFORD,skipped
15,LIBBY SCHAAF,JILL BROADHURST,skipped
16,LIBBY SCHAAF,JILL BROADHURST,DANIEL SWAFFORD
17,LIBBY SCHAAF,skipped,skipped
18,LIBBY SCHAAF,JILL BROADHURST,CLINTON KILLIAN
19,LIBBY SCHAAF,skipped,skipped
20,skipped,skipped,skipped
21,JASON GILLEN,JILL BROADHURST,DANIEL SWAFFORD
22,LIBBY SCHAAF,JILL BROADHURST,MELANIE SHELBY
23,LIBBY SCHAAF,CLINTON KILLIAN,MELANIE SHELBY
24,LIBBY SCHAAF,DANIEL SWAFFORD,JILL BROADHURST
25,LIBBY SCHAAF,skipped,skipped
26,LIBBY SCHAAF,CLINTON KILLIAN,JILL BROADHURST
27,skipped,skipped,skipped
28,JILL BROADHURST,LIBBY SCHAAF,DANIEL SWAFFORD
29,JILL BROADHURST,JASON GILLEN,DANIEL SWAFFORD
30,JILL BROADHURST,DANIEL SWAFFORD,JASON GILLEN
31,LIBBY SCHAAF,DANIEL SWAFFORD,JASON GILLEN
32,JILL BROADHURST,MELANIE SHELBY,LIBBY SCHAAF
33,JILL BROADHURST,JASON GILLEN,RALPH KANZ
34,LIBBY SCHAAF,JILL BROADHURST,JASON GILLEN
35,CLINTON KILLIAN,skipped,skipped
36,LIBBY SCHAAF,JILL BROADHURST,RALPH KANZ
37,LIBBY SCHAAF,skipped,skipped
38,skipped,skipped,skipped
39,LIBBY SCHAAF,MELANIE SHELBY,CLINTON KILLIAN
40,MELANIE SHELBY,skipped,skipped
41,DANIEL SWAFFORD,JILL BROADHURST,skipped
