ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
1,"Kelley, Craig A.","Williamson, James M.","vanBeuzekom, Minka Y.","Simmons, E. Denise","Seidel, Sam","Ward, Larry W.","Pascual, Jamake","Nelson, Matthew P.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,"Kelley, Craig A.",writein,"Davis, Henrietta","Cheung, Leland","Ward, Larry W.","vanBeuzekom, Minka Y.","Toomey, Jr., Timothy J.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,"Pascual, Jamake","Simmons, E. Denise","Marquardt, Charles J.","Decker, Marjorie C.","Toomey, Jr., Timothy J.","Maher, David P.",skipped,"Cheung, Leland","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
4,"Davis, Henrietta","Nelson, Matthew P.","Cheung, Leland","Kelley, Craig A.","Toomey, Jr., Timothy J.","Ward, Larry W.","Seidel, Sam","Mello, Gary W.","Williamson, James M.","Maher, David P.","Marquardt, Charles J.","Moree, Gregg J.","Pascual, Jamake","Reeves, Kenneth E.","Stohlman, Jr., Thomas J.","vanBeuzekom, Minka Y.",skipped,"Simmons, E. Denise"
5,"Stohlman, Jr., Thomas J.","Simmons, E. Denise","Moree, Gregg J.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Davis, Henrietta","Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,"Davis, Henrietta",overvote,"Reeves, Kenneth E.",skipped,"Toomey, Jr., Timothy J.","Cheung, Leland","Marquardt, Charles J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Simmons, E. Denise","Cheung, Leland","Reeves, Kenneth E.","Maher, David P.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,"vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Kelley, Craig A.","Ward, Larry W.","Williamson, James M.","Marquardt, Charles J.","Cheung, Leland",skipped,"Reeves, Kenneth E.",skipped,"Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped
13,"Toomey, Jr., Timothy J.","Stohlman, Jr., Thomas J.","Decker, Marjorie C.","Seidel, Sam","Ward, Larry W.","Cheung, Leland","Davis, Henrietta",overvote,"Kelley, Craig A.","Mello, Gary W.","Marquardt, Charles J.","Nelson, Matthew P.","Moree, Gregg J.","Pascual, Jamake","Reeves, Kenneth E.","Simmons, E. Denise",writein,"Williamson, James M."
14,"Cheung, Leland",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
15,"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,"Davis, Henrietta","vanBeuzekom, Minka Y.","Decker, Marjorie C.","Simmons, E. Denise",skipped,"Maher, David P.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Davis, Henrietta","Reeves, Kenneth E.","Cheung, Leland","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,skipped,"Mello, Gary W.",skipped,skipped,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,"Seidel, Sam","Stohlman, Jr., Thomas J.","Marquardt, Charles J.","Kelley, Craig A.","Pascual, Jamake",skipped,"Decker, Marjorie C.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
20,"Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,"Kelley, Craig A.","vanBeuzekom, Minka Y.","Cheung, Leland","Stohlman, Jr., Thomas J.","Davis, Henrietta","Seidel, Sam",skipped,"Maher, David P.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
22,"Davis, Henrietta","Cheung, Leland",skipped,"Reeves, Kenneth E.","Decker, Marjorie C.","Marquardt, Charles J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,"Cheung, Leland","Davis, Henrietta","Kelley, Craig A.","Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,"Maher, David P.","Decker, Marjorie C.","Cheung, Leland","Toomey, Jr., Timothy J.","Reeves, Kenneth E.",skipped,"Seidel, Sam","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Nelson, Matthew P.","Pascual, Jamake","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Ward, Larry W.","Williamson, James M.","Cheung, Leland","Davis, Henrietta","Decker, Marjorie C.","Kelley, Craig A.","Maher, David P.","Marquardt, Charles J.","Mello, Gary W.","Moree, Gregg J."
28,"Cheung, Leland","Maher, David P.","Reeves, Kenneth E.",writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
