ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
4,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
13,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
14,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
15,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
20,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
22,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,"Fantini, Alfred B.","Nolan, Patricia M.","Turkel, Alice L.","Gerber, Joyce C.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped
26,"Turkel, Alice L.",Write-In 1,Write-In 2,Write-In 3,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,"Fantini, Alfred B.","McGovern, Marc C.",overvote,"Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped
28,"Turkel, Alice L.","Osborne, Mervan F.","Tauber, Nancy","Nolan, Patricia M.","Harding, Jr., Richard","McGovern, Marc C.",Write-In 1,skipped,skipped,skipped,skipped
29,"Harding, Jr., Richard","Fantini, Alfred B.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
30,"Nolan, Patricia M.","Gerber, Joyce C.","Forster, Bill","Osborne, Mervan F.","Holland, John J.",Write-In 1,skipped,skipped,skipped,skipped,skipped
31,"Osborne, Mervan F.","Nolan, Patricia M.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,"Osborne, Mervan F.","Turkel, Alice L.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Nolan, Patricia M.","Osborne, Mervan F.","Turkel, Alice L.","Tauber, Nancy","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
34,"Harding, Jr., Richard","McGovern, Marc C.","Nolan, Patricia M.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
