ranks,ballotID,rank1,rank2,rank3
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",1,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",2,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'skipped', 'skipped']",3,DARRYL MOORE,skipped,skipped
"['DARRYL MOORE', 'DARRYL MOORE', 'DENISHA DELANE']",4,DARRYL MOORE,DARRYL MOORE,DENISHA DELANE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",5,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DENISHA DELANE', 'DARRYL MOORE', 'DARRYL MOORE']",6,DENISHA DELANE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",7,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['ADOLFO CABRAL', 'DARRYL MOORE', 'DENISHA DELANE']",8,ADOLFO CABRAL,DARRYL MOORE,DENISHA DELANE
"['DARRYL MOORE', 'ADOLFO CABRAL', 'DENISHA DELANE']",9,DARRYL MOORE,ADOLFO CABRAL,DENISHA DELANE
"['DARRYL MOORE', 'skipped', 'skipped']",10,DARRYL MOORE,skipped,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",11,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'skipped', 'skipped']",12,DARRYL MOORE,skipped,skipped
"['DENISHA DELANE', 'ADOLFO CABRAL', 'skipped']",13,DENISHA DELANE,ADOLFO CABRAL,skipped
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",14,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'ADOLFO CABRAL', 'DENISHA DELANE']",15,DARRYL MOORE,ADOLFO CABRAL,DENISHA DELANE
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",16,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",17,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['skipped', 'skipped', 'skipped']",18,skipped,skipped,skipped
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",19,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['ADOLFO CABRAL', 'DENISHA DELANE', 'DARRYL MOORE']",20,ADOLFO CABRAL,DENISHA DELANE,DARRYL MOORE
"['DARRYL MOORE', 'ADOLFO CABRAL', 'DENISHA DELANE']",21,DARRYL MOORE,ADOLFO CABRAL,DENISHA DELANE
"['DARRYL MOORE', 'skipped', 'skipped']",22,DARRYL MOORE,skipped,skipped
"['DARRYL MOORE', 'skipped', 'skipped']",23,DARRYL MOORE,skipped,skipped
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",24,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
"['DARRYL MOORE', 'ADOLFO CABRAL', 'DENISHA DELANE']",25,DARRYL MOORE,ADOLFO CABRAL,DENISHA DELANE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",26,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",27,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",28,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
