ballotID,rank1,rank2,rank3
1,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
2,DMITRI BELSER,DMITRI BELSER,DMITRI BELSER
3,DMITRI BELSER,DMITRI BELSER,DMITRI BELSER
4,DMITRI BELSER,skipped,skipped
5,MAX ANDERSON,DMITRI BELSER,skipped
6,MAX ANDERSON,skipped,skipped
7,MAX ANDERSON,DMITRI BELSER,skipped
8,DMITRI BELSER,MAX ANDERSON,DMITRI BELSER
9,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
10,DMITRI BELSER,skipped,skipped
11,DMITRI BELSER,DMITRI BELSER,DMITRI BELSER
12,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
13,MAX ANDERSON,DMITRI BELSER,skipped
14,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
15,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
16,MAX ANDERSON,DMITRI BELSER,skipped
17,MAX ANDERSON,skipped,skipped
18,MAX ANDERSON,DMITRI BELSER,skipped
19,skipped,skipped,skipped
20,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
21,DMITRI BELSER,MAX ANDERSON,skipped
22,DMITRI BELSER,skipped,skipped
23,DMITRI BELSER,MAX ANDERSON,skipped
24,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
25,MAX ANDERSON,DMITRI BELSER,MAX ANDERSON
26,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
27,MAX ANDERSON,DMITRI BELSER,skipped
28,DMITRI BELSER,MAX ANDERSON,skipped
29,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
30,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
31,DMITRI BELSER,skipped,skipped
32,MAX ANDERSON,DMITRI BELSER,skipped
33,DMITRI BELSER,skipped,skipped
34,MAX ANDERSON,DMITRI BELSER,skipped
35,skipped,skipped,skipped
36,DMITRI BELSER,DMITRI BELSER,MAX ANDERSON
37,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
38,MAX ANDERSON,skipped,skipped
39,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
40,skipped,skipped,skipped
41,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
42,MAX ANDERSON,DMITRI BELSER,skipped
43,MAX ANDERSON,DMITRI BELSER,skipped
44,MAX ANDERSON,DMITRI BELSER,skipped
45,DMITRI BELSER,skipped,skipped
46,DMITRI BELSER,MAX ANDERSON,skipped
47,skipped,skipped,skipped
48,MAX ANDERSON,DMITRI BELSER,skipped
49,MAX ANDERSON,skipped,skipped
50,MAX ANDERSON,skipped,skipped
51,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
52,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
53,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
54,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
55,DMITRI BELSER,MAX ANDERSON,DMITRI BELSER
56,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
57,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON
58,DMITRI BELSER,MAX ANDERSON,skipped
59,MAX ANDERSON,skipped,skipped
60,DMITRI BELSER,DMITRI BELSER,DMITRI BELSER
61,MAX ANDERSON,DMITRI BELSER,skipped
62,MAX ANDERSON,skipped,skipped
63,DMITRI BELSER,MAX ANDERSON,skipped
64,DMITRI BELSER,MAX ANDERSON,skipped
65,MAX ANDERSON,DMITRI BELSER,skipped
66,MAX ANDERSON,skipped,skipped
67,DMITRI BELSER,skipped,MAX ANDERSON
68,MAX ANDERSON,skipped,skipped
69,MAX ANDERSON,DMITRI BELSER,skipped
70,MAX ANDERSON,DMITRI BELSER,MAX ANDERSON
71,skipped,skipped,skipped
72,MAX ANDERSON,DMITRI BELSER,MAX ANDERSON
73,MAX ANDERSON,DMITRI BELSER,MAX ANDERSON
74,DMITRI BELSER,skipped,skipped
75,skipped,skipped,skipped
76,MAX ANDERSON,DMITRI BELSER,skipped
77,skipped,skipped,skipped
78,skipped,skipped,skipped
79,skipped,skipped,skipped
80,MAX ANDERSON,DMITRI BELSER,skipped
81,DMITRI BELSER,skipped,skipped
82,DMITRI BELSER,MAX ANDERSON,skipped
83,skipped,skipped,skipped
84,skipped,skipped,skipped
85,MAX ANDERSON,skipped,skipped
86,DMITRI BELSER,skipped,skipped
87,DMITRI BELSER,MAX ANDERSON,skipped
88,MAX ANDERSON,skipped,skipped
89,MAX ANDERSON,skipped,skipped
90,MAX ANDERSON,skipped,skipped
91,skipped,skipped,skipped
92,DMITRI BELSER,DMITRI BELSER,DMITRI BELSER
93,DMITRI BELSER,DMITRI BELSER,skipped
94,MAX ANDERSON,DMITRI BELSER,MAX ANDERSON
95,DMITRI BELSER,MAX ANDERSON,skipped
96,DMITRI BELSER,MAX ANDERSON,skipped
97,MAX ANDERSON,skipped,skipped
