ranks,ballotID,rank1,rank2,rank3
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'LARRY LIONEL YOUNG, JR.']",1,SEAN SULLIVAN,ALEX MILLER-COLE,"LARRY LIONEL YOUNG, JR."
"['NYEISHA DEWITT', 'DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY']",2,NYEISHA DEWITT,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'LARRY LIONEL YOUNG, JR.']",3,SEAN SULLIVAN,ALEX MILLER-COLE,"LARRY LIONEL YOUNG, JR."
"['NYEISHA DEWITT', 'DERRICK MUHAMMAD', 'LYNETTE GIBSON-MCELHANEY']",4,NYEISHA DEWITT,DERRICK MUHAMMAD,LYNETTE GIBSON-MCELHANEY
"['LARRY LIONEL YOUNG, JR.', 'SEAN SULLIVAN', 'DERRICK MUHAMMAD']",5,"LARRY LIONEL YOUNG, JR.",SEAN SULLIVAN,DERRICK MUHAMMAD
"['DERRICK MUHAMMAD', 'LARRY LIONEL YOUNG, JR.', 'ALEX MILLER-COLE']",6,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR.",ALEX MILLER-COLE
"['NYEISHA DEWITT', 'DERRICK MUHAMMAD', 'ALEX MILLER-COLE']",7,NYEISHA DEWITT,DERRICK MUHAMMAD,ALEX MILLER-COLE
"['skipped', 'skipped', 'skipped']",8,skipped,skipped,skipped
"['LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE', 'NYEISHA DEWITT']",9,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE,NYEISHA DEWITT
"['skipped', 'skipped', 'skipped']",10,skipped,skipped,skipped
"['LARRY LIONEL YOUNG, JR.', 'NYEISHA DEWITT', 'LYNETTE GIBSON-MCELHANEY']",11,"LARRY LIONEL YOUNG, JR.",NYEISHA DEWITT,LYNETTE GIBSON-MCELHANEY
"['LYNETTE GIBSON-MCELHANEY', 'skipped', 'skipped']",12,LYNETTE GIBSON-MCELHANEY,skipped,skipped
"['ALEX MILLER-COLE', 'NYEISHA DEWITT', 'SEAN SULLIVAN']",13,ALEX MILLER-COLE,NYEISHA DEWITT,SEAN SULLIVAN
"['SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD']",14,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD
"['SEAN SULLIVAN', 'DERRICK MUHAMMAD', 'LARRY LIONEL YOUNG, JR.']",15,SEAN SULLIVAN,DERRICK MUHAMMAD,"LARRY LIONEL YOUNG, JR."
"['skipped', 'skipped', 'skipped']",16,skipped,skipped,skipped
"['SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY', 'ALEX MILLER-COLE']",17,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,ALEX MILLER-COLE
"['DERRICK MUHAMMAD', 'SEAN SULLIVAN', 'LARRY LIONEL YOUNG, JR.']",18,DERRICK MUHAMMAD,SEAN SULLIVAN,"LARRY LIONEL YOUNG, JR."
"['NYEISHA DEWITT', 'skipped', 'skipped']",19,NYEISHA DEWITT,skipped,skipped
"['NYEISHA DEWITT', 'ALEX MILLER-COLE', 'LYNETTE GIBSON-MCELHANEY']",20,NYEISHA DEWITT,ALEX MILLER-COLE,LYNETTE GIBSON-MCELHANEY
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'LARRY LIONEL YOUNG, JR.']",21,SEAN SULLIVAN,ALEX MILLER-COLE,"LARRY LIONEL YOUNG, JR."
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'skipped']",22,SEAN SULLIVAN,ALEX MILLER-COLE,skipped
"['DERRICK MUHAMMAD', 'SEAN SULLIVAN', 'LARRY LIONEL YOUNG, JR.']",23,DERRICK MUHAMMAD,SEAN SULLIVAN,"LARRY LIONEL YOUNG, JR."
"['LYNETTE GIBSON-MCELHANEY', 'DERRICK MUHAMMAD', 'ALEX MILLER-COLE']",24,LYNETTE GIBSON-MCELHANEY,DERRICK MUHAMMAD,ALEX MILLER-COLE
"['DERRICK MUHAMMAD', 'SEAN SULLIVAN', 'DERRICK MUHAMMAD']",25,DERRICK MUHAMMAD,SEAN SULLIVAN,DERRICK MUHAMMAD
"['skipped', 'skipped', 'skipped']",26,skipped,skipped,skipped
"['SEAN SULLIVAN', 'ALEX MILLER-COLE', 'DERRICK MUHAMMAD']",27,SEAN SULLIVAN,ALEX MILLER-COLE,DERRICK MUHAMMAD
"['skipped', 'skipped', 'skipped']",28,skipped,skipped,skipped
"['ALEX MILLER-COLE', 'LARRY LIONEL YOUNG, JR.', 'DERRICK MUHAMMAD']",29,ALEX MILLER-COLE,"LARRY LIONEL YOUNG, JR.",DERRICK MUHAMMAD
"['SEAN SULLIVAN', 'LYNETTE GIBSON-MCELHANEY', 'LARRY LIONEL YOUNG, JR.']",30,SEAN SULLIVAN,LYNETTE GIBSON-MCELHANEY,"LARRY LIONEL YOUNG, JR."
