ballotID,rank1,rank2,rank3
1,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
2,ROSIE TORRES,skipped,skipped
3,MIKE HUTCHINSON,skipped,skipped
4,MIKE HUTCHINSON,skipped,skipped
5,MIKE HUTCHINSON,ROSIE TORRES,skipped
6,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
7,ROSIE TORRES,skipped,skipped
8,ROSIE TORRES,MIKE HUTCHINSON,skipped
9,MIKE HUTCHINSON,ROSIE TORRES,skipped
10,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
11,MIKE HUTCHINSON,ROSIE TORRES,skipped
12,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
13,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
14,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
15,ROSIE TORRES,skipped,skipped
16,MIKE HUTCHINSON,skipped,skipped
17,skipped,skipped,skipped
18,ROSIE TORRES,MIKE HUTCHINSON,skipped
19,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
20,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
21,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
22,skipped,skipped,skipped
23,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
24,ROSIE TORRES,MIKE HUTCHINSON,skipped
25,MIKE HUTCHINSON,ROSIE TORRES,skipped
26,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
27,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
28,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
29,ROSIE TORRES,ROSIE TORRES,MIKE HUTCHINSON
30,ROSIE TORRES,MIKE HUTCHINSON,skipped
31,MIKE HUTCHINSON,skipped,skipped
32,MIKE HUTCHINSON,skipped,skipped
33,MIKE HUTCHINSON,ROSIE TORRES,ROSIE TORRES
34,ROSIE TORRES,MIKE HUTCHINSON,writein
35,MIKE HUTCHINSON,skipped,ROSIE TORRES
36,ROSIE TORRES,writein,MIKE HUTCHINSON
37,ROSIE TORRES,MIKE HUTCHINSON,writein
38,MIKE HUTCHINSON,ROSIE TORRES,writein
39,ROSIE TORRES,MIKE HUTCHINSON,writein
40,MIKE HUTCHINSON,skipped,skipped
41,MIKE HUTCHINSON,ROSIE TORRES,skipped
42,MIKE HUTCHINSON,ROSIE TORRES,skipped
43,skipped,skipped,skipped
44,ROSIE TORRES,MIKE HUTCHINSON,skipped
45,MIKE HUTCHINSON,skipped,skipped
46,ROSIE TORRES,MIKE HUTCHINSON,skipped
47,MIKE HUTCHINSON,ROSIE TORRES,skipped
