ballotID,rank1,rank2,rank3
1,DEBORAH COX,DEBORAH COX,DEBORAH COX
2,KENNETH PON,DEBORAH COX,"DAVID L. ANDERSON, SR."
3,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR."
4,skipped,skipped,skipped
5,skipped,skipped,skipped
6,skipped,skipped,skipped
7,skipped,skipped,skipped
8,KENNETH PON,DEBORAH COX,KENNETH PON
9,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR."
10,"DAVID L. ANDERSON, SR.",KENNETH PON,DEBORAH COX
11,DEBORAH COX,skipped,skipped
12,DEBORAH COX,skipped,skipped
13,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
14,"DAVID L. ANDERSON, SR.",skipped,skipped
15,skipped,skipped,skipped
16,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
17,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
18,DEBORAH COX,"DAVID L. ANDERSON, SR.",KENNETH PON
19,"DAVID L. ANDERSON, SR.",KENNETH PON,DEBORAH COX
20,KENNETH PON,DEBORAH COX,MIKE KATZ-LACABE
21,DEBORAH COX,skipped,skipped
22,MIKE KATZ-LACABE,KENNETH PON,MIKE KATZ-LACABE
23,KENNETH PON,"DAVID L. ANDERSON, SR.",skipped
24,DEBORAH COX,"DAVID L. ANDERSON, SR.",DEBORAH COX
25,"DAVID L. ANDERSON, SR.",DEBORAH COX,KENNETH PON
26,KENNETH PON,DEBORAH COX,"DAVID L. ANDERSON, SR."
27,KENNETH PON,DEBORAH COX,"DAVID L. ANDERSON, SR."
28,"DAVID L. ANDERSON, SR.",DEBORAH COX,MIKE KATZ-LACABE
29,MIKE KATZ-LACABE,skipped,skipped
30,DEBORAH COX,"DAVID L. ANDERSON, SR.",MIKE KATZ-LACABE
31,MIKE KATZ-LACABE,KENNETH PON,skipped
32,DEBORAH COX,skipped,skipped
33,DEBORAH COX,skipped,skipped
34,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.",KENNETH PON
35,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
36,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
37,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
38,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
39,DEBORAH COX,KENNETH PON,skipped
40,DEBORAH COX,KENNETH PON,skipped
41,KENNETH PON,DEBORAH COX,MIKE KATZ-LACABE
42,KENNETH PON,DEBORAH COX,"DAVID L. ANDERSON, SR."
43,DEBORAH COX,KENNETH PON,DEBORAH COX
44,DEBORAH COX,skipped,skipped
45,DEBORAH COX,skipped,skipped
46,DEBORAH COX,skipped,skipped
47,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
48,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
49,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.",MIKE KATZ-LACABE
50,DEBORAH COX,KENNETH PON,MIKE KATZ-LACABE
51,KENNETH PON,MIKE KATZ-LACABE,MIKE KATZ-LACABE
52,skipped,skipped,skipped
53,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR."
54,DEBORAH COX,KENNETH PON,skipped
55,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR."
56,KENNETH PON,skipped,skipped
57,DEBORAH COX,KENNETH PON,"DAVID L. ANDERSON, SR."
58,KENNETH PON,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR."
59,DEBORAH COX,DEBORAH COX,DEBORAH COX
60,DEBORAH COX,DEBORAH COX,DEBORAH COX
61,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
62,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
63,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
64,skipped,skipped,skipped
65,DEBORAH COX,KENNETH PON,"DAVID L. ANDERSON, SR."
66,KENNETH PON,DEBORAH COX,"DAVID L. ANDERSON, SR."
67,MIKE KATZ-LACABE,DEBORAH COX,"DAVID L. ANDERSON, SR."
68,skipped,skipped,skipped
69,DEBORAH COX,"DAVID L. ANDERSON, SR.",KENNETH PON
70,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
71,"DAVID L. ANDERSON, SR.",KENNETH PON,MIKE KATZ-LACABE
72,KENNETH PON,"DAVID L. ANDERSON, SR.",skipped
73,DEBORAH COX,"DAVID L. ANDERSON, SR.",KENNETH PON
74,DEBORAH COX,MIKE KATZ-LACABE,KENNETH PON
75,"DAVID L. ANDERSON, SR.",DEBORAH COX,KENNETH PON
76,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
77,DEBORAH COX,MIKE KATZ-LACABE,KENNETH PON
78,DEBORAH COX,KENNETH PON,"DAVID L. ANDERSON, SR."
79,MIKE KATZ-LACABE,DEBORAH COX,DEBORAH COX
80,KENNETH PON,skipped,skipped
81,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
82,"DAVID L. ANDERSON, SR.",skipped,skipped
83,KENNETH PON,DEBORAH COX,MIKE KATZ-LACABE
84,DEBORAH COX,DEBORAH COX,DEBORAH COX
85,"DAVID L. ANDERSON, SR.",KENNETH PON,skipped
86,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
87,MIKE KATZ-LACABE,KENNETH PON,KENNETH PON
88,MIKE KATZ-LACABE,DEBORAH COX,"DAVID L. ANDERSON, SR."
89,KENNETH PON,MIKE KATZ-LACABE,DEBORAH COX
90,skipped,skipped,skipped
91,DEBORAH COX,KENNETH PON,"DAVID L. ANDERSON, SR."
92,DEBORAH COX,DEBORAH COX,DEBORAH COX
93,KENNETH PON,KENNETH PON,KENNETH PON
94,DEBORAH COX,MIKE KATZ-LACABE,"DAVID L. ANDERSON, SR."
95,KENNETH PON,KENNETH PON,KENNETH PON
96,skipped,skipped,skipped
97,MIKE KATZ-LACABE,MIKE KATZ-LACABE,DEBORAH COX
98,KENNETH PON,"DAVID L. ANDERSON, SR.",DEBORAH COX
99,"DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR.","DAVID L. ANDERSON, SR."
100,skipped,skipped,skipped
101,KENNETH PON,DEBORAH COX,KENNETH PON
102,KENNETH PON,KENNETH PON,KENNETH PON
103,MIKE KATZ-LACABE,KENNETH PON,DEBORAH COX
104,DEBORAH COX,KENNETH PON,"DAVID L. ANDERSON, SR."
105,DEBORAH COX,DEBORAH COX,"DAVID L. ANDERSON, SR."
106,DEBORAH COX,KENNETH PON,"DAVID L. ANDERSON, SR."
107,DEBORAH COX,"DAVID L. ANDERSON, SR.",KENNETH PON
108,MIKE KATZ-LACABE,DEBORAH COX,KENNETH PON
109,KENNETH PON,DEBORAH COX,"DAVID L. ANDERSON, SR."
110,skipped,skipped,skipped
111,skipped,skipped,skipped
112,skipped,skipped,skipped
113,skipped,skipped,skipped
114,skipped,skipped,skipped
115,skipped,skipped,skipped
116,skipped,skipped,skipped
117,skipped,skipped,skipped
118,DEBORAH COX,MIKE KATZ-LACABE,KENNETH PON
119,DEBORAH COX,DEBORAH COX,DEBORAH COX
120,DEBORAH COX,MIKE KATZ-LACABE,"DAVID L. ANDERSON, SR."
121,skipped,skipped,skipped
122,KENNETH PON,"DAVID L. ANDERSON, SR.",DEBORAH COX
123,KENNETH PON,DEBORAH COX,MIKE KATZ-LACABE
124,DEBORAH COX,DEBORAH COX,DEBORAH COX
125,"DAVID L. ANDERSON, SR.",KENNETH PON,DEBORAH COX
126,DEBORAH COX,"DAVID L. ANDERSON, SR.",MIKE KATZ-LACABE
127,KENNETH PON,skipped,skipped
128,KENNETH PON,DEBORAH COX,MIKE KATZ-LACABE
129,KENNETH PON,KENNETH PON,KENNETH PON
130,MIKE KATZ-LACABE,MIKE KATZ-LACABE,MIKE KATZ-LACABE
131,DEBORAH COX,skipped,skipped
132,DEBORAH COX,DEBORAH COX,DEBORAH COX
133,DEBORAH COX,"DAVID L. ANDERSON, SR.",DEBORAH COX
