ranks,ballotID,rank1,rank2,rank3
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",1,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",2,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",3,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['skipped', 'skipped', 'skipped']",4,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",7,skipped,skipped,skipped
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'VICTOR AGUILAR']",8,VICTOR AGUILAR,ALLEN SCHOENFELD,VICTOR AGUILAR
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",9,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",10,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'skipped', 'skipped']",11,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'skipped', 'skipped']",12,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",13,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'skipped', 'skipped']",14,ALLEN SCHOENFELD,skipped,skipped
"['LEE THOMAS', 'LEE THOMAS', 'LEE THOMAS']",15,LEE THOMAS,LEE THOMAS,LEE THOMAS
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",16,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",17,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'VICTOR AGUILAR', 'skipped']",18,LEE THOMAS,VICTOR AGUILAR,skipped
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",19,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
