ballotID,rank1,rank2,rank3
1,MIKE ALVAREZ COHEN,skipped,skipped
2,MIKE ALVAREZ COHEN,skipped,skipped
3,MIKE ALVAREZ COHEN,skipped,skipped
4,MIKE ALVAREZ COHEN,skipped,skipped
5,GEORGE BEIER,LORI DROSTE,JACQUELYN MCCORMICK
6,GEORGE BEIER,LORI DROSTE,MIKE ALVAREZ COHEN
7,GEORGE BEIER,LORI DROSTE,MIKE ALVAREZ COHEN
8,JACQUELYN MCCORMICK,LORI DROSTE,GEORGE BEIER
9,JACQUELYN MCCORMICK,LORI DROSTE,GEORGE BEIER
10,GEORGE BEIER,GEORGE BEIER,GEORGE BEIER
11,MIKE ALVAREZ COHEN,LORI DROSTE,skipped
12,MIKE ALVAREZ COHEN,LORI DROSTE,skipped
13,MIKE ALVAREZ COHEN,LORI DROSTE,skipped
14,MIKE ALVAREZ COHEN,LORI DROSTE,skipped
15,LORI DROSTE,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK
16,LORI DROSTE,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK
17,LORI DROSTE,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK
18,MIKE ALVAREZ COHEN,skipped,JACQUELYN MCCORMICK
19,MIKE ALVAREZ COHEN,JACQUELYN MCCORMICK,skipped
20,GEORGE BEIER,skipped,skipped
21,LORI DROSTE,JACQUELYN MCCORMICK,GEORGE BEIER
22,LORI DROSTE,JACQUELYN MCCORMICK,GEORGE BEIER
23,GEORGE BEIER,MIKE ALVAREZ COHEN,LORI DROSTE
24,GEORGE BEIER,MIKE ALVAREZ COHEN,LORI DROSTE
25,GEORGE BEIER,MIKE ALVAREZ COHEN,LORI DROSTE
26,MIKE ALVAREZ COHEN,LORI DROSTE,JACQUELYN MCCORMICK
27,MIKE ALVAREZ COHEN,LORI DROSTE,JACQUELYN MCCORMICK
28,MIKE ALVAREZ COHEN,LORI DROSTE,JACQUELYN MCCORMICK
29,LORI DROSTE,JACQUELYN MCCORMICK,MIKE ALVAREZ COHEN
30,LORI DROSTE,JACQUELYN MCCORMICK,MIKE ALVAREZ COHEN
31,LORI DROSTE,JACQUELYN MCCORMICK,MIKE ALVAREZ COHEN
32,LORI DROSTE,JACQUELYN MCCORMICK,MIKE ALVAREZ COHEN
33,JACQUELYN MCCORMICK,LORI DROSTE,skipped
34,JACQUELYN MCCORMICK,LORI DROSTE,skipped
35,JACQUELYN MCCORMICK,LORI DROSTE,skipped
36,skipped,skipped,skipped
37,skipped,skipped,skipped
38,skipped,skipped,skipped
39,skipped,skipped,skipped
40,skipped,skipped,skipped
41,skipped,skipped,skipped
42,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
43,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
44,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
45,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
46,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
47,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
48,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
49,MIKE ALVAREZ COHEN,GEORGE BEIER,skipped
50,GEORGE BEIER,MIKE ALVAREZ COHEN,skipped
51,GEORGE BEIER,MIKE ALVAREZ COHEN,skipped
52,GEORGE BEIER,MIKE ALVAREZ COHEN,skipped
