ballotID,rank1,rank2,rank3
1,BRENDA ROBERTS,LEN RAPHAEL,skipped
2,BRENDA ROBERTS,skipped,skipped
3,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
4,BRENDA ROBERTS,skipped,skipped
5,BRENDA ROBERTS,LEN RAPHAEL,skipped
6,BRENDA ROBERTS,skipped,skipped
7,LEN RAPHAEL,BRENDA ROBERTS,skipped
8,LEN RAPHAEL,BRENDA ROBERTS,skipped
9,BRENDA ROBERTS,LEN RAPHAEL,skipped
10,skipped,skipped,skipped
11,BRENDA ROBERTS,LEN RAPHAEL,skipped
12,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
13,skipped,skipped,skipped
14,LEN RAPHAEL,BRENDA ROBERTS,LEN RAPHAEL
15,BRENDA ROBERTS,skipped,skipped
16,BRENDA ROBERTS,skipped,skipped
17,BRENDA ROBERTS,skipped,skipped
18,BRENDA ROBERTS,LEN RAPHAEL,LEN RAPHAEL
19,BRENDA ROBERTS,LEN RAPHAEL,skipped
20,BRENDA ROBERTS,skipped,skipped
21,BRENDA ROBERTS,LEN RAPHAEL,skipped
22,BRENDA ROBERTS,LEN RAPHAEL,skipped
23,skipped,skipped,skipped
24,BRENDA ROBERTS,LEN RAPHAEL,skipped
25,BRENDA ROBERTS,LEN RAPHAEL,skipped
26,BRENDA ROBERTS,LEN RAPHAEL,skipped
27,skipped,skipped,skipped
28,BRENDA ROBERTS,LEN RAPHAEL,skipped
29,LEN RAPHAEL,skipped,skipped
30,BRENDA ROBERTS,skipped,skipped
31,LEN RAPHAEL,LEN RAPHAEL,LEN RAPHAEL
32,BRENDA ROBERTS,LEN RAPHAEL,skipped
33,skipped,skipped,skipped
34,skipped,skipped,skipped
35,BRENDA ROBERTS,LEN RAPHAEL,skipped
36,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
37,BRENDA ROBERTS,LEN RAPHAEL,skipped
38,BRENDA ROBERTS,skipped,skipped
39,skipped,skipped,skipped
40,LEN RAPHAEL,BRENDA ROBERTS,LEN RAPHAEL
41,BRENDA ROBERTS,LEN RAPHAEL,skipped
42,BRENDA ROBERTS,LEN RAPHAEL,skipped
43,BRENDA ROBERTS,skipped,skipped
44,BRENDA ROBERTS,skipped,skipped
45,skipped,skipped,skipped
46,skipped,skipped,skipped
47,skipped,skipped,skipped
48,skipped,skipped,skipped
49,BRENDA ROBERTS,LEN RAPHAEL,skipped
50,BRENDA ROBERTS,LEN RAPHAEL,skipped
51,BRENDA ROBERTS,skipped,skipped
52,skipped,skipped,skipped
53,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
54,BRENDA ROBERTS,LEN RAPHAEL,LEN RAPHAEL
55,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
56,skipped,skipped,skipped
57,LEN RAPHAEL,skipped,skipped
58,skipped,skipped,skipped
59,LEN RAPHAEL,LEN RAPHAEL,LEN RAPHAEL
60,BRENDA ROBERTS,LEN RAPHAEL,skipped
61,LEN RAPHAEL,BRENDA ROBERTS,skipped
62,BRENDA ROBERTS,LEN RAPHAEL,skipped
63,BRENDA ROBERTS,LEN RAPHAEL,skipped
64,skipped,skipped,skipped
65,skipped,skipped,skipped
66,skipped,skipped,skipped
67,skipped,skipped,skipped
68,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
69,skipped,skipped,skipped
70,LEN RAPHAEL,BRENDA ROBERTS,skipped
71,BRENDA ROBERTS,LEN RAPHAEL,skipped
72,skipped,skipped,skipped
73,BRENDA ROBERTS,LEN RAPHAEL,skipped
74,BRENDA ROBERTS,skipped,skipped
75,skipped,skipped,skipped
76,BRENDA ROBERTS,skipped,skipped
77,BRENDA ROBERTS,skipped,skipped
78,BRENDA ROBERTS,LEN RAPHAEL,skipped
79,BRENDA ROBERTS,LEN RAPHAEL,skipped
80,BRENDA ROBERTS,LEN RAPHAEL,LEN RAPHAEL
81,LEN RAPHAEL,BRENDA ROBERTS,skipped
82,BRENDA ROBERTS,skipped,skipped
83,LEN RAPHAEL,skipped,skipped
84,skipped,skipped,skipped
85,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
86,skipped,skipped,skipped
87,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
88,BRENDA ROBERTS,LEN RAPHAEL,skipped
89,BRENDA ROBERTS,LEN RAPHAEL,skipped
90,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
91,BRENDA ROBERTS,skipped,skipped
92,LEN RAPHAEL,BRENDA ROBERTS,LEN RAPHAEL
93,LEN RAPHAEL,BRENDA ROBERTS,LEN RAPHAEL
94,BRENDA ROBERTS,skipped,skipped
95,BRENDA ROBERTS,skipped,skipped
96,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
97,BRENDA ROBERTS,LEN RAPHAEL,skipped
98,skipped,skipped,skipped
99,BRENDA ROBERTS,skipped,skipped
100,skipped,skipped,skipped
101,BRENDA ROBERTS,LEN RAPHAEL,skipped
102,skipped,skipped,skipped
103,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
104,BRENDA ROBERTS,LEN RAPHAEL,skipped
105,BRENDA ROBERTS,LEN RAPHAEL,skipped
106,skipped,skipped,skipped
107,LEN RAPHAEL,skipped,skipped
108,BRENDA ROBERTS,skipped,skipped
109,LEN RAPHAEL,skipped,skipped
110,BRENDA ROBERTS,skipped,skipped
111,LEN RAPHAEL,skipped,skipped
112,BRENDA ROBERTS,skipped,skipped
113,skipped,skipped,skipped
114,skipped,skipped,skipped
115,skipped,skipped,skipped
116,skipped,skipped,skipped
117,BRENDA ROBERTS,skipped,skipped
118,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
119,BRENDA ROBERTS,skipped,skipped
120,LEN RAPHAEL,skipped,skipped
121,skipped,skipped,skipped
122,skipped,skipped,skipped
123,BRENDA ROBERTS,skipped,skipped
124,BRENDA ROBERTS,skipped,skipped
125,skipped,skipped,skipped
126,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
127,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
128,BRENDA ROBERTS,LEN RAPHAEL,skipped
129,BRENDA ROBERTS,skipped,skipped
130,BRENDA ROBERTS,LEN RAPHAEL,skipped
131,skipped,skipped,skipped
132,skipped,skipped,skipped
133,BRENDA ROBERTS,LEN RAPHAEL,skipped
134,LEN RAPHAEL,BRENDA ROBERTS,LEN RAPHAEL
135,LEN RAPHAEL,BRENDA ROBERTS,skipped
136,BRENDA ROBERTS,skipped,skipped
137,LEN RAPHAEL,skipped,skipped
138,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
139,skipped,skipped,skipped
140,skipped,skipped,skipped
141,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
142,BRENDA ROBERTS,LEN RAPHAEL,skipped
143,LEN RAPHAEL,BRENDA ROBERTS,skipped
144,LEN RAPHAEL,skipped,skipped
145,LEN RAPHAEL,skipped,skipped
146,skipped,skipped,skipped
147,LEN RAPHAEL,skipped,skipped
148,skipped,skipped,skipped
149,LEN RAPHAEL,LEN RAPHAEL,LEN RAPHAEL
150,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
151,BRENDA ROBERTS,skipped,skipped
152,skipped,skipped,skipped
153,BRENDA ROBERTS,LEN RAPHAEL,skipped
154,LEN RAPHAEL,LEN RAPHAEL,skipped
155,skipped,skipped,skipped
156,BRENDA ROBERTS,LEN RAPHAEL,skipped
157,LEN RAPHAEL,BRENDA ROBERTS,skipped
158,LEN RAPHAEL,LEN RAPHAEL,LEN RAPHAEL
159,skipped,skipped,skipped
160,BRENDA ROBERTS,LEN RAPHAEL,skipped
161,BRENDA ROBERTS,LEN RAPHAEL,BRENDA ROBERTS
162,BRENDA ROBERTS,BRENDA ROBERTS,LEN RAPHAEL
163,LEN RAPHAEL,BRENDA ROBERTS,skipped
164,BRENDA ROBERTS,BRENDA ROBERTS,skipped
165,skipped,skipped,skipped
166,LEN RAPHAEL,skipped,skipped
167,skipped,skipped,skipped
168,BRENDA ROBERTS,LEN RAPHAEL,skipped
169,skipped,skipped,skipped
170,skipped,skipped,skipped
171,LEN RAPHAEL,BRENDA ROBERTS,LEN RAPHAEL
172,BRENDA ROBERTS,skipped,skipped
173,BRENDA ROBERTS,LEN RAPHAEL,skipped
174,BRENDA ROBERTS,LEN RAPHAEL,skipped
175,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
176,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
177,LEN RAPHAEL,LEN RAPHAEL,LEN RAPHAEL
178,BRENDA ROBERTS,skipped,skipped
179,BRENDA ROBERTS,LEN RAPHAEL,skipped
180,skipped,skipped,skipped
181,skipped,skipped,skipped
182,BRENDA ROBERTS,skipped,skipped
183,LEN RAPHAEL,BRENDA ROBERTS,skipped
184,BRENDA ROBERTS,skipped,skipped
185,skipped,skipped,skipped
186,LEN RAPHAEL,skipped,skipped
187,skipped,skipped,skipped
188,skipped,skipped,skipped
189,skipped,skipped,skipped
190,BRENDA ROBERTS,LEN RAPHAEL,skipped
191,BRENDA ROBERTS,BRENDA ROBERTS,BRENDA ROBERTS
192,BRENDA ROBERTS,skipped,skipped
193,BRENDA ROBERTS,skipped,skipped
194,skipped,skipped,skipped
195,skipped,skipped,skipped
196,skipped,skipped,skipped
197,BRENDA ROBERTS,skipped,skipped
