ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
1,"Bowman, Manikka L.","Crutchfield, Jake W.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,"Weinstein, David J.","Crutchfield, Jake W.","Bowman, Manikka L.","Fantini, Alfred B.","Cisternino, Pia","Kadete, Elechi M.","Cronin, Fran Albin","Dexter, Emily R.","Harding, Jr., Richard",skipped,skipped
3,"Crutchfield, Jake W.","Cronin, Fran Albin","Weinstein, David J.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped
4,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Kelly, Kathleen M.","Nolan, Patricia M.","Cisternino, Pia","Cronin, Fran Albin","Dexter, Emily R.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
7,"Kelly, Kathleen M.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,"Crutchfield, Jake W.","Cronin, Fran Albin","Cisternino, Pia","Bowman, Manikka L.","Weinstein, David J.","Dexter, Emily R.","Fantini, Alfred B.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M."
10,"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,"Cronin, Fran Albin","Kelly, Kathleen M.","Crutchfield, Jake W.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
13,"Bowman, Manikka L.","Kelly, Kathleen M.","Harding, Jr., Richard","Cisternino, Pia","Kadete, Elechi M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
14,"Dexter, Emily R.","Cronin, Fran Albin","Weinstein, David J.","Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.",skipped,skipped,skipped,skipped
15,"Harding, Jr., Richard","Kelly, Kathleen M.","Fantini, Alfred B.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped
16,"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
20,"Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,"Cisternino, Pia","Cronin, Fran Albin","Harding, Jr., Richard","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
