ranks,ballotID,rank1,rank2,rank3
"['JOHN FARRELL', 'JOEL ENGARDIO', 'BEN MATRANGA']",1,JOHN FARRELL,JOEL ENGARDIO,BEN MATRANGA
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",2,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['BEN MATRANGA', 'JOEL ENGARDIO', 'MIKE YOUNG']",3,BEN MATRANGA,JOEL ENGARDIO,MIKE YOUNG
"['MIKE YOUNG', 'skipped', 'skipped']",4,MIKE YOUNG,skipped,skipped
"['BEN MATRANGA', 'JOEL ENGARDIO', 'MIKE YOUNG']",5,BEN MATRANGA,JOEL ENGARDIO,MIKE YOUNG
"['JOHN FARRELL', 'JOEL ENGARDIO', 'BEN MATRANGA']",6,JOHN FARRELL,JOEL ENGARDIO,BEN MATRANGA
"['BEN MATRANGA', 'skipped', 'skipped']",7,BEN MATRANGA,skipped,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'NORMAN YEE']",8,NORMAN YEE,MIKE YOUNG,NORMAN YEE
"['JOHN FARRELL', 'JOHN FARRELL', 'JOHN FARRELL']",9,JOHN FARRELL,JOHN FARRELL,JOHN FARRELL
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",10,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['JOEL ENGARDIO', 'NORMAN YEE', 'NORMAN YEE']",11,JOEL ENGARDIO,NORMAN YEE,NORMAN YEE
"['NORMAN YEE', 'MIKE YOUNG', 'NORMAN YEE']",12,NORMAN YEE,MIKE YOUNG,NORMAN YEE
"['MIKE YOUNG', 'MIKE YOUNG', 'MIKE YOUNG']",13,MIKE YOUNG,MIKE YOUNG,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",14,NORMAN YEE,skipped,skipped
"['JOHN FARRELL', 'JOEL ENGARDIO', 'NORMAN YEE']",15,JOHN FARRELL,JOEL ENGARDIO,NORMAN YEE
"['NORMAN YEE', 'BEN MATRANGA', 'skipped']",16,NORMAN YEE,BEN MATRANGA,skipped
"['JOEL ENGARDIO', 'JOHN FARRELL', 'MIKE YOUNG']",17,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG
"['JOHN FARRELL', 'JOEL ENGARDIO', 'skipped']",18,JOHN FARRELL,JOEL ENGARDIO,skipped
"['NORMAN YEE', 'skipped', 'skipped']",19,NORMAN YEE,skipped,skipped
"['JOEL ENGARDIO', 'NORMAN YEE', 'BEN MATRANGA']",20,JOEL ENGARDIO,NORMAN YEE,BEN MATRANGA
"['JOEL ENGARDIO', 'MIKE YOUNG', 'BEN MATRANGA']",21,JOEL ENGARDIO,MIKE YOUNG,BEN MATRANGA
"['BEN MATRANGA', 'MIKE YOUNG', 'JOHN FARRELL']",22,BEN MATRANGA,MIKE YOUNG,JOHN FARRELL
"['JOEL ENGARDIO', 'JOHN FARRELL', 'NORMAN YEE']",23,JOEL ENGARDIO,JOHN FARRELL,NORMAN YEE
"['NORMAN YEE', 'skipped', 'skipped']",24,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",25,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['BEN MATRANGA', 'BEN MATRANGA', 'BEN MATRANGA']",26,BEN MATRANGA,BEN MATRANGA,BEN MATRANGA
"['NORMAN YEE', 'MIKE YOUNG', 'skipped']",27,NORMAN YEE,MIKE YOUNG,skipped
"['JOHN FARRELL', 'MIKE YOUNG', 'skipped']",28,JOHN FARRELL,MIKE YOUNG,skipped
"['JOEL ENGARDIO', 'JOEL ENGARDIO', 'JOEL ENGARDIO']",29,JOEL ENGARDIO,JOEL ENGARDIO,JOEL ENGARDIO
"['JOHN FARRELL', 'JOEL ENGARDIO', 'NORMAN YEE']",30,JOHN FARRELL,JOEL ENGARDIO,NORMAN YEE
"['JOEL ENGARDIO', 'JOEL ENGARDIO', 'JOEL ENGARDIO']",31,JOEL ENGARDIO,JOEL ENGARDIO,JOEL ENGARDIO
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",32,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",33,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['NORMAN YEE', 'JOEL ENGARDIO', 'BEN MATRANGA']",34,NORMAN YEE,JOEL ENGARDIO,BEN MATRANGA
"['JOEL ENGARDIO', 'NORMAN YEE', 'skipped']",35,JOEL ENGARDIO,NORMAN YEE,skipped
"['JOHN FARRELL', 'skipped', 'skipped']",36,JOHN FARRELL,skipped,skipped
"['JOHN FARRELL', 'MIKE YOUNG', 'BEN MATRANGA']",37,JOHN FARRELL,MIKE YOUNG,BEN MATRANGA
"['BEN MATRANGA', 'NORMAN YEE', 'JOEL ENGARDIO']",38,BEN MATRANGA,NORMAN YEE,JOEL ENGARDIO
"['JOHN FARRELL', 'JOEL ENGARDIO', 'BEN MATRANGA']",39,JOHN FARRELL,JOEL ENGARDIO,BEN MATRANGA
"['NORMAN YEE', 'skipped', 'skipped']",40,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'skipped', 'skipped']",41,BEN MATRANGA,skipped,skipped
"['NORMAN YEE', 'JOEL ENGARDIO', 'JOHN FARRELL']",42,NORMAN YEE,JOEL ENGARDIO,JOHN FARRELL
"['BEN MATRANGA', 'skipped', 'skipped']",43,BEN MATRANGA,skipped,skipped
"['NORMAN YEE', 'JOEL ENGARDIO', 'JOHN FARRELL']",44,NORMAN YEE,JOEL ENGARDIO,JOHN FARRELL
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",45,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['NORMAN YEE', 'skipped', 'skipped']",46,NORMAN YEE,skipped,skipped
"['MIKE YOUNG', 'JOHN FARRELL', 'MIKE YOUNG']",47,MIKE YOUNG,JOHN FARRELL,MIKE YOUNG
"['JOHN FARRELL', 'MIKE YOUNG', 'skipped']",48,JOHN FARRELL,MIKE YOUNG,skipped
"['BEN MATRANGA', 'NORMAN YEE', 'JOHN FARRELL']",49,BEN MATRANGA,NORMAN YEE,JOHN FARRELL
"['JOEL ENGARDIO', 'JOHN FARRELL', 'NORMAN YEE']",50,JOEL ENGARDIO,JOHN FARRELL,NORMAN YEE
"['JOEL ENGARDIO', 'JOEL ENGARDIO', 'NORMAN YEE']",51,JOEL ENGARDIO,JOEL ENGARDIO,NORMAN YEE
"['MIKE YOUNG', 'JOHN FARRELL', 'JOEL ENGARDIO']",52,MIKE YOUNG,JOHN FARRELL,JOEL ENGARDIO
"['JOHN FARRELL', 'JOEL ENGARDIO', 'MIKE YOUNG']",53,JOHN FARRELL,JOEL ENGARDIO,MIKE YOUNG
"['JOEL ENGARDIO', 'BEN MATRANGA', 'skipped']",54,JOEL ENGARDIO,BEN MATRANGA,skipped
"['NORMAN YEE', 'NORMAN YEE', 'JOEL ENGARDIO']",55,NORMAN YEE,NORMAN YEE,JOEL ENGARDIO
"['JOEL ENGARDIO', 'BEN MATRANGA', 'JOHN FARRELL']",56,JOEL ENGARDIO,BEN MATRANGA,JOHN FARRELL
"['JOEL ENGARDIO', 'skipped', 'skipped']",57,JOEL ENGARDIO,skipped,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",58,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['JOHN FARRELL', 'JOEL ENGARDIO', 'skipped']",59,JOHN FARRELL,JOEL ENGARDIO,skipped
"['JOEL ENGARDIO', 'JOHN FARRELL', 'skipped']",60,JOEL ENGARDIO,JOHN FARRELL,skipped
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",61,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",62,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['JOHN FARRELL', 'JOEL ENGARDIO', 'BEN MATRANGA']",63,JOHN FARRELL,JOEL ENGARDIO,BEN MATRANGA
"['JOEL ENGARDIO', 'JOHN FARRELL', 'MIKE YOUNG']",64,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG
"['JOEL ENGARDIO', 'NORMAN YEE', 'skipped']",65,JOEL ENGARDIO,NORMAN YEE,skipped
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",66,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['JOEL ENGARDIO', 'JOHN FARRELL', 'NORMAN YEE']",67,JOEL ENGARDIO,JOHN FARRELL,NORMAN YEE
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",68,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['NORMAN YEE', 'MIKE YOUNG', 'skipped']",69,NORMAN YEE,MIKE YOUNG,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'BEN MATRANGA']",70,NORMAN YEE,MIKE YOUNG,BEN MATRANGA
"['JOHN FARRELL', 'MIKE YOUNG', 'BEN MATRANGA']",71,JOHN FARRELL,MIKE YOUNG,BEN MATRANGA
"['JOEL ENGARDIO', 'JOHN FARRELL', 'MIKE YOUNG']",72,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG
"['JOHN FARRELL', 'BEN MATRANGA', 'JOEL ENGARDIO']",73,JOHN FARRELL,BEN MATRANGA,JOEL ENGARDIO
"['NORMAN YEE', 'JOEL ENGARDIO', 'MIKE YOUNG']",74,NORMAN YEE,JOEL ENGARDIO,MIKE YOUNG
"['JOHN FARRELL', 'BEN MATRANGA', 'NORMAN YEE']",75,JOHN FARRELL,BEN MATRANGA,NORMAN YEE
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",76,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'JOHN FARRELL', 'skipped']",77,NORMAN YEE,JOHN FARRELL,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",78,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['NORMAN YEE', 'JOHN FARRELL', 'skipped']",79,NORMAN YEE,JOHN FARRELL,skipped
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",80,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['JOEL ENGARDIO', 'JOHN FARRELL', 'NORMAN YEE']",81,JOEL ENGARDIO,JOHN FARRELL,NORMAN YEE
"['MIKE YOUNG', 'JOEL ENGARDIO', 'BEN MATRANGA']",82,MIKE YOUNG,JOEL ENGARDIO,BEN MATRANGA
"['JOHN FARRELL', 'MIKE YOUNG', 'JOEL ENGARDIO']",83,JOHN FARRELL,MIKE YOUNG,JOEL ENGARDIO
"['BEN MATRANGA', 'skipped', 'skipped']",84,BEN MATRANGA,skipped,skipped
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",85,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['NORMAN YEE', 'JOEL ENGARDIO', 'BEN MATRANGA']",86,NORMAN YEE,JOEL ENGARDIO,BEN MATRANGA
"['NORMAN YEE', 'skipped', 'skipped']",87,NORMAN YEE,skipped,skipped
"['JOHN FARRELL', 'MIKE YOUNG', 'BEN MATRANGA']",88,JOHN FARRELL,MIKE YOUNG,BEN MATRANGA
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",89,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['MIKE YOUNG', 'JOHN FARRELL', 'JOEL ENGARDIO']",90,MIKE YOUNG,JOHN FARRELL,JOEL ENGARDIO
"['MIKE YOUNG', 'skipped', 'skipped']",91,MIKE YOUNG,skipped,skipped
"['JOHN FARRELL', 'JOEL ENGARDIO', 'NORMAN YEE']",92,JOHN FARRELL,JOEL ENGARDIO,NORMAN YEE
"['BEN MATRANGA', 'JOEL ENGARDIO', 'skipped']",93,BEN MATRANGA,JOEL ENGARDIO,skipped
"['BEN MATRANGA', 'skipped', 'skipped']",94,BEN MATRANGA,skipped,skipped
"['BEN MATRANGA', 'skipped', 'skipped']",95,BEN MATRANGA,skipped,skipped
"['JOEL ENGARDIO', 'BEN MATRANGA', 'JOHN FARRELL']",96,JOEL ENGARDIO,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",97,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",98,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['NORMAN YEE', 'NORMAN YEE', 'NORMAN YEE']",99,NORMAN YEE,NORMAN YEE,NORMAN YEE
"['JOHN FARRELL', 'JOEL ENGARDIO', 'MIKE YOUNG']",100,JOHN FARRELL,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",101,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'skipped', 'skipped']",102,NORMAN YEE,skipped,skipped
"['JOEL ENGARDIO', 'JOHN FARRELL', 'MIKE YOUNG']",103,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",104,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
"['JOEL ENGARDIO', 'BEN MATRANGA', 'skipped']",105,JOEL ENGARDIO,BEN MATRANGA,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",106,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
