ballotID,rank1,rank2,rank3
1,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
2,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
3,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
4,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
5,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
6,BRYAN AZEVEDO,ED HERNANDEZ,skipped
7,ED HERNANDEZ,BRYAN AZEVEDO,skipped
8,skipped,BRYAN AZEVEDO,ED HERNANDEZ
9,BRYAN AZEVEDO,ED HERNANDEZ,skipped
10,ED HERNANDEZ,BRYAN AZEVEDO,skipped
11,BRYAN AZEVEDO,skipped,skipped
12,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
13,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
14,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
15,ED HERNANDEZ,BRYAN AZEVEDO,skipped
16,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
17,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
18,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
19,BRYAN AZEVEDO,ED HERNANDEZ,skipped
20,ED HERNANDEZ,BRYAN AZEVEDO,skipped
21,BRYAN AZEVEDO,skipped,skipped
22,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
23,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
24,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
25,BRYAN AZEVEDO,skipped,skipped
26,skipped,ED HERNANDEZ,BRYAN AZEVEDO
27,skipped,skipped,skipped
28,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
29,BRYAN AZEVEDO,skipped,skipped
30,ED HERNANDEZ,BRYAN AZEVEDO,skipped
31,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
32,ED HERNANDEZ,BRYAN AZEVEDO,skipped
33,BRYAN AZEVEDO,ED HERNANDEZ,skipped
34,ED HERNANDEZ,skipped,skipped
35,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
36,ED HERNANDEZ,skipped,skipped
37,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
38,ED HERNANDEZ,BRYAN AZEVEDO,skipped
39,skipped,skipped,skipped
40,ED HERNANDEZ,BRYAN AZEVEDO,skipped
41,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
42,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
43,BRYAN AZEVEDO,ED HERNANDEZ,skipped
44,ED HERNANDEZ,BRYAN AZEVEDO,skipped
45,ED HERNANDEZ,BRYAN AZEVEDO,skipped
46,BRYAN AZEVEDO,BRYAN AZEVEDO,ED HERNANDEZ
47,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
48,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
49,BRYAN AZEVEDO,ED HERNANDEZ,skipped
50,ED HERNANDEZ,BRYAN AZEVEDO,BRYAN AZEVEDO
51,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
52,ED HERNANDEZ,BRYAN AZEVEDO,skipped
53,BRYAN AZEVEDO,ED HERNANDEZ,skipped
54,skipped,skipped,skipped
55,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
56,ED HERNANDEZ,BRYAN AZEVEDO,skipped
57,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
58,BRYAN AZEVEDO,skipped,skipped
59,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
60,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
61,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
62,ED HERNANDEZ,BRYAN AZEVEDO,skipped
63,BRYAN AZEVEDO,skipped,skipped
64,ED HERNANDEZ,BRYAN AZEVEDO,skipped
65,ED HERNANDEZ,BRYAN AZEVEDO,skipped
66,ED HERNANDEZ,BRYAN AZEVEDO,skipped
67,ED HERNANDEZ,BRYAN AZEVEDO,skipped
68,BRYAN AZEVEDO,BRYAN AZEVEDO,ED HERNANDEZ
69,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
70,BRYAN AZEVEDO,skipped,skipped
71,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
72,BRYAN AZEVEDO,ED HERNANDEZ,skipped
73,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
74,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
75,skipped,skipped,skipped
76,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
77,BRYAN AZEVEDO,ED HERNANDEZ,skipped
78,BRYAN AZEVEDO,skipped,skipped
79,ED HERNANDEZ,BRYAN AZEVEDO,skipped
80,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
81,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
82,BRYAN AZEVEDO,skipped,skipped
83,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
84,ED HERNANDEZ,BRYAN AZEVEDO,skipped
85,BRYAN AZEVEDO,ED HERNANDEZ,skipped
86,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
87,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
88,BRYAN AZEVEDO,ED HERNANDEZ,skipped
89,BRYAN AZEVEDO,ED HERNANDEZ,skipped
90,BRYAN AZEVEDO,ED HERNANDEZ,skipped
91,ED HERNANDEZ,BRYAN AZEVEDO,skipped
92,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
93,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
94,BRYAN AZEVEDO,BRYAN AZEVEDO,ED HERNANDEZ
95,ED HERNANDEZ,ED HERNANDEZ,skipped
96,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
97,BRYAN AZEVEDO,ED HERNANDEZ,BRYAN AZEVEDO
98,ED HERNANDEZ,BRYAN AZEVEDO,skipped
99,ED HERNANDEZ,BRYAN AZEVEDO,ED HERNANDEZ
100,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
101,ED HERNANDEZ,ED HERNANDEZ,BRYAN AZEVEDO
102,ED HERNANDEZ,BRYAN AZEVEDO,BRYAN AZEVEDO
103,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
104,BRYAN AZEVEDO,BRYAN AZEVEDO,BRYAN AZEVEDO
105,BRYAN AZEVEDO,ED HERNANDEZ,skipped
106,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
107,ED HERNANDEZ,skipped,skipped
108,ED HERNANDEZ,ED HERNANDEZ,ED HERNANDEZ
