ballotID,rank1,rank2,rank3
1,DEBORAH MATTHEWS,MARK A. COPLAN,BEN BARTLETT
2,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
3,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
4,DEBORAH MATTHEWS,MARK A. COPLAN,skipped
5,skipped,skipped,skipped
6,DEBORAH MATTHEWS,BEN BARTLETT,MARK A. COPLAN
7,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
8,skipped,skipped,skipped
9,BEN BARTLETT,MARK A. COPLAN,skipped
10,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
11,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
12,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
13,BEN BARTLETT,skipped,skipped
14,BEN BARTLETT,MARK A. COPLAN,skipped
15,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
16,DEBORAH MATTHEWS,skipped,skipped
17,DEBORAH MATTHEWS,skipped,skipped
18,DEBORAH MATTHEWS,skipped,skipped
19,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
20,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
21,skipped,skipped,skipped
22,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
23,MARK A. COPLAN,BEN BARTLETT,skipped
24,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
25,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
26,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
27,MARK A. COPLAN,DEBORAH MATTHEWS,BEN BARTLETT
28,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
29,BEN BARTLETT,MARK A. COPLAN,skipped
30,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
31,DEBORAH MATTHEWS,AL G. MURRAY,BEN BARTLETT
32,MARK A. COPLAN,AL G. MURRAY,DEBORAH MATTHEWS
33,skipped,skipped,skipped
34,DEBORAH MATTHEWS,MARK A. COPLAN,AL G. MURRAY
35,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
36,skipped,skipped,skipped
37,DEBORAH MATTHEWS,MARK A. COPLAN,skipped
38,BEN BARTLETT,MARK A. COPLAN,skipped
39,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
40,MARK A. COPLAN,MARK A. COPLAN,BEN BARTLETT
41,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
42,BEN BARTLETT,skipped,MARK A. COPLAN
43,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
44,DEBORAH MATTHEWS,AL G. MURRAY,MARK A. COPLAN
45,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
46,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
47,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
48,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
49,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
50,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
51,BEN BARTLETT,MARK A. COPLAN,skipped
52,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
53,skipped,skipped,skipped
54,skipped,skipped,skipped
55,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
56,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
57,DEBORAH MATTHEWS,AL G. MURRAY,BEN BARTLETT
58,BEN BARTLETT,skipped,skipped
59,BEN BARTLETT,MARK A. COPLAN,skipped
60,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
61,skipped,skipped,skipped
62,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
63,MARK A. COPLAN,BEN BARTLETT,AL G. MURRAY
64,DEBORAH MATTHEWS,MARK A. COPLAN,AL G. MURRAY
65,DEBORAH MATTHEWS,AL G. MURRAY,BEN BARTLETT
66,DEBORAH MATTHEWS,BEN BARTLETT,skipped
67,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
68,skipped,skipped,skipped
69,DEBORAH MATTHEWS,BEN BARTLETT,AL G. MURRAY
70,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
71,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
72,BEN BARTLETT,MARK A. COPLAN,skipped
73,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
74,DEBORAH MATTHEWS,BEN BARTLETT,MARK A. COPLAN
