ranks,ballotID,rank1,rank2,rank3
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",1,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",2,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",3,BENNY LEE,BENNY LEE,BENNY LEE
"['skipped', 'skipped', 'skipped']",4,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5,skipped,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",6,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",7,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",8,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",9,BENNY LEE,skipped,skipped
"['skipped', 'skipped', 'BENNY LEE']",10,skipped,skipped,BENNY LEE
"['skipped', 'BENNY LEE', 'BENNY LEE']",11,skipped,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",12,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",13,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",14,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",15,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",16,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",17,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",18,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'skipped', 'skipped']",19,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",20,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",21,BENNY LEE,skipped,skipped
"['skipped', 'skipped', 'skipped']",22,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",23,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",24,skipped,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",25,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",26,BENNY LEE,skipped,skipped
"['skipped', 'skipped', 'skipped']",27,skipped,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",28,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'skipped', 'skipped']",29,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",30,BENNY LEE,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",31,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'skipped', 'skipped']",32,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",33,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",34,BENNY LEE,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",35,BENNY LEE,BENNY LEE,BENNY LEE
"['skipped', 'skipped', 'skipped']",36,skipped,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",37,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'skipped', 'skipped']",38,BENNY LEE,skipped,skipped
"['skipped', 'skipped', 'skipped']",39,skipped,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",40,BENNY LEE,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",41,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",42,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'skipped', 'skipped']",43,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",44,BENNY LEE,skipped,skipped
"['BENNY LEE', 'skipped', 'skipped']",45,BENNY LEE,skipped,skipped
"['skipped', 'skipped', 'skipped']",46,skipped,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",47,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",48,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'skipped', 'skipped']",49,BENNY LEE,skipped,skipped
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",50,BENNY LEE,BENNY LEE,BENNY LEE
"['BENNY LEE', 'BENNY LEE', 'BENNY LEE']",51,BENNY LEE,BENNY LEE,BENNY LEE
