ranks,ballotID,rank1,rank2,rank3
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",1,NEHANDA IMARA,MARCIE HODGE,skipped
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",2,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",4,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'skipped']",5,LARRY E. REID,LARRY E. REID,skipped
"['skipped', 'skipped', 'skipped']",6,skipped,skipped,skipped
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",7,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",8,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'skipped', 'skipped']",9,LARRY E. REID,skipped,skipped
"['LARRY E. REID', 'NEHANDA IMARA', 'skipped']",10,LARRY E. REID,NEHANDA IMARA,skipped
"['LARRY E. REID', 'NEHANDA IMARA', 'LARRY E. REID']",11,LARRY E. REID,NEHANDA IMARA,LARRY E. REID
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",12,NEHANDA IMARA,MARCIE HODGE,skipped
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",13,NEHANDA IMARA,MARCIE HODGE,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",14,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",15,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",16,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",17,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",18,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",19,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",20,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['skipped', 'skipped', 'skipped']",21,skipped,skipped,skipped
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",22,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'LARRY E. REID']",23,LARRY E. REID,MARCIE HODGE,LARRY E. REID
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",24,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",25,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",26,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",27,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['skipped', 'skipped', 'skipped']",28,skipped,skipped,skipped
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",29,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",30,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",31,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'skipped', 'skipped']",32,LARRY E. REID,skipped,skipped
"['LARRY E. REID', 'skipped', 'skipped']",33,LARRY E. REID,skipped,skipped
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",34,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",35,LARRY E. REID,LARRY E. REID,LARRY E. REID
