ballotID,rank1,rank2,rank3
1,JUMOKE HINTON HODGE,skipped,skipped
2,LUCKY NARAIN,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON
3,JUMOKE HINTON HODGE,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON
4,JUMOKE HINTON HODGE,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON
5,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG
6,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG,skipped
7,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON,JUMOKE HINTON HODGE
8,JUMOKE HINTON HODGE,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON
9,skipped,skipped,skipped
10,JUMOKE HINTON HODGE,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON
11,BENJAMIN LANG,JUMOKE HINTON HODGE,LUCKY NARAIN
12,LUCKY NARAIN,BENJAMIN LANG,JUMOKE HINTON HODGE
13,LUCKY NARAIN,BENJAMIN LANG,skipped
14,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG,skipped
15,LUCKY NARAIN,JUMOKE HINTON HODGE,LUCKY NARAIN
16,JUMOKE HINTON HODGE,BENJAMIN LANG,LUCKY NARAIN
17,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG,skipped
18,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG,skipped
19,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG,LUCKY NARAIN
20,JUMOKE HINTON HODGE,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON
21,skipped,skipped,skipped
22,BENJAMIN LANG,BENJAMIN LANG,BENJAMIN LANG
23,BENJAMIN LANG,LUCKY NARAIN,BENJAMIN LANG
24,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON,JUMOKE HINTON HODGE
25,KHARYSHI ''MS. K'' WIGINTON,JUMOKE HINTON HODGE,BENJAMIN LANG
26,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON,skipped
27,JUMOKE HINTON HODGE,LUCKY NARAIN,KHARYSHI ''MS. K'' WIGINTON
28,BENJAMIN LANG,KHARYSHI ''MS. K'' WIGINTON,JUMOKE HINTON HODGE
29,BENJAMIN LANG,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON
30,BENJAMIN LANG,BENJAMIN LANG,BENJAMIN LANG
31,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG
32,KHARYSHI ''MS. K'' WIGINTON,BENJAMIN LANG,skipped
33,KHARYSHI ''MS. K'' WIGINTON,JUMOKE HINTON HODGE,BENJAMIN LANG
