ranks,ballotID,rank1,rank2,rank3
"['skipped', 'CHRIS JACKSON', 'skipped']",1,skipped,CHRIS JACKSON,skipped
"['skipped', 'skipped', 'skipped']",2,skipped,skipped,skipped
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",3,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",4,JAMES HARRIS,CHRIS JACKSON,skipped
"['skipped', 'skipped', 'skipped']",5,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",6,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",7,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'CHRIS JACKSON']",8,JAMES HARRIS,CHRIS JACKSON,CHRIS JACKSON
"['CHRIS JACKSON', 'skipped', 'skipped']",9,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",10,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",11,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'skipped', 'skipped']",12,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",13,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",14,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",15,CHRIS JACKSON,JAMES HARRIS,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",16,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['CHRIS JACKSON', 'skipped', 'skipped']",17,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",18,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",19,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",20,JAMES HARRIS,CHRIS JACKSON,skipped
"['skipped', 'skipped', 'skipped']",21,skipped,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",22,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",23,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['CHRIS JACKSON', 'skipped', 'JAMES HARRIS']",24,CHRIS JACKSON,skipped,JAMES HARRIS
"['CHRIS JACKSON', 'skipped', 'skipped']",25,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",26,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",27,CHRIS JACKSON,JAMES HARRIS,skipped
"['skipped', 'skipped', 'skipped']",28,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",29,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",30,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",31,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",32,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'CHRIS JACKSON']",33,JAMES HARRIS,JAMES HARRIS,CHRIS JACKSON
"['skipped', 'skipped', 'skipped']",34,skipped,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",35,JAMES HARRIS,skipped,skipped
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",36,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['CHRIS JACKSON', 'skipped', 'skipped']",37,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",38,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",39,JAMES HARRIS,CHRIS JACKSON,skipped
"['skipped', 'skipped', 'CHRIS JACKSON']",40,skipped,skipped,CHRIS JACKSON
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",41,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",42,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['JAMES HARRIS', 'skipped', 'skipped']",43,JAMES HARRIS,skipped,skipped
"['skipped', 'skipped', 'skipped']",44,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",45,JAMES HARRIS,CHRIS JACKSON,skipped
"['skipped', 'skipped', 'skipped']",46,skipped,skipped,skipped
