ballotID,rank1,rank2,rank3
1,SOPHIE HAHN,skipped,skipped
2,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN
3,SOPHIE HAHN,skipped,skipped
4,SOPHIE HAHN,skipped,skipped
5,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
6,STEPHEN MURPHY,STEPHEN MURPHY,SOPHIE HAHN
7,SOPHIE HAHN,STEPHEN MURPHY,skipped
8,STEPHEN MURPHY,SOPHIE HAHN,STEPHEN MURPHY
9,SOPHIE HAHN,skipped,skipped
10,SOPHIE HAHN,STEPHEN MURPHY,skipped
11,SOPHIE HAHN,STEPHEN MURPHY,skipped
12,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
13,SOPHIE HAHN,skipped,skipped
14,STEPHEN MURPHY,SOPHIE HAHN,STEPHEN MURPHY
15,skipped,skipped,skipped
16,SOPHIE HAHN,skipped,skipped
17,STEPHEN MURPHY,skipped,skipped
18,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
19,SOPHIE HAHN,skipped,skipped
20,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
21,STEPHEN MURPHY,skipped,skipped
22,SOPHIE HAHN,skipped,skipped
23,SOPHIE HAHN,skipped,skipped
24,SOPHIE HAHN,skipped,skipped
25,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
26,STEPHEN MURPHY,skipped,skipped
27,SOPHIE HAHN,SOPHIE HAHN,STEPHEN MURPHY
28,skipped,skipped,skipped
29,STEPHEN MURPHY,skipped,skipped
30,SOPHIE HAHN,skipped,skipped
31,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
32,SOPHIE HAHN,STEPHEN MURPHY,STEPHEN MURPHY
33,STEPHEN MURPHY,SOPHIE HAHN,skipped
34,SOPHIE HAHN,STEPHEN MURPHY,skipped
35,STEPHEN MURPHY,SOPHIE HAHN,skipped
36,skipped,skipped,skipped
37,SOPHIE HAHN,skipped,skipped
38,SOPHIE HAHN,skipped,skipped
39,SOPHIE HAHN,STEPHEN MURPHY,skipped
40,STEPHEN MURPHY,skipped,skipped
41,SOPHIE HAHN,STEPHEN MURPHY,skipped
42,skipped,skipped,skipped
43,SOPHIE HAHN,STEPHEN MURPHY,skipped
44,STEPHEN MURPHY,skipped,skipped
45,SOPHIE HAHN,skipped,skipped
46,STEPHEN MURPHY,SOPHIE HAHN,STEPHEN MURPHY
47,SOPHIE HAHN,STEPHEN MURPHY,skipped
48,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
49,SOPHIE HAHN,STEPHEN MURPHY,skipped
50,SOPHIE HAHN,skipped,skipped
51,STEPHEN MURPHY,SOPHIE HAHN,SOPHIE HAHN
52,STEPHEN MURPHY,SOPHIE HAHN,skipped
53,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
54,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN
55,SOPHIE HAHN,skipped,skipped
56,STEPHEN MURPHY,SOPHIE HAHN,skipped
57,skipped,skipped,skipped
58,STEPHEN MURPHY,SOPHIE HAHN,skipped
59,STEPHEN MURPHY,SOPHIE HAHN,skipped
60,SOPHIE HAHN,skipped,skipped
61,SOPHIE HAHN,skipped,skipped
62,STEPHEN MURPHY,SOPHIE HAHN,skipped
63,SOPHIE HAHN,SOPHIE HAHN,STEPHEN MURPHY
64,SOPHIE HAHN,STEPHEN MURPHY,skipped
65,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
66,STEPHEN MURPHY,SOPHIE HAHN,skipped
67,SOPHIE HAHN,STEPHEN MURPHY,skipped
68,SOPHIE HAHN,skipped,skipped
69,SOPHIE HAHN,skipped,skipped
70,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN
71,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
72,SOPHIE HAHN,STEPHEN MURPHY,skipped
73,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
74,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN
75,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
76,SOPHIE HAHN,STEPHEN MURPHY,skipped
77,SOPHIE HAHN,skipped,skipped
78,SOPHIE HAHN,skipped,skipped
79,SOPHIE HAHN,skipped,skipped
80,SOPHIE HAHN,STEPHEN MURPHY,SOPHIE HAHN
81,SOPHIE HAHN,skipped,skipped
82,STEPHEN MURPHY,STEPHEN MURPHY,STEPHEN MURPHY
83,STEPHEN MURPHY,skipped,skipped
