ballotID,rank1,rank2,rank3
1,HUBER TRENADO,skipped,skipped
2,MIKE HUTCHINSON,skipped,skipped
3,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
4,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
5,skipped,skipped,skipped
6,skipped,skipped,skipped
7,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
8,MIKE HUTCHINSON,skipped,skipped
9,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
10,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
11,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
12,MIKE HASSID,HUBER TRENADO,MIKE HASSID
13,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
14,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
15,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
16,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
17,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
18,MIKE HASSID,HUBER TRENADO,MIKE HASSID
19,MIKE HUTCHINSON,MIKE HUTCHINSON,ROSIE TORRES
20,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
21,ROSIE TORRES,MIKE HUTCHINSON,skipped
22,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
23,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
24,ROSIE TORRES,HUBER TRENADO,skipped
25,HUBER TRENADO,MIKE HASSID,skipped
26,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
27,ROSIE TORRES,skipped,skipped
28,HUBER TRENADO,skipped,skipped
29,HUBER TRENADO,skipped,skipped
30,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
31,MIKE HUTCHINSON,ROSIE TORRES,MIKE HASSID
32,skipped,skipped,skipped
33,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
34,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
35,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
36,MIKE HUTCHINSON,HUBER TRENADO,ROSIE TORRES
37,HUBER TRENADO,MIKE HASSID,skipped
38,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
39,HUBER TRENADO,ROSIE TORRES,ROSIE TORRES
40,HUBER TRENADO,MIKE HASSID,MIKE HUTCHINSON
41,ROSIE TORRES,skipped,skipped
42,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
43,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
44,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
45,skipped,skipped,skipped
46,ROSIE TORRES,ROSIE TORRES,MIKE HASSID
47,MIKE HUTCHINSON,ROSIE TORRES,MIKE HASSID
48,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
49,MIKE HASSID,MIKE HASSID,MIKE HASSID
50,skipped,skipped,skipped
51,skipped,skipped,skipped
52,ROSIE TORRES,MIKE HUTCHINSON,skipped
53,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
54,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
55,ROSIE TORRES,skipped,skipped
56,MIKE HUTCHINSON,MIKE HASSID,ROSIE TORRES
57,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
58,MIKE HUTCHINSON,HUBER TRENADO,ROSIE TORRES
59,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
60,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
61,skipped,skipped,skipped
62,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
63,ROSIE TORRES,MIKE HUTCHINSON,MIKE HASSID
64,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
65,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
66,ROSIE TORRES,skipped,skipped
67,HUBER TRENADO,skipped,skipped
68,ROSIE TORRES,skipped,skipped
69,skipped,skipped,skipped
70,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
71,ROSIE TORRES,skipped,skipped
72,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
73,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
74,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
75,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
76,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
77,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
78,HUBER TRENADO,ROSIE TORRES,HUBER TRENADO
79,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
80,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
81,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
82,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
83,MIKE HASSID,HUBER TRENADO,MIKE HUTCHINSON
84,skipped,skipped,skipped
85,skipped,skipped,skipped
86,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
87,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
88,MIKE HASSID,skipped,skipped
89,ROSIE TORRES,MIKE HASSID,ROSIE TORRES
90,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
91,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
92,skipped,skipped,skipped
93,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
94,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
95,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
96,ROSIE TORRES,HUBER TRENADO,skipped
97,skipped,skipped,skipped
98,skipped,skipped,skipped
99,ROSIE TORRES,MIKE HUTCHINSON,MIKE HASSID
100,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
101,MIKE HUTCHINSON,MIKE HASSID,HUBER TRENADO
102,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
103,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
104,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
105,MIKE HUTCHINSON,MIKE HASSID,ROSIE TORRES
106,MIKE HUTCHINSON,MIKE HUTCHINSON,HUBER TRENADO
107,MIKE HASSID,ROSIE TORRES,MIKE HUTCHINSON
108,HUBER TRENADO,MIKE HASSID,MIKE HASSID
109,MIKE HUTCHINSON,ROSIE TORRES,HUBER TRENADO
110,HUBER TRENADO,MIKE HUTCHINSON,MIKE HUTCHINSON
111,skipped,skipped,skipped
112,ROSIE TORRES,HUBER TRENADO,MIKE HUTCHINSON
113,skipped,skipped,skipped
114,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
115,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
116,ROSIE TORRES,MIKE HUTCHINSON,HUBER TRENADO
117,skipped,skipped,skipped
118,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
119,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
120,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
121,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
122,HUBER TRENADO,ROSIE TORRES,MIKE HASSID
123,ROSIE TORRES,MIKE HASSID,HUBER TRENADO
124,ROSIE TORRES,MIKE HASSID,MIKE HUTCHINSON
125,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
126,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
127,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
128,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
129,MIKE HUTCHINSON,MIKE HASSID,ROSIE TORRES
130,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
131,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
132,HUBER TRENADO,HUBER TRENADO,HUBER TRENADO
133,skipped,ROSIE TORRES,ROSIE TORRES
134,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
135,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
136,ROSIE TORRES,ROSIE TORRES,ROSIE TORRES
137,HUBER TRENADO,ROSIE TORRES,MIKE HUTCHINSON
138,HUBER TRENADO,MIKE HASSID,HUBER TRENADO
139,MIKE HASSID,HUBER TRENADO,ROSIE TORRES
140,skipped,skipped,skipped
141,ROSIE TORRES,HUBER TRENADO,ROSIE TORRES
142,ROSIE TORRES,MIKE HASSID,MIKE HUTCHINSON
143,ROSIE TORRES,MIKE HASSID,MIKE HUTCHINSON
144,ROSIE TORRES,MIKE HASSID,MIKE HUTCHINSON
145,ROSIE TORRES,skipped,skipped
146,MIKE HASSID,ROSIE TORRES,HUBER TRENADO
147,HUBER TRENADO,skipped,skipped
148,ROSIE TORRES,MIKE HASSID,MIKE HASSID
149,ROSIE TORRES,HUBER TRENADO,MIKE HASSID
150,MIKE HUTCHINSON,HUBER TRENADO,ROSIE TORRES
151,HUBER TRENADO,MIKE HASSID,ROSIE TORRES
152,skipped,skipped,skipped
153,HUBER TRENADO,MIKE HASSID,HUBER TRENADO
154,HUBER TRENADO,MIKE HUTCHINSON,ROSIE TORRES
155,skipped,skipped,skipped
156,MIKE HUTCHINSON,MIKE HASSID,HUBER TRENADO
157,MIKE HUTCHINSON,MIKE HASSID,HUBER TRENADO
158,MIKE HASSID,MIKE HUTCHINSON,ROSIE TORRES
159,MIKE HUTCHINSON,MIKE HUTCHINSON,ROSIE TORRES
160,skipped,skipped,skipped
