ballotID,rank1,rank2,rank3
1,Chris Meyer,skipped,skipped
2,Mohamed Issa Barre,Chris Meyer,Billy Menz
3,Billy Menz,skipped,skipped
4,Billy Menz,Chris Meyer,skipped
5,Billy Menz,Chris Meyer,Mohamed Issa Barre
6,Chris Meyer,skipped,skipped
7,skipped,skipped,skipped
8,Billy Menz,skipped,skipped
9,Billy Menz,Chris Meyer,Mohamed Issa Barre
10,Chris Meyer,Billy Menz,Mohamed Issa Barre
11,Chris Meyer,Billy Menz,skipped
12,Billy Menz,skipped,skipped
13,Mohamed Issa Barre,skipped,skipped
14,Chris Meyer,skipped,skipped
15,Chris Meyer,Billy Menz,Mohamed Issa Barre
16,Chris Meyer,Billy Menz,writein
17,Billy Menz,Chris Meyer,Mohamed Issa Barre
18,skipped,skipped,skipped
19,Chris Meyer,Billy Menz,Mohamed Issa Barre
20,Chris Meyer,skipped,skipped
21,Chris Meyer,skipped,skipped
22,Chris Meyer,Mohamed Issa Barre,Billy Menz
23,skipped,skipped,skipped
24,Billy Menz,skipped,skipped
25,skipped,skipped,skipped
26,Chris Meyer,skipped,skipped
27,Billy Menz,Chris Meyer,Mohamed Issa Barre
28,Chris Meyer,Billy Menz,Mohamed Issa Barre
29,Mohamed Issa Barre,skipped,skipped
30,Chris Meyer,Billy Menz,skipped
31,Billy Menz,skipped,skipped
32,skipped,skipped,skipped
33,Mohamed Issa Barre,Billy Menz,skipped
34,Chris Meyer,Billy Menz,Mohamed Issa Barre
35,Billy Menz,skipped,skipped
36,Billy Menz,Chris Meyer,skipped
37,Mohamed Issa Barre,skipped,skipped
38,Mohamed Issa Barre,Billy Menz,skipped
39,Chris Meyer,Billy Menz,Mohamed Issa Barre
40,Chris Meyer,skipped,skipped
41,Mohamed Issa Barre,Mohamed Issa Barre,Mohamed Issa Barre
42,Chris Meyer,Billy Menz,Mohamed Issa Barre
43,Chris Meyer,skipped,skipped
44,skipped,skipped,skipped
45,skipped,skipped,skipped
46,Chris Meyer,Billy Menz,skipped
47,skipped,skipped,skipped
48,Mohamed Issa Barre,Billy Menz,skipped
49,Mohamed Issa Barre,Chris Meyer,Billy Menz
50,Mohamed Issa Barre,skipped,skipped
51,skipped,skipped,skipped
52,skipped,skipped,skipped
53,Billy Menz,Mohamed Issa Barre,skipped
54,Billy Menz,skipped,skipped
55,Chris Meyer,Billy Menz,skipped
56,Chris Meyer,skipped,skipped
57,Billy Menz,Chris Meyer,skipped
58,Chris Meyer,Billy Menz,skipped
59,Mohamed Issa Barre,skipped,skipped
60,Chris Meyer,Billy Menz,Mohamed Issa Barre
61,Chris Meyer,skipped,skipped
62,Chris Meyer,Billy Menz,skipped
63,Chris Meyer,skipped,skipped
64,Chris Meyer,Billy Menz,skipped
65,Chris Meyer,Mohamed Issa Barre,Billy Menz
66,Billy Menz,Chris Meyer,Mohamed Issa Barre
67,skipped,skipped,skipped
68,Billy Menz,Chris Meyer,Mohamed Issa Barre
69,Chris Meyer,Billy Menz,skipped
70,Chris Meyer,Billy Menz,skipped
71,Billy Menz,Chris Meyer,Mohamed Issa Barre
72,Chris Meyer,Mohamed Issa Barre,Billy Menz
73,Mohamed Issa Barre,Billy Menz,Chris Meyer
74,Chris Meyer,Billy Menz,skipped
75,Chris Meyer,skipped,skipped
76,skipped,skipped,skipped
77,Mohamed Issa Barre,Chris Meyer,Billy Menz
78,Mohamed Issa Barre,Billy Menz,skipped
79,Chris Meyer,Billy Menz,Mohamed Issa Barre
80,Billy Menz,Chris Meyer,Mohamed Issa Barre
81,Billy Menz,Mohamed Issa Barre,Chris Meyer
82,Mohamed Issa Barre,Billy Menz,Chris Meyer
83,Chris Meyer,Billy Menz,skipped
84,Billy Menz,Chris Meyer,Mohamed Issa Barre
85,Billy Menz,skipped,skipped
86,skipped,skipped,skipped
87,Billy Menz,skipped,skipped
88,Chris Meyer,skipped,skipped
89,Chris Meyer,skipped,skipped
90,Chris Meyer,skipped,skipped
91,skipped,skipped,skipped
92,Billy Menz,Chris Meyer,Mohamed Issa Barre
93,skipped,skipped,skipped
94,Mohamed Issa Barre,Chris Meyer,Billy Menz
95,Chris Meyer,Billy Menz,Mohamed Issa Barre
96,Chris Meyer,Billy Menz,skipped
97,Chris Meyer,Mohamed Issa Barre,Billy Menz
98,Mohamed Issa Barre,skipped,skipped
99,Chris Meyer,Billy Menz,skipped
100,Billy Menz,Mohamed Issa Barre,Chris Meyer
101,Billy Menz,skipped,skipped
