ranks,ballotID,rank1,rank2,rank3
"['Tom Nordyke', 'skipped', 'skipped']",1,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",2,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",3,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",4,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",5,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",6,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",7,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",8,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",9,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",10,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",11,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",12,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",13,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'skipped', 'skipped']",14,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",15,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",16,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",17,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",18,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",19,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",20,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",21,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Jono Cowgill', 'Jono Cowgill']",22,Jono Cowgill,Jono Cowgill,Jono Cowgill
"['Tom Nordyke', 'skipped', 'skipped']",23,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",24,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",25,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'skipped', 'skipped']",26,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",27,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",28,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",29,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'Jono Cowgill']",30,Jono Cowgill,Tom Nordyke,Jono Cowgill
"['Jono Cowgill', 'skipped', 'skipped']",31,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",32,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",33,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",34,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",35,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",36,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'skipped', 'skipped']",37,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",38,Tom Nordyke,Jono Cowgill,skipped
"['skipped', 'skipped', 'skipped']",39,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",40,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",41,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",42,Jono Cowgill,Tom Nordyke,skipped
"['skipped', 'skipped', 'skipped']",43,skipped,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",44,Jono Cowgill,skipped,skipped
"['skipped', 'skipped', 'skipped']",45,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",46,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",47,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",48,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",49,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",50,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",51,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",52,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",53,Tom Nordyke,Jono Cowgill,skipped
"['skipped', 'skipped', 'skipped']",54,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",55,skipped,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",56,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'skipped', 'skipped']",57,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",58,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",59,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",60,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'skipped', 'skipped']",61,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",62,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",63,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",64,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",65,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",66,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'skipped', 'skipped']",67,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",68,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",69,Jono Cowgill,Tom Nordyke,skipped
"['skipped', 'skipped', 'skipped']",70,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",71,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",72,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",73,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",74,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",75,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",76,Jono Cowgill,Tom Nordyke,skipped
"['skipped', 'skipped', 'skipped']",77,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",78,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",79,skipped,skipped,skipped
"['Tom Nordyke', 'Tom Nordyke', 'Jono Cowgill']",80,Tom Nordyke,Tom Nordyke,Jono Cowgill
"['skipped', 'skipped', 'skipped']",81,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",82,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",83,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",84,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",85,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'skipped', 'skipped']",86,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",87,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",88,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",89,skipped,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",90,Tom Nordyke,Jono Cowgill,skipped
"['skipped', 'skipped', 'skipped']",91,skipped,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",92,Jono Cowgill,skipped,skipped
"['skipped', 'skipped', 'skipped']",93,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",94,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",95,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",96,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'skipped', 'skipped']",97,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",98,Jono Cowgill,skipped,skipped
"['skipped', 'skipped', 'skipped']",99,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",100,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",101,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'skipped', 'skipped']",102,Tom Nordyke,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",103,Tom Nordyke,Jono Cowgill,skipped
"['skipped', 'skipped', 'skipped']",104,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",105,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",106,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",107,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",108,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'skipped', 'skipped']",109,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",110,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",111,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",112,skipped,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",113,Tom Nordyke,Jono Cowgill,skipped
"['skipped', 'skipped', 'skipped']",114,skipped,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",115,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",116,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'skipped', 'skipped']",117,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",118,Tom Nordyke,Jono Cowgill,skipped
"['skipped', 'skipped', 'skipped']",119,skipped,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",120,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",121,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'skipped', 'skipped']",122,Jono Cowgill,skipped,skipped
