ballotID,rank1,rank2,rank3
1,Lisa Bender,Saralyn Romanishan,David Schorn
2,Lisa Bender,skipped,skipped
3,Lisa Bender,skipped,skipped
4,Lisa Bender,Saralyn Romanishan,skipped
5,Lisa Bender,skipped,skipped
6,David Schorn,Saralyn Romanishan,skipped
7,Lisa Bender,Saralyn Romanishan,David Schorn
8,Lisa Bender,Lisa Bender,Lisa Bender
9,Lisa Bender,skipped,skipped
10,Lisa Bender,skipped,skipped
11,Lisa Bender,skipped,skipped
12,Lisa Bender,Saralyn Romanishan,David Schorn
13,Lisa Bender,skipped,skipped
14,Saralyn Romanishan,Lisa Bender,David Schorn
15,Lisa Bender,skipped,skipped
16,Lisa Bender,David Schorn,skipped
17,Lisa Bender,skipped,skipped
18,Lisa Bender,skipped,skipped
19,Saralyn Romanishan,Lisa Bender,skipped
20,Bruce Lundeen,skipped,skipped
21,David Schorn,David Schorn,Saralyn Romanishan
22,Lisa Bender,skipped,skipped
23,Lisa Bender,skipped,skipped
24,Lisa Bender,Saralyn Romanishan,David Schorn
25,Lisa Bender,writein,writein
26,Lisa Bender,skipped,skipped
27,Bruce Lundeen,Saralyn Romanishan,Lisa Bender
28,Lisa Bender,Saralyn Romanishan,skipped
29,David Schorn,Saralyn Romanishan,Lisa Bender
30,Lisa Bender,Saralyn Romanishan,David Schorn
31,Lisa Bender,Bruce Lundeen,skipped
32,Lisa Bender,skipped,skipped
33,Lisa Bender,Saralyn Romanishan,David Schorn
34,Lisa Bender,Saralyn Romanishan,David Schorn
35,Lisa Bender,Bruce Lundeen,David Schorn
36,Lisa Bender,skipped,skipped
37,Lisa Bender,skipped,skipped
38,Lisa Bender,skipped,skipped
39,Lisa Bender,Saralyn Romanishan,David Schorn
40,Saralyn Romanishan,David Schorn,writein
41,Saralyn Romanishan,skipped,skipped
42,Lisa Bender,skipped,skipped
43,Lisa Bender,David Schorn,Saralyn Romanishan
44,Lisa Bender,David Schorn,Saralyn Romanishan
45,Lisa Bender,David Schorn,Bruce Lundeen
46,Lisa Bender,David Schorn,Saralyn Romanishan
47,Lisa Bender,David Schorn,Saralyn Romanishan
48,Lisa Bender,skipped,skipped
49,Lisa Bender,David Schorn,Saralyn Romanishan
50,Lisa Bender,Saralyn Romanishan,David Schorn
51,Lisa Bender,Saralyn Romanishan,David Schorn
52,David Schorn,Saralyn Romanishan,Lisa Bender
53,Lisa Bender,Saralyn Romanishan,David Schorn
54,Lisa Bender,skipped,skipped
55,Lisa Bender,skipped,skipped
56,David Schorn,writein,writein
57,Lisa Bender,skipped,skipped
58,Lisa Bender,Lisa Bender,Lisa Bender
59,Lisa Bender,skipped,skipped
60,Lisa Bender,Saralyn Romanishan,David Schorn
61,David Schorn,Saralyn Romanishan,Bruce Lundeen
62,Lisa Bender,David Schorn,Saralyn Romanishan
63,Lisa Bender,Saralyn Romanishan,David Schorn
64,Saralyn Romanishan,Bruce Lundeen,Lisa Bender
65,skipped,skipped,skipped
66,Lisa Bender,Saralyn Romanishan,David Schorn
67,Lisa Bender,skipped,skipped
68,David Schorn,Lisa Bender,skipped
69,Lisa Bender,Saralyn Romanishan,David Schorn
70,Lisa Bender,David Schorn,writein
71,Bruce Lundeen,Saralyn Romanishan,David Schorn
72,Saralyn Romanishan,Lisa Bender,David Schorn
73,Lisa Bender,Bruce Lundeen,skipped
74,Lisa Bender,Saralyn Romanishan,David Schorn
75,Lisa Bender,Saralyn Romanishan,David Schorn
76,Saralyn Romanishan,Lisa Bender,David Schorn
77,Saralyn Romanishan,skipped,skipped
78,Lisa Bender,Saralyn Romanishan,skipped
79,David Schorn,Lisa Bender,skipped
80,Lisa Bender,writein,writein
81,Saralyn Romanishan,Lisa Bender,David Schorn
82,Saralyn Romanishan,David Schorn,Bruce Lundeen
83,Lisa Bender,skipped,skipped
84,Lisa Bender,skipped,skipped
85,Lisa Bender,skipped,skipped
86,Saralyn Romanishan,Lisa Bender,David Schorn
87,Lisa Bender,Saralyn Romanishan,skipped
88,Lisa Bender,skipped,skipped
89,Saralyn Romanishan,Lisa Bender,skipped
90,Saralyn Romanishan,David Schorn,Lisa Bender
91,Lisa Bender,Saralyn Romanishan,David Schorn
92,Bruce Lundeen,David Schorn,skipped
93,Saralyn Romanishan,David Schorn,writein
94,David Schorn,writein,writein
95,Lisa Bender,Saralyn Romanishan,David Schorn
96,Lisa Bender,skipped,skipped
97,Saralyn Romanishan,David Schorn,Lisa Bender
98,Lisa Bender,skipped,skipped
99,Lisa Bender,skipped,skipped
100,Saralyn Romanishan,Lisa Bender,David Schorn
101,Lisa Bender,skipped,skipped
102,Lisa Bender,David Schorn,skipped
103,David Schorn,Saralyn Romanishan,skipped
104,Lisa Bender,skipped,skipped
105,Saralyn Romanishan,Saralyn Romanishan,Saralyn Romanishan
106,Lisa Bender,skipped,skipped
107,Bruce Lundeen,Saralyn Romanishan,David Schorn
108,Lisa Bender,skipped,skipped
109,Lisa Bender,writein,skipped
110,Lisa Bender,Saralyn Romanishan,David Schorn
111,Lisa Bender,Saralyn Romanishan,David Schorn
112,Lisa Bender,Saralyn Romanishan,David Schorn
113,skipped,skipped,skipped
114,Lisa Bender,skipped,skipped
115,Lisa Bender,Saralyn Romanishan,skipped
116,Lisa Bender,David Schorn,Saralyn Romanishan
117,Lisa Bender,skipped,skipped
118,Lisa Bender,David Schorn,writein
119,Lisa Bender,Saralyn Romanishan,David Schorn
120,Lisa Bender,David Schorn,Saralyn Romanishan
121,Lisa Bender,Saralyn Romanishan,David Schorn
122,Saralyn Romanishan,David Schorn,Bruce Lundeen
123,Lisa Bender,skipped,skipped
124,Lisa Bender,skipped,skipped
125,Saralyn Romanishan,Lisa Bender,skipped
126,Saralyn Romanishan,Bruce Lundeen,David Schorn
127,Lisa Bender,skipped,skipped
128,Lisa Bender,skipped,skipped
129,Lisa Bender,Saralyn Romanishan,David Schorn
130,Lisa Bender,David Schorn,Saralyn Romanishan
131,Lisa Bender,Saralyn Romanishan,writein
132,Lisa Bender,skipped,skipped
133,Lisa Bender,Saralyn Romanishan,David Schorn
134,Lisa Bender,Saralyn Romanishan,David Schorn
135,Lisa Bender,skipped,skipped
136,Lisa Bender,Saralyn Romanishan,skipped
137,Lisa Bender,skipped,skipped
138,Lisa Bender,Saralyn Romanishan,David Schorn
139,Bruce Lundeen,David Schorn,Saralyn Romanishan
140,Lisa Bender,David Schorn,Saralyn Romanishan
141,Lisa Bender,Saralyn Romanishan,skipped
142,Saralyn Romanishan,David Schorn,skipped
143,Lisa Bender,Saralyn Romanishan,David Schorn
144,Lisa Bender,skipped,skipped
145,Saralyn Romanishan,David Schorn,skipped
146,David Schorn,Saralyn Romanishan,Bruce Lundeen
147,Lisa Bender,skipped,skipped
148,Saralyn Romanishan,Lisa Bender,David Schorn
149,Lisa Bender,skipped,skipped
150,Lisa Bender,skipped,skipped
151,Lisa Bender,skipped,skipped
152,Lisa Bender,Saralyn Romanishan,skipped
153,Lisa Bender,Saralyn Romanishan,David Schorn
154,Lisa Bender,skipped,skipped
155,Lisa Bender,Saralyn Romanishan,David Schorn
156,Lisa Bender,skipped,skipped
157,Lisa Bender,skipped,skipped
158,Lisa Bender,skipped,skipped
159,Saralyn Romanishan,David Schorn,Bruce Lundeen
160,Lisa Bender,Saralyn Romanishan,David Schorn
161,Lisa Bender,Saralyn Romanishan,David Schorn
162,Saralyn Romanishan,Lisa Bender,David Schorn
163,Saralyn Romanishan,Lisa Bender,David Schorn
164,Lisa Bender,skipped,skipped
165,Lisa Bender,skipped,skipped
166,skipped,skipped,skipped
167,Lisa Bender,Saralyn Romanishan,David Schorn
168,Lisa Bender,skipped,skipped
169,Lisa Bender,skipped,skipped
170,Lisa Bender,skipped,skipped
171,Lisa Bender,skipped,skipped
172,Lisa Bender,David Schorn,Saralyn Romanishan
173,Bruce Lundeen,Lisa Bender,David Schorn
174,Lisa Bender,Saralyn Romanishan,David Schorn
175,Lisa Bender,skipped,skipped
176,Lisa Bender,writein,writein
177,Lisa Bender,David Schorn,skipped
178,Lisa Bender,skipped,skipped
179,Lisa Bender,Saralyn Romanishan,skipped
180,Saralyn Romanishan,David Schorn,Lisa Bender
181,David Schorn,skipped,skipped
182,Lisa Bender,skipped,skipped
183,Bruce Lundeen,Saralyn Romanishan,David Schorn
184,Lisa Bender,Saralyn Romanishan,David Schorn
185,Saralyn Romanishan,David Schorn,Bruce Lundeen
186,Lisa Bender,skipped,skipped
187,David Schorn,Bruce Lundeen,Lisa Bender
188,Lisa Bender,skipped,skipped
189,Lisa Bender,David Schorn,Bruce Lundeen
190,Saralyn Romanishan,David Schorn,Lisa Bender
191,Lisa Bender,Saralyn Romanishan,skipped
192,Lisa Bender,writein,skipped
193,Saralyn Romanishan,David Schorn,Lisa Bender
