ranks,ballotID,rank1,rank2,rank3
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",1,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'Cathy Spann', 'Blong Yang']",2,Jeremiah Ellison,Cathy Spann,Blong Yang
"['Cathy Spann', 'Jeremiah Ellison', 'Blong Yang']",3,Cathy Spann,Jeremiah Ellison,Blong Yang
"['Blong Yang', 'Blong Yang', 'Blong Yang']",4,Blong Yang,Blong Yang,Blong Yang
"['Blong Yang', 'Cathy Spann', 'Jeremiah Ellison']",5,Blong Yang,Cathy Spann,Jeremiah Ellison
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",6,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'skipped', 'skipped']",7,Blong Yang,skipped,skipped
"['Cathy Spann', 'Jeremiah Ellison', 'Blong Yang']",8,Cathy Spann,Jeremiah Ellison,Blong Yang
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",9,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'Blong Yang', 'skipped']",10,Jeremiah Ellison,Blong Yang,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",11,Jeremiah Ellison,skipped,skipped
"['Blong Yang', 'Blong Yang', 'Blong Yang']",12,Blong Yang,Blong Yang,Blong Yang
"['Jeremiah Ellison', 'Blong Yang', 'skipped']",13,Jeremiah Ellison,Blong Yang,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",14,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",15,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Blong Yang', 'skipped', 'skipped']",16,Blong Yang,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",17,Blong Yang,skipped,skipped
"['Raeisha (RA) Williams', 'skipped', 'skipped']",18,Raeisha (RA) Williams,skipped,skipped
"['Cathy Spann', 'Blong Yang', 'Jeremiah Ellison']",19,Cathy Spann,Blong Yang,Jeremiah Ellison
"['skipped', 'skipped', 'skipped']",20,skipped,skipped,skipped
"['Jeremiah Ellison', 'Jeremiah Ellison', 'Jeremiah Ellison']",21,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",22,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Blong Yang', 'skipped', 'skipped']",23,Blong Yang,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",24,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",25,Jeremiah Ellison,skipped,skipped
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",26,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Blong Yang', 'Cathy Spann']",27,Jeremiah Ellison,Blong Yang,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",28,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Blong Yang', 'skipped', 'skipped']",29,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",30,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'skipped', 'skipped']",31,Jeremiah Ellison,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",32,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",33,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
