ballotID,rank1,rank2,rank3
1,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
2,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
3,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
4,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON
5,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
6,skipped,skipped,skipped
7,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
8,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
9,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
10,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,CORINA N. LOPEZ
11,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON
12,skipped,skipped,skipped
13,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
14,CORINA N. LOPEZ,skipped,skipped
15,MAXINE OLIVER-BENSON,CORINA N. LOPEZ,skipped
16,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
17,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON
18,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
19,CORINA N. LOPEZ,skipped,skipped
20,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
21,CORINA N. LOPEZ,skipped,skipped
22,CORINA N. LOPEZ,skipped,skipped
23,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
24,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
25,MAXINE OLIVER-BENSON,MAXINE OLIVER-BENSON,skipped
26,CORINA N. LOPEZ,CORINA N. LOPEZ,MAXINE OLIVER-BENSON
27,CORINA N. LOPEZ,skipped,skipped
28,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,CORINA N. LOPEZ
29,skipped,skipped,skipped
30,CORINA N. LOPEZ,CORINA N. LOPEZ,CORINA N. LOPEZ
31,CORINA N. LOPEZ,skipped,skipped
32,CORINA N. LOPEZ,skipped,skipped
33,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
34,CORINA N. LOPEZ,MAXINE OLIVER-BENSON,skipped
