ballotID,rank1,rank2,rank3
1,RIGEL ROBINSON,AIDAN HILL,CECILIA ''CES'' ROSALES
2,CECILIA ''CES'' ROSALES,CECILIA ''CES'' ROSALES,CECILIA ''CES'' ROSALES
3,RIGEL ROBINSON,skipped,skipped
4,RIGEL ROBINSON,skipped,skipped
5,AIDAN HILL,RIGEL ROBINSON,CECILIA ''CES'' ROSALES
6,AIDAN HILL,AIDAN HILL,AIDAN HILL
7,RIGEL ROBINSON,skipped,skipped
8,CECILIA ''CES'' ROSALES,AIDAN HILL,RIGEL ROBINSON
9,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
10,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
11,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
12,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
13,CECILIA ''CES'' ROSALES,AIDAN HILL,RIGEL ROBINSON
14,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,skipped
15,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON
16,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
17,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
18,CECILIA ''CES'' ROSALES,AIDAN HILL,RIGEL ROBINSON
19,RIGEL ROBINSON,skipped,skipped
20,AIDAN HILL,RIGEL ROBINSON,skipped
21,RIGEL ROBINSON,AIDAN HILL,CECILIA ''CES'' ROSALES
22,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,skipped
23,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
24,RIGEL ROBINSON,RIGEL ROBINSON,CECILIA ''CES'' ROSALES
25,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
26,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
27,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
28,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
29,AIDAN HILL,CECILIA ''CES'' ROSALES,RIGEL ROBINSON
30,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
31,CECILIA ''CES'' ROSALES,AIDAN HILL,RIGEL ROBINSON
32,CECILIA ''CES'' ROSALES,CECILIA ''CES'' ROSALES,CECILIA ''CES'' ROSALES
33,CECILIA ''CES'' ROSALES,CECILIA ''CES'' ROSALES,CECILIA ''CES'' ROSALES
34,CECILIA ''CES'' ROSALES,skipped,skipped
35,RIGEL ROBINSON,skipped,skipped
36,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
37,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,skipped
38,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
39,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
40,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
41,RIGEL ROBINSON,AIDAN HILL,skipped
42,RIGEL ROBINSON,skipped,skipped
43,RIGEL ROBINSON,AIDAN HILL,skipped
44,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,RIGEL ROBINSON
45,AIDAN HILL,RIGEL ROBINSON,CECILIA ''CES'' ROSALES
46,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
47,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
48,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
49,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
50,skipped,skipped,skipped
51,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
52,RIGEL ROBINSON,AIDAN HILL,CECILIA ''CES'' ROSALES
53,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
54,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
55,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
56,RIGEL ROBINSON,CECILIA ''CES'' ROSALES,AIDAN HILL
57,CECILIA ''CES'' ROSALES,RIGEL ROBINSON,AIDAN HILL
58,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON
