ballotID,rank1,rank2,rank3
1,skipped,skipped,JoAnne Vigil Coppler
2,Eric John Holmes,JoAnne Vigil Coppler,skipped
3,JoAnne Vigil Coppler,skipped,skipped
4,Eric John Holmes,overvote,overvote
5,overvote,skipped,skipped
6,JoAnne Vigil Coppler,skipped,skipped
7,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
8,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
9,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
10,Greg Scargall,skipped,skipped
11,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
12,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
13,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
14,JoAnne Vigil Coppler,Eric John Holmes,JoAnne Vigil Coppler
15,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
16,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
17,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
18,Greg Scargall,skipped,skipped
19,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
20,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
21,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
22,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
23,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
24,Greg Scargall,skipped,skipped
25,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
26,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
27,JoAnne Vigil Coppler,skipped,skipped
28,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
29,JoAnne Vigil Coppler,skipped,skipped
30,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
31,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
32,JoAnne Vigil Coppler,skipped,skipped
33,Greg Scargall,skipped,skipped
34,Greg Scargall,JoAnne Vigil Coppler,skipped
35,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
36,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
37,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
38,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
39,JoAnne Vigil Coppler,skipped,skipped
40,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
41,Eric John Holmes,Greg Scargall,skipped
42,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
43,JoAnne Vigil Coppler,skipped,skipped
44,Greg Scargall,skipped,skipped
45,JoAnne Vigil Coppler,Greg Scargall,skipped
46,Eric John Holmes,JoAnne Vigil Coppler,skipped
47,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
48,Greg Scargall,JoAnne Vigil Coppler,skipped
49,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
50,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
51,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
52,Greg Scargall,skipped,skipped
53,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
54,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
55,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
56,JoAnne Vigil Coppler,Eric John Holmes,skipped
57,Eric John Holmes,skipped,skipped
58,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
59,JoAnne Vigil Coppler,skipped,skipped
60,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
61,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
62,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
63,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
64,JoAnne Vigil Coppler,skipped,skipped
65,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
66,JoAnne Vigil Coppler,skipped,skipped
67,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
68,JoAnne Vigil Coppler,skipped,skipped
69,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
70,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
71,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
72,JoAnne Vigil Coppler,Eric John Holmes,skipped
73,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
74,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
75,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
76,skipped,skipped,skipped
77,JoAnne Vigil Coppler,skipped,skipped
78,Eric John Holmes,JoAnne Vigil Coppler,skipped
79,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
80,Greg Scargall,skipped,skipped
81,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
82,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
83,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
84,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
85,skipped,skipped,skipped
86,skipped,skipped,skipped
87,JoAnne Vigil Coppler,skipped,skipped
88,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
89,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
90,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
91,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
92,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
93,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
94,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
95,JoAnne Vigil Coppler,Greg Scargall,skipped
96,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
97,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
98,skipped,skipped,skipped
99,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
100,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
101,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
102,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
103,Greg Scargall,skipped,skipped
104,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
105,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
106,Eric John Holmes,skipped,skipped
107,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
108,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
109,Greg Scargall,skipped,skipped
110,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
111,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
112,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
113,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
114,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
115,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
116,Eric John Holmes,skipped,skipped
117,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
118,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
119,skipped,skipped,skipped
120,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
121,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
122,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
123,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
124,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
125,Eric John Holmes,skipped,skipped
126,Greg Scargall,Eric John Holmes,skipped
127,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
128,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
129,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
130,Eric John Holmes,overvote,skipped
131,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
132,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
133,Greg Scargall,skipped,skipped
134,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
135,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
136,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
137,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
138,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
139,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
140,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
141,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
142,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
143,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
144,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
145,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
146,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
147,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
148,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
149,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
150,JoAnne Vigil Coppler,Eric John Holmes,JoAnne Vigil Coppler
151,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
152,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
153,JoAnne Vigil Coppler,JoAnne Vigil Coppler,JoAnne Vigil Coppler
154,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
155,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
156,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
157,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
158,JoAnne Vigil Coppler,skipped,skipped
159,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
160,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
161,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
162,skipped,skipped,overvote
163,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
164,Greg Scargall,Greg Scargall,JoAnne Vigil Coppler
165,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
166,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
167,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
168,JoAnne Vigil Coppler,skipped,skipped
169,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
170,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
171,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
172,JoAnne Vigil Coppler,skipped,skipped
173,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
174,Eric John Holmes,Greg Scargall,skipped
175,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
176,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
177,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
178,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
179,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
180,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
181,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
182,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
183,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
184,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
185,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
186,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
187,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
188,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
189,Eric John Holmes,Eric John Holmes,Eric John Holmes
190,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
191,JoAnne Vigil Coppler,skipped,skipped
192,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
193,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
194,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
195,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
196,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
197,skipped,skipped,skipped
198,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
199,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
200,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
201,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
202,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
203,Greg Scargall,skipped,skipped
204,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
205,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
206,skipped,skipped,skipped
207,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
208,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
209,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
210,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
211,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
212,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
213,JoAnne Vigil Coppler,Eric John Holmes,skipped
214,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
215,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
216,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
217,Eric John Holmes,JoAnne Vigil Coppler,Greg Scargall
218,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
219,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
220,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
221,skipped,skipped,skipped
222,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
223,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
224,Eric John Holmes,skipped,skipped
225,JoAnne Vigil Coppler,skipped,skipped
226,Greg Scargall,Eric John Holmes,JoAnne Vigil Coppler
227,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
228,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
229,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
230,JoAnne Vigil Coppler,Eric John Holmes,skipped
231,skipped,skipped,skipped
232,JoAnne Vigil Coppler,Eric John Holmes,Greg Scargall
233,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
234,JoAnne Vigil Coppler,Greg Scargall,Eric John Holmes
235,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
236,JoAnne Vigil Coppler,skipped,skipped
237,Greg Scargall,JoAnne Vigil Coppler,Eric John Holmes
238,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
239,Greg Scargall,skipped,skipped
240,skipped,skipped,skipped
