ballotID,rank1,rank2,rank3
1,JEROMEY SHAFER,JEROMEY SHAFER,JEROMEY SHAFER
2,PAULINE RUSSO CUTTER,BENNY LEE,PAULINE RUSSO CUTTER
3,BENNY LEE,PAULINE RUSSO CUTTER,JEROMEY SHAFER
4,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
5,PAULINE RUSSO CUTTER,skipped,skipped
6,BENNY LEE,BENNY LEE,BENNY LEE
7,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
8,JEROMEY SHAFER,PAULINE RUSSO CUTTER,JEROMEY SHAFER
9,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
10,PAULINE RUSSO CUTTER,JEROMEY SHAFER,DAN DILLMAN
11,JEROMEY SHAFER,JEROMEY SHAFER,JEROMEY SHAFER
12,BENNY LEE,PAULINE RUSSO CUTTER,JEROMEY SHAFER
13,BENNY LEE,DAN DILLMAN,PAULINE RUSSO CUTTER
14,PAULINE RUSSO CUTTER,JEROMEY SHAFER,DAN DILLMAN
15,PAULINE RUSSO CUTTER,JEROMEY SHAFER,DAN DILLMAN
16,PAULINE RUSSO CUTTER,DAN DILLMAN,JEROMEY SHAFER
17,JEROMEY SHAFER,JEROMEY SHAFER,JEROMEY SHAFER
18,BENNY LEE,BENNY LEE,BENNY LEE
19,PAULINE RUSSO CUTTER,skipped,skipped
20,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
21,DAN DILLMAN,skipped,skipped
22,PAULINE RUSSO CUTTER,skipped,skipped
23,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
24,PAULINE RUSSO CUTTER,BENNY LEE,DAN DILLMAN
25,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,skipped
26,PAULINE RUSSO CUTTER,DAN DILLMAN,BENNY LEE
27,PAULINE RUSSO CUTTER,BENNY LEE,skipped
28,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
29,PAULINE RUSSO CUTTER,BENNY LEE,DAN DILLMAN
30,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
31,PAULINE RUSSO CUTTER,skipped,skipped
32,BENNY LEE,DAN DILLMAN,PAULINE RUSSO CUTTER
33,BENNY LEE,PAULINE RUSSO CUTTER,JEROMEY SHAFER
34,PAULINE RUSSO CUTTER,BENNY LEE,DAN DILLMAN
35,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
36,BENNY LEE,BENNY LEE,BENNY LEE
37,PAULINE RUSSO CUTTER,BENNY LEE,skipped
38,BENNY LEE,PAULINE RUSSO CUTTER,skipped
39,PAULINE RUSSO CUTTER,JEROMEY SHAFER,BENNY LEE
40,PAULINE RUSSO CUTTER,skipped,skipped
41,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
42,PAULINE RUSSO CUTTER,BENNY LEE,DAN DILLMAN
43,DAN DILLMAN,skipped,skipped
44,JEROMEY SHAFER,DAN DILLMAN,BENNY LEE
45,JEROMEY SHAFER,JEROMEY SHAFER,JEROMEY SHAFER
46,BENNY LEE,JEROMEY SHAFER,PAULINE RUSSO CUTTER
47,BENNY LEE,JEROMEY SHAFER,DAN DILLMAN
48,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
49,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
50,PAULINE RUSSO CUTTER,JEROMEY SHAFER,BENNY LEE
51,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
52,DAN DILLMAN,DAN DILLMAN,JEROMEY SHAFER
53,BENNY LEE,PAULINE RUSSO CUTTER,DAN DILLMAN
54,DAN DILLMAN,BENNY LEE,JEROMEY SHAFER
55,DAN DILLMAN,PAULINE RUSSO CUTTER,BENNY LEE
56,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
57,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
58,PAULINE RUSSO CUTTER,DAN DILLMAN,BENNY LEE
59,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
60,PAULINE RUSSO CUTTER,skipped,skipped
61,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
62,DAN DILLMAN,BENNY LEE,PAULINE RUSSO CUTTER
63,skipped,skipped,skipped
64,PAULINE RUSSO CUTTER,DAN DILLMAN,JEROMEY SHAFER
65,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
66,JEROMEY SHAFER,BENNY LEE,PAULINE RUSSO CUTTER
67,PAULINE RUSSO CUTTER,skipped,skipped
68,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
69,JEROMEY SHAFER,DAN DILLMAN,skipped
70,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,skipped
71,PAULINE RUSSO CUTTER,BENNY LEE,PAULINE RUSSO CUTTER
72,PAULINE RUSSO CUTTER,skipped,skipped
73,BENNY LEE,PAULINE RUSSO CUTTER,JEROMEY SHAFER
74,BENNY LEE,DAN DILLMAN,JEROMEY SHAFER
75,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
76,BENNY LEE,skipped,skipped
77,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
78,BENNY LEE,skipped,skipped
79,BENNY LEE,PAULINE RUSSO CUTTER,JEROMEY SHAFER
80,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
81,PAULINE RUSSO CUTTER,skipped,skipped
82,skipped,skipped,skipped
83,PAULINE RUSSO CUTTER,DAN DILLMAN,JEROMEY SHAFER
84,PAULINE RUSSO CUTTER,JEROMEY SHAFER,skipped
85,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER,PAULINE RUSSO CUTTER
86,JEROMEY SHAFER,DAN DILLMAN,BENNY LEE
87,PAULINE RUSSO CUTTER,BENNY LEE,JEROMEY SHAFER
88,BENNY LEE,DAN DILLMAN,JEROMEY SHAFER
89,JEROMEY SHAFER,skipped,skipped
90,JEROMEY SHAFER,PAULINE RUSSO CUTTER,BENNY LEE
91,JEROMEY SHAFER,DAN DILLMAN,PAULINE RUSSO CUTTER
92,PAULINE RUSSO CUTTER,JEROMEY SHAFER,DAN DILLMAN
93,BENNY LEE,PAULINE RUSSO CUTTER,JEROMEY SHAFER
94,PAULINE RUSSO CUTTER,BENNY LEE,skipped
95,PAULINE RUSSO CUTTER,BENNY LEE,PAULINE RUSSO CUTTER
96,PAULINE RUSSO CUTTER,JEROMEY SHAFER,BENNY LEE
