ballotID,rank1,rank2,rank3
1,AIMEE ENG,skipped,skipped
2,skipped,skipped,skipped
3,AIMEE ENG,skipped,skipped
4,skipped,skipped,skipped
5,AIMEE ENG,AIMEE ENG,AIMEE ENG
6,AIMEE ENG,skipped,skipped
7,skipped,skipped,skipped
8,AIMEE ENG,skipped,skipped
9,AIMEE ENG,AIMEE ENG,AIMEE ENG
10,skipped,skipped,skipped
11,AIMEE ENG,skipped,skipped
12,AIMEE ENG,skipped,skipped
13,AIMEE ENG,skipped,skipped
14,AIMEE ENG,AIMEE ENG,AIMEE ENG
15,skipped,skipped,skipped
16,AIMEE ENG,AIMEE ENG,AIMEE ENG
17,AIMEE ENG,skipped,skipped
18,skipped,skipped,skipped
19,skipped,skipped,skipped
20,AIMEE ENG,skipped,skipped
21,AIMEE ENG,skipped,skipped
22,skipped,skipped,skipped
23,AIMEE ENG,AIMEE ENG,AIMEE ENG
24,skipped,skipped,skipped
25,skipped,skipped,skipped
26,AIMEE ENG,skipped,skipped
27,AIMEE ENG,skipped,skipped
28,AIMEE ENG,skipped,skipped
29,AIMEE ENG,skipped,skipped
30,skipped,skipped,skipped
31,skipped,skipped,skipped
32,AIMEE ENG,skipped,skipped
33,AIMEE ENG,skipped,skipped
34,AIMEE ENG,skipped,skipped
35,skipped,skipped,skipped
36,skipped,skipped,skipped
37,AIMEE ENG,AIMEE ENG,AIMEE ENG
38,AIMEE ENG,AIMEE ENG,AIMEE ENG
39,AIMEE ENG,skipped,skipped
40,AIMEE ENG,AIMEE ENG,AIMEE ENG
41,AIMEE ENG,AIMEE ENG,AIMEE ENG
42,skipped,skipped,skipped
43,AIMEE ENG,skipped,skipped
44,AIMEE ENG,skipped,skipped
45,AIMEE ENG,skipped,skipped
46,skipped,skipped,skipped
47,AIMEE ENG,AIMEE ENG,AIMEE ENG
48,AIMEE ENG,AIMEE ENG,AIMEE ENG
49,AIMEE ENG,AIMEE ENG,AIMEE ENG
50,AIMEE ENG,AIMEE ENG,AIMEE ENG
51,AIMEE ENG,skipped,skipped
52,AIMEE ENG,skipped,skipped
53,AIMEE ENG,skipped,skipped
54,AIMEE ENG,AIMEE ENG,AIMEE ENG
55,skipped,skipped,skipped
56,AIMEE ENG,AIMEE ENG,AIMEE ENG
57,AIMEE ENG,AIMEE ENG,AIMEE ENG
58,AIMEE ENG,AIMEE ENG,AIMEE ENG
59,AIMEE ENG,skipped,skipped
60,AIMEE ENG,AIMEE ENG,skipped
61,skipped,skipped,skipped
62,AIMEE ENG,AIMEE ENG,AIMEE ENG
63,skipped,skipped,skipped
64,AIMEE ENG,AIMEE ENG,AIMEE ENG
65,skipped,skipped,skipped
66,AIMEE ENG,skipped,skipped
67,skipped,skipped,skipped
68,skipped,skipped,skipped
69,AIMEE ENG,skipped,skipped
70,AIMEE ENG,AIMEE ENG,AIMEE ENG
71,skipped,skipped,skipped
72,AIMEE ENG,AIMEE ENG,AIMEE ENG
73,AIMEE ENG,skipped,skipped
74,AIMEE ENG,skipped,skipped
75,AIMEE ENG,AIMEE ENG,AIMEE ENG
76,skipped,skipped,skipped
77,AIMEE ENG,AIMEE ENG,AIMEE ENG
78,skipped,skipped,skipped
79,AIMEE ENG,skipped,skipped
80,AIMEE ENG,AIMEE ENG,AIMEE ENG
81,AIMEE ENG,AIMEE ENG,AIMEE ENG
82,AIMEE ENG,skipped,skipped
83,AIMEE ENG,AIMEE ENG,AIMEE ENG
84,AIMEE ENG,AIMEE ENG,AIMEE ENG
85,AIMEE ENG,skipped,skipped
86,AIMEE ENG,skipped,skipped
87,AIMEE ENG,AIMEE ENG,skipped
88,AIMEE ENG,skipped,skipped
89,AIMEE ENG,AIMEE ENG,AIMEE ENG
90,AIMEE ENG,AIMEE ENG,AIMEE ENG
91,AIMEE ENG,AIMEE ENG,AIMEE ENG
92,AIMEE ENG,skipped,skipped
93,AIMEE ENG,skipped,skipped
94,AIMEE ENG,skipped,skipped
95,AIMEE ENG,skipped,skipped
96,AIMEE ENG,AIMEE ENG,AIMEE ENG
97,AIMEE ENG,skipped,skipped
98,skipped,skipped,skipped
99,AIMEE ENG,skipped,skipped
100,skipped,skipped,skipped
101,AIMEE ENG,AIMEE ENG,AIMEE ENG
102,AIMEE ENG,skipped,skipped
103,AIMEE ENG,skipped,skipped
104,skipped,skipped,skipped
105,skipped,skipped,skipped
106,AIMEE ENG,AIMEE ENG,AIMEE ENG
107,AIMEE ENG,skipped,skipped
