ballotID,rank1,rank2,rank3
1,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
2,LORI DROSTE,LORI DROSTE,LORI DROSTE
3,MARY KAY LACEY,skipped,skipped
4,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
5,LORI DROSTE,ALFRED TWU,MARY KAY LACEY
6,MARY KAY LACEY,LORI DROSTE,MARY KAY LACEY
7,LORI DROSTE,skipped,skipped
8,ALFRED TWU,RUSS TILLEMAN,MARY KAY LACEY
9,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
10,ALFRED TWU,ALFRED TWU,ALFRED TWU
11,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
12,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
13,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
14,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
15,MARY KAY LACEY,skipped,skipped
16,LORI DROSTE,skipped,skipped
17,LORI DROSTE,MARY KAY LACEY,skipped
18,LORI DROSTE,MARY KAY LACEY,LORI DROSTE
19,LORI DROSTE,LORI DROSTE,MARY KAY LACEY
20,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
21,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
22,MARY KAY LACEY,ALFRED TWU,LORI DROSTE
23,skipped,LORI DROSTE,MARY KAY LACEY
24,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
25,LORI DROSTE,MARY KAY LACEY,skipped
26,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
27,LORI DROSTE,MARY KAY LACEY,skipped
28,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
29,LORI DROSTE,LORI DROSTE,LORI DROSTE
30,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
31,MARY KAY LACEY,LORI DROSTE,skipped
32,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
33,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
34,MARY KAY LACEY,LORI DROSTE,ALFRED TWU
35,MARY KAY LACEY,RUSS TILLEMAN,skipped
36,LORI DROSTE,ALFRED TWU,RUSS TILLEMAN
37,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
38,LORI DROSTE,MARY KAY LACEY,skipped
39,MARY KAY LACEY,RUSS TILLEMAN,ALFRED TWU
40,MARY KAY LACEY,MARY KAY LACEY,ALFRED TWU
41,LORI DROSTE,MARY KAY LACEY,LORI DROSTE
42,LORI DROSTE,MARY KAY LACEY,skipped
43,LORI DROSTE,RUSS TILLEMAN,MARY KAY LACEY
44,LORI DROSTE,ALFRED TWU,MARY KAY LACEY
45,LORI DROSTE,MARY KAY LACEY,skipped
46,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
47,LORI DROSTE,MARY KAY LACEY,skipped
48,LORI DROSTE,RUSS TILLEMAN,MARY KAY LACEY
49,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
50,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
51,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
52,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
53,LORI DROSTE,ALFRED TWU,MARY KAY LACEY
54,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
55,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
56,MARY KAY LACEY,LORI DROSTE,ALFRED TWU
57,skipped,skipped,skipped
58,LORI DROSTE,skipped,skipped
59,MARY KAY LACEY,LORI DROSTE,skipped
60,MARY KAY LACEY,LORI DROSTE,skipped
61,MARY KAY LACEY,MARY KAY LACEY,MARY KAY LACEY
62,ALFRED TWU,LORI DROSTE,RUSS TILLEMAN
63,MARY KAY LACEY,MARY KAY LACEY,MARY KAY LACEY
64,LORI DROSTE,MARY KAY LACEY,skipped
65,LORI DROSTE,ALFRED TWU,skipped
66,LORI DROSTE,RUSS TILLEMAN,MARY KAY LACEY
67,LORI DROSTE,skipped,skipped
68,MARY KAY LACEY,LORI DROSTE,skipped
69,LORI DROSTE,LORI DROSTE,LORI DROSTE
70,LORI DROSTE,LORI DROSTE,MARY KAY LACEY
71,LORI DROSTE,LORI DROSTE,LORI DROSTE
72,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
73,MARY KAY LACEY,LORI DROSTE,skipped
74,MARY KAY LACEY,LORI DROSTE,ALFRED TWU
75,MARY KAY LACEY,LORI DROSTE,skipped
76,MARY KAY LACEY,MARY KAY LACEY,MARY KAY LACEY
77,MARY KAY LACEY,LORI DROSTE,ALFRED TWU
78,MARY KAY LACEY,skipped,skipped
79,MARY KAY LACEY,LORI DROSTE,skipped
80,MARY KAY LACEY,RUSS TILLEMAN,LORI DROSTE
81,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
82,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
83,LORI DROSTE,MARY KAY LACEY,skipped
84,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
85,LORI DROSTE,skipped,skipped
86,LORI DROSTE,LORI DROSTE,LORI DROSTE
87,MARY KAY LACEY,MARY KAY LACEY,MARY KAY LACEY
88,MARY KAY LACEY,ALFRED TWU,RUSS TILLEMAN
89,MARY KAY LACEY,skipped,skipped
90,LORI DROSTE,MARY KAY LACEY,skipped
91,MARY KAY LACEY,LORI DROSTE,RUSS TILLEMAN
92,MARY KAY LACEY,RUSS TILLEMAN,LORI DROSTE
93,MARY KAY LACEY,RUSS TILLEMAN,LORI DROSTE
94,MARY KAY LACEY,MARY KAY LACEY,LORI DROSTE
95,MARY KAY LACEY,LORI DROSTE,skipped
96,RUSS TILLEMAN,MARY KAY LACEY,skipped
97,MARY KAY LACEY,MARY KAY LACEY,MARY KAY LACEY
98,ALFRED TWU,skipped,skipped
99,MARY KAY LACEY,MARY KAY LACEY,MARY KAY LACEY
100,LORI DROSTE,skipped,skipped
101,LORI DROSTE,RUSS TILLEMAN,MARY KAY LACEY
102,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
103,LORI DROSTE,MARY KAY LACEY,RUSS TILLEMAN
104,LORI DROSTE,MARY KAY LACEY,ALFRED TWU
